symbol,date_utc,close,prev_close,change_pct,quote_volume,quote_volume_30d_median,funding_rate_last,open_interest,long_short_ratio
1INCHUSDT,2026-09-23,0.09820000,0.10410000,-5.6676,769396.48919000,599674.17,0.00010000,3183586.93424000,1.4777
AAVEUSDT,2026-09-23,138.98000000,148.06000000,-6.1326,34731929.21475000,15290793.19,0.00001883,60765903.65538682,1.2124
ADAUSDT,2026-09-23,0.23840000,0.25430000,-6.2525,60468039.90360000,31670345.66,0.00008486,95940843.59441040,2.3681
ALGOUSDT,2026-09-23,0.10430000,0.11210000,-6.9581,4416722.38910000,2459208.49,0.00010000,8678309.44771800,1.6378
ANKRUSDT,2026-09-23,0.00484000,0.00520000,-6.9231,394541.46023600,295043.09,0.00005000,1902440.50503123,2.1776
API3USDT,2026-09-23,0.26270000,0.27360000,-3.9839,3241184.73514200,435274.78,0.00005000,2516040.09290000,1.5013
APTUSDT,2026-09-23,0.75450000,0.82900000,-8.9867,18747176.79409400,6962242.06,0.00005490,25576991.85445172,2.0544
ARBUSDT,2026-09-23,0.21600000,0.23530000,-8.2023,57518353.49166000,36353705.43,-0.00011105,57765048.88971762,1.4313
ARUSDT,2026-09-23,4.30500000,4.52300000,-4.8198,7357655.68509000,2416122.31,0.00010000,8477785.89404326,1.1570
ASTRUSDT,2026-09-23,0.00689400,0.00720100,-4.2633,562632.41820950,316004.36,0.00010000,1658722.94265760,1.4396
ATOMUSDT,2026-09-23,1.69800000,1.84600000,-8.0173,3571178.86895000,2364322.76,-0.00009334,19802984.48055304,1.0982
AUSDT,2026-09-23,0.09170000,0.09820000,-6.6191,639575.24340000,323076.41,0.00005000,2716881.15209000,1.3585
AVAXUSDT,2026-09-23,10.26400000,11.31300000,-9.2725,62891600.42385000,18859116.58,-0.00000542,107298463.12498437,2.3456
AXSUSDT,2026-09-23,1.03300000,1.13200000,-8.7456,3361026.91650000,1074725.58,0.00005000,5914046.42500000,1.4462
BANDUSDT,2026-09-23,0.21090000,0.22390000,-5.8062,361449.39560000,130882.14,0.00010000,1289859.80452000,2.7750
BATUSDT,2026-09-23,0.08740000,0.09180000,-4.7930,1437734.11900000,313100.91,0.00010000,1923521.67184800,1.3929
BCHUSDT,2026-09-23,337.50000000,345.10000000,-2.2023,110125122.71080000,10073793.70,0.00010000,154684914.79188824,1.8217
BNBUSDT,2026-09-23,767.38000000,788.38000000,-2.6637,157637324.18435000,99746548.28,0.00000000,447185776.83642620,2.3003
BTCUSDT,2026-09-23,84397.60000000,86208.56000000,-2.1007,1887736866.15679790,1168176999.83,0.00000132,8309251990.97280000,1.1608
CELOUSDT,2026-09-23,0.08914000,0.09636000,-7.4927,573236.98234500,364415.41,0.00010000,1826266.95620463,1.5893
CHZUSDT,2026-09-23,0.01584000,0.01714000,-7.5846,3143906.64532000,1172952.47,0.00007640,6370434.08441000,1.4777
CKBUSDT,2026-09-23,0.00127100,0.00132600,-4.1478,553070.91951000,330450.25,0.00010000,1377185.82591300,1.8969
COMPUSDT,2026-09-23,21.81000000,23.32000000,-6.4751,1138940.75476000,682116.27,0.00010000,4013838.95540000,1.4863
CRVUSDT,2026-09-23,0.32510000,0.36250000,-10.3172,6223934.73163000,4033862.29,-0.00017188,23035767.04688000,0.8399
DASHUSDT,2026-09-23,57.62000000,64.18000000,-10.2213,31521195.89227000,17715734.10,-0.00007510,28311508.12231049,0.9964
DCRUSDT,2026-09-23,18.25000000,18.75000000,-2.6667,780010.10890000,478313.55,,,
DGBUSDT,2026-09-23,0.00432000,0.00461000,-6.2907,169778.70876900,225297.37,,,
