open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2023-03-23,0.50000000,1.60000000,0.50000000,1.32170000,495714259.20000000,669932083.21377000,1554607,239582225.30000000,324232707.79253000
2023-03-24,1.32180000,1.56750000,1.17170000,1.27270000,543509688.10000000,752523772.91822000,1454212,256537764.50000000,356122482.00129000
2023-03-25,1.27260000,1.31500000,1.18000000,1.21780000,281919109.50000000,349520142.61178000,594751,132853921.80000000,164852695.42930000
2023-03-26,1.21790000,1.34990000,1.20210000,1.28180000,242122030.30000000,310185662.02240000,450244,121101774.60000000,155184560.24642000
2023-03-27,1.28180000,1.32590000,1.11600000,1.16570000,255551499.30000000,311604780.54595000,478861,116410350.00000000,142328793.16518000
2023-03-28,1.16580000,1.22400000,1.11000000,1.22040000,202773340.20000000,234892901.28842000,368178,101468149.30000000,117815450.54963000
2023-03-29,1.22020000,1.27670000,1.19570000,1.22570000,192740067.40000000,237899785.88639000,327097,95260399.00000000,117662729.89337000
2023-03-30,1.22570000,1.43000000,1.22340000,1.37960000,432682328.80000000,578876650.49493000,800177,222740167.30000000,298007301.57198000
2023-03-31,1.37950000,1.44500000,1.32740000,1.38970000,237400514.10000000,328861551.68498000,481411,120354416.30000000,166873172.49637000
2023-04-01,1.38970000,1.40280000,1.26000000,1.29310000,176749888.60000000,233821986.97862000,351155,81882061.90000000,108275353.11871000
2023-04-02,1.29300000,1.29850000,1.13290000,1.20160000,273657244.10000000,331454458.65718000,510219,134871807.10000000,163428692.30468000
2023-04-03,1.20170000,1.22790000,1.10000000,1.15300000,238034627.30000000,280329403.36809000,480886,113927329.60000000,134370729.22100000
2023-04-04,1.15270000,1.26870000,1.14790000,1.23450000,175931684.00000000,212519021.88563000,339191,92979020.90000000,112386980.62921000
2023-04-05,1.23450000,1.29050000,1.20460000,1.24250000,147233101.00000000,184702389.63259000,308117,72829918.30000000,91450838.62234000
2023-04-06,1.24190000,1.24440000,1.18000000,1.21490000,93713487.20000000,113173742.52655000,227094,45582544.40000000,55059651.02043000
2023-04-07,1.21510000,1.24690000,1.18130000,1.19700000,76374712.60000000,92414847.97276000,185853,36323679.10000000,43989921.79432000
2023-04-08,1.19690000,1.21000000,1.15230000,1.16180000,57591943.00000000,68131764.02687000,146087,25671366.20000000,30409254.14165000
2023-04-09,1.16180000,1.20000000,1.14310000,1.18150000,59181617.20000000,69163981.78289000,140203,29097338.60000000,34035243.32405000
2023-04-10,1.18150000,1.25390000,1.16250000,1.24230000,98770687.80000000,118976514.66860000,184296,50232772.50000000,60597476.06587000
2023-04-11,1.24230000,1.25900000,1.20320000,1.21640000,85393969.60000000,105254360.64188000,165996,41647632.90000000,51350540.40925000
2023-04-12,1.21620000,1.21930000,1.15280000,1.19340000,103650019.00000000,122754788.29227000,200475,49522981.80000000,58659558.87483000
2023-04-13,1.19350000,1.37700000,1.17770000,1.36900000,229925695.50000000,301216866.63952000,436333,118002129.70000000,154286069.16094000
2023-04-14,1.36890000,1.74500000,1.36800000,1.69850000,531188625.70000000,826118730.32467000,1141885,275961711.20000000,428934042.99811000
2023-04-15,1.69820000,1.74400000,1.59500000,1.65310000,248513399.80000000,414207243.82855000,572672,127733427.10000000,212974825.05220000
2023-04-16,1.65310000,1.72280000,1.57200000,1.69570000,203386521.60000000,332642833.72750000,432930,99635034.60000000,163068068.58451000
2023-04-17,1.69570000,1.69930000,1.58190000,1.60910000,160893493.50000000,261945283.42304000,364598,78093094.80000000,127144681.23327000
2023-04-18,1.60930000,1.82000000,1.58200000,1.67310000,300760709.20000000,516812935.81904000,643663,156810891.20000000,269603724.61926000
2023-04-19,1.67260000,1.69660000,1.45430000,1.48880000,280622993.70000000,438441810.19323000,699250,133863905.90000000,209123951.29891000
2023-04-20,1.48860000,1.54500000,1.40360000,1.44200000,241956942.90000000,358454314.24985000,495571,116995112.10000000,173401698.65765000
2023-04-21,1.44190000,1.50360000,1.41000000,1.47190000,234777423.30000000,340360740.76319000,473427,118027907.60000000,171192462.25178000
2023-04-22,1.47170000,1.50030000,1.42000000,1.46520000,161249474.50000000,235315083.39117000,320905,83979948.20000000,122611932.35895000
2023-04-23,1.46520000,1.46520000,1.30000000,1.34050000,162687287.90000000,224688696.81425000,324578,81040945.20000000,111842202.76942000
2023-04-24,1.34050000,1.36890000,1.28000000,1.33850000,160683841.40000000,213192113.69572000,308157,79312937.20000000,105272130.75677000
2023-04-25,1.33820000,1.38730000,1.29330000,1.37940000,159350211.50000000,211600050.84145000,299761,80057333.60000000,106357944.76323000
2023-04-26,1.37940000,1.50520000,1.32000000,1.38400000,266578020.30000000,377385261.30504000,486404,128138389.10000000,181431924.41437000
2023-04-27,1.38410000,1.45440000,1.37000000,1.42320000,143289522.40000000,203146460.17556000,291360,71536654.30000000,101448195.18853000
2023-04-28,1.42320000,1.44390000,1.36000000,1.37990000,95044843.40000000,133226120.31020000,189966,45176924.00000000,63308131.42785000
2023-04-29,1.38010000,1.39480000,1.33000000,1.36750000,43764208.70000000,60010394.27391000,97642,20448341.20000000,28049539.09860000
2023-04-30,1.36750000,1.42540000,1.34640000,1.36830000,72287055.30000000,100112370.08527000,144957,34964542.50000000,48427259.87212000
2023-05-01,1.36850000,1.39080000,1.28800000,1.31870000,85547899.40000000,114210187.43188000,165281,40289840.60000000,53848325.49430000
2023-05-02,1.31870000,1.35950000,1.30730000,1.34860000,57278100.90000000,76124744.35070000,120508,28828250.80000000,38325967.26887000
2023-05-03,1.34860000,1.36380000,1.29540000,1.34280000,80533908.50000000,106664763.85367000,170769,39610860.30000000,52477584.92509000
2023-05-04,1.34280000,1.36520000,1.30730000,1.31830000,66484608.20000000,88645379.87799000,121494,32446123.80000000,43266330.51275000
2023-05-05,1.31840000,1.36670000,1.29000000,1.35620000,85542674.20000000,113946289.10653000,153480,44325144.60000000,59063628.46952000
2023-05-06,1.35620000,1.36790000,1.21550000,1.23930000,125932908.60000000,160010840.58745000,231282,57718462.50000000,73235375.08507000
2023-05-07,1.23930000,1.25990000,1.21610000,1.21940000,66932603.80000000,83048839.84269000,127715,34152272.70000000,42398292.68374000
2023-05-08,1.21930000,1.23000000,1.01110000,1.09450000,190017957.60000000,213874646.70951000,424330,87261483.90000000,98383551.33446000
2023-05-09,1.09460000,1.12010000,1.07720000,1.10290000,94286343.00000000,103527552.98898000,173177,46421447.50000000,50976099.64678000
2023-05-10,1.10310000,1.20580000,1.08670000,1.17090000,199788891.50000000,229285581.70712000,338263,99150618.40000000,113812142.45845000
2023-05-11,1.17080000,1.17220000,1.05030000,1.08880000,129897745.90000000,143455263.76381000,225728,61624961.80000000,68057134.17426000
2023-05-12,1.08890000,1.17770000,1.06080000,1.17200000,130976835.80000000,145633499.00179000,277334,64874156.40000000,72212687.91713000
2023-05-13,1.17200000,1.19160000,1.14380000,1.17010000,72548008.20000000,84728589.58257000,152262,36313732.00000000,42402414.42755000
2023-05-14,1.17000000,1.20780000,1.14160000,1.17050000,63566039.50000000,74705802.72839000,147214,32223956.20000000,37872235.00906000
2023-05-15,1.17030000,1.23000000,1.14780000,1.18830000,88401390.70000000,106324682.67058000,191357,42780896.20000000,51435406.86515000
2023-05-16,1.18840000,1.21330000,1.16250000,1.18020000,69837029.80000000,82855958.02706000,149146,34587456.80000000,41053809.56334000
2023-05-17,1.18010000,1.21240000,1.13140000,1.19840000,75624032.30000000,89146910.46743000,157418,36535159.20000000,43085793.72759000
2023-05-18,1.19840000,1.21490000,1.13610000,1.15580000,65314586.50000000,76883153.08293000,130553,32066215.40000000,37751606.83348000
2023-05-19,1.15610000,1.17330000,1.14160000,1.16360000,44685807.20000000,51668201.33462000,95291,22166417.60000000,25630590.00948000
2023-05-20,1.16360000,1.16950000,1.14980000,1.16340000,24322161.60000000,28180471.53521000,50370,11221206.10000000,13006852.47534000
2023-05-21,1.16360000,1.17110000,1.10950000,1.12750000,35299855.50000000,40276003.06053000,83324,16035211.80000000,18292218.47849000
2023-05-22,1.12740000,1.14030000,1.10560000,1.12540000,34381113.00000000,38611452.83196000,77933,17184748.60000000,19300511.33458000
2023-05-23,1.12540000,1.18060000,1.11910000,1.16660000,49638479.10000000,57690853.28957000,99467,24126388.70000000,28026329.21305000
2023-05-24,1.16660000,1.16720000,1.08010000,1.10930000,67414125.40000000,75200353.61181000,133547,31194573.50000000,34769504.66636000
2023-05-25,1.10930000,1.11640000,1.06720000,1.10660000,55170483.90000000,60602298.71994000,110610,26823104.50000000,29453194.46860000
2023-05-26,1.10660000,1.18100000,1.10320000,1.15780000,77326911.20000000,89034284.94026000,163491,38470463.30000000,44324836.18971000
2023-05-27,1.15780000,1.17870000,1.15020000,1.17210000,38743611.50000000,45029366.10125000,81373,19016091.20000000,22108015.73732000
2023-05-28,1.17210000,1.25920000,1.16420000,1.24810000,83679711.70000000,101141790.54380000,160292,41746687.50000000,50451614.19811000
2023-05-29,1.24820000,1.27980000,1.20500000,1.22660000,77856522.90000000,96747128.48614000,157580,36988074.50000000,45968477.20765000
2023-05-30,1.22670000,1.24820000,1.20670000,1.21810000,59864078.40000000,73613998.58932000,124999,29803786.80000000,36653083.12190000
2023-05-31,1.21820000,1.23630000,1.13500000,1.16070000,69174488.30000000,81298215.67678000,130342,32687246.50000000,38400214.09962000
2023-06-01,1.16060000,1.16790000,1.12810000,1.14610000,33505494.30000000,38554702.26647000,75026,14994108.30000000,17261152.77216000
2023-06-02,1.14610000,1.25860000,1.13470000,1.24070000,85117991.90000000,104091305.37180000,180773,42606406.80000000,52091545.79991000
2023-06-03,1.24090000,1.25720000,1.20370000,1.21580000,43809651.80000000,54000378.91452000,97542,21508831.30000000,26530392.39986000
2023-06-04,1.21570000,1.23540000,1.20010000,1.20710000,27355404.20000000,33391584.00324000,59547,13322716.50000000,16268453.98310000
2023-06-05,1.20670000,1.20670000,1.06130000,1.13560000,115265008.00000000,131799959.66909000,242705,53576115.30000000,61306996.45690000
2023-06-06,1.13550000,1.20000000,1.10400000,1.18960000,97763425.00000000,112544999.62166000,210351,47680593.70000000,54909111.62997000
2023-06-07,1.18960000,1.19580000,1.11590000,1.12610000,57219238.60000000,66055816.31830000,145598,27030461.10000000,31185421.82925000
2023-06-08,1.12610000,1.15140000,1.10560000,1.12870000,39436174.50000000,44452960.67135000,91005,18863497.30000000,21263138.75635000
2023-06-09,1.12880000,1.15400000,1.11450000,1.13170000,28506124.30000000,32330963.88899000,69482,13288483.10000000,15082182.96187000
2023-06-10,1.13170000,1.13380000,0.92940000,0.99320000,166047016.30000000,168049027.44013000,404596,76345688.50000000,77231502.14936000
2023-06-11,0.99330000,1.01780000,0.97400000,0.99200000,50770338.80000000,50599111.14446000,114379,23955394.00000000,23883270.35108000
2023-06-12,0.99210000,0.99810000,0.95400000,0.97880000,68832854.60000000,67147378.95907000,138234,35098874.10000000,34207307.51480000
2023-06-13,0.97870000,1.03400000,0.96850000,0.99320000,66922099.30000000,66949166.59981000,149475,31357183.50000000,31370762.09041000
2023-06-14,0.99310000,1.01200000,0.91840000,0.94180000,54776158.60000000,53480238.72336000,123749,25049405.80000000,24462680.04446000
2023-06-15,0.94190000,0.96040000,0.90750000,0.95040000,53024487.00000000,49430342.42920000,135878,24423739.70000000,22774519.59944000
2023-06-16,0.95030000,0.98700000,0.92260000,0.97540000,45830213.70000000,43833085.57272000,102215,22332988.10000000,21370244.46084000
2023-06-17,0.97540000,1.01310000,0.96660000,0.99400000,36744136.90000000,36475791.81270000,84800,17946771.80000000,17811373.96884000
2023-06-18,0.99390000,1.02460000,0.98180000,0.99430000,35635277.90000000,35820116.80560000,97507,17637222.10000000,17735019.79807000
2023-06-19,0.99430000,1.01780000,0.98560000,1.00730000,29777653.30000000,29777228.76987000,79987,14715742.20000000,14717446.91075000
2023-06-20,1.00730000,1.09000000,0.98250000,1.08340000,66970269.60000000,69359325.98514000,151486,33118838.20000000,34335748.52466000
2023-06-21,1.08330000,1.15000000,1.07680000,1.14050000,93746416.10000000,104277183.44224000,231019,46933531.90000000,52159999.76733000
2023-06-22,1.14060000,1.17550000,1.08240000,1.08730000,67981082.90000000,76657607.69246000,192680,33383676.20000000,37658113.47299000
2023-06-23,1.08750000,1.16000000,1.08650000,1.13500000,67068115.50000000,75568363.28526000,180951,32854379.90000000,37026349.39346000
2023-06-24,1.13510000,1.13510000,1.05530000,1.08000000,45896280.60000000,50390138.50538000,129549,22230890.40000000,24415427.76299000
2023-06-25,1.08010000,1.13900000,1.07340000,1.11330000,51072557.90000000,56629678.68251000,138128,23789894.50000000,26368138.76799000
2023-06-26,1.11340000,1.17710000,1.08110000,1.13930000,93134431.20000000,106019402.41830000,264009,45307741.10000000,51587355.70823000
2023-06-27,1.13960000,1.24470000,1.13720000,1.20680000,92047161.10000000,110971123.72375000,244334,45339934.20000000,54635094.35555000
2023-06-28,1.20660000,1.20800000,1.10000000,1.12120000,85231091.10000000,98080317.70375000,205959,40927733.90000000,47111774.52575000
2023-06-29,1.12110000,1.16830000,1.11710000,1.12900000,57043661.40000000,65106335.18396000,140024,28001648.00000000,31959346.67667000
2023-06-30,1.12930000,1.19760000,1.06320000,1.16380000,131933322.40000000,150867607.31094000,334688,64363526.60000000,73641595.91564000
2023-07-01,1.16360000,1.17500000,1.13420000,1.15140000,40352979.60000000,46473810.55872000,99549,18152021.40000000,20904454.74727000
2023-07-02,1.15120000,1.16160000,1.11620000,1.15110000,36723276.40000000,41800717.11607000,101342,17616366.00000000,20053193.72532000
2023-07-03,1.15110000,1.18400000,1.14760000,1.16940000,50849349.90000000,59498136.33739000,122504,25472727.30000000,29803702.94593000
2023-07-04,1.16930000,1.19800000,1.14260000,1.14880000,46515719.20000000,54483082.52147000,112283,23411924.60000000,27427342.19571000
2023-07-05,1.14870000,1.15720000,1.08500000,1.11170000,43694827.30000000,49042621.27454000,112059,20548816.90000000,23045127.29405000
2023-07-06,1.11170000,1.14480000,1.05800000,1.06780000,52476837.50000000,58174058.79564000,146691,24512356.80000000,27198229.69104000
2023-07-07,1.06790000,1.13380000,1.05710000,1.13160000,53835791.60000000,59542730.01668000,151823,28125469.50000000,31121800.30495000
2023-07-08,1.13170000,1.15050000,1.11050000,1.12470000,33248410.00000000,37617760.16966000,85823,17706042.90000000,20044676.44676000
2023-07-09,1.12470000,1.14300000,1.12110000,1.12450000,37628437.30000000,42651619.39819000,80581,18969038.50000000,21498344.95421000
2023-07-10,1.12450000,1.14430000,1.09450000,1.11930000,40698798.90000000,45502635.95973000,105708,20009375.70000000,22380276.54922000
2023-07-11,1.11920000,1.13410000,1.11000000,1.12720000,29744788.40000000,33360067.93257000,70342,14079566.90000000,15798587.35794000
2023-07-12,1.12720000,1.13930000,1.10820000,1.12190000,43186392.30000000,48712598.69601000,91334,21090154.00000000,23792564.25916000
2023-07-13,1.12180000,1.25000000,1.11180000,1.22370000,83084202.00000000,98737457.11305000,220282,43321817.60000000,51516811.65265000
2023-07-14,1.22360000,1.34000000,1.16440000,1.21440000,143164569.70000000,177034647.76025000,399819,70881708.40000000,87874902.80253000
2023-07-15,1.21440000,1.33400000,1.20430000,1.27100000,94883634.50000000,120584521.95840000,242865,45765317.90000000,58190027.52716000
2023-07-16,1.27110000,1.31070000,1.23410000,1.27120000,53253421.40000000,68046558.02618000,149306,26121722.30000000,33393319.34905000
2023-07-17,1.27110000,1.34990000,1.25040000,1.30520000,88908688.40000000,115579619.91977000,257141,44054364.60000000,57301589.98359000
2023-07-18,1.30500000,1.33100000,1.21310000,1.24510000,73200138.90000000,93094296.60309000,203552,35859213.60000000,45627631.70941000
2023-07-19,1.24450000,1.29760000,1.23110000,1.26670000,52113365.10000000,65937001.16680000,131045,25293753.90000000,32025049.92068000
2023-07-20,1.26660000,1.31200000,1.24760000,1.26140000,57556923.50000000,73619564.54870000,143924,26385427.60000000,33763983.92471000
2023-07-21,1.26150000,1.29800000,1.23030000,1.23300000,45272669.90000000,57102812.49472000,96308,22212815.00000000,28042484.91825000
2023-07-22,1.23310000,1.25220000,1.21390000,1.22580000,16645592.30000000,20612947.99787000,50025,7549088.90000000,9351423.81967000
2023-07-23,1.22580000,1.27000000,1.21670000,1.25110000,28651147.60000000,35701217.61235000,71653,14717429.80000000,18344757.76593000
2023-07-24,1.25110000,1.25400000,1.16520000,1.18620000,44098401.10000000,52969998.19681000,105140,19656836.80000000,23596306.28692000
2023-07-25,1.18630000,1.19520000,1.15520000,1.16870000,24737966.60000000,29042574.44483000,68530,11432154.70000000,13423058.60401000
2023-07-26,1.16870000,1.20700000,1.15000000,1.19760000,30886900.70000000,36327013.45242000,86708,14953646.90000000,17601635.35221000
2023-07-27,1.19780000,1.20890000,1.16730000,1.17290000,19387171.50000000,23105073.63195000,49605,8561672.30000000,10206303.22497000
2023-07-28,1.17290000,1.18120000,1.15380000,1.17360000,17169997.50000000,20078278.24934000,45840,7654200.30000000,8955945.20393000
2023-07-29,1.17360000,1.18400000,1.17140000,1.18230000,8097316.30000000,9534984.64781000,25944,3942125.60000000,4641815.39424000
2023-07-30,1.18240000,1.18940000,1.13970000,1.15850000,19756586.90000000,23105763.95370000,53880,9030656.90000000,10563424.96489000
2023-07-31,1.15840000,1.19550000,1.15350000,1.16930000,27031952.60000000,31730121.24899000,65409,13659696.50000000,16036693.16976000
2023-08-01,1.16940000,1.17570000,1.12110000,1.16270000,33704668.60000000,38569922.50086000,76097,16920880.90000000,19362459.07106000
2023-08-02,1.16280000,1.17490000,1.12310000,1.13330000,30072008.80000000,34541434.56429000,70081,13404250.60000000,15389466.73673000
2023-08-03,1.13290000,1.15060000,1.11870000,1.12920000,24196608.60000000,27411739.84152000,52501,11895432.40000000,13482449.52028000
2023-08-04,1.12920000,1.16630000,1.12760000,1.15770000,23883256.50000000,27469376.88024000,55038,11835615.30000000,13612490.79612000
2023-08-05,1.15770000,1.15990000,1.13160000,1.13730000,14784614.60000000,16945859.06780000,32949,6749160.30000000,7736468.56037000
2023-08-06,1.13730000,1.14730000,1.12830000,1.13840000,12644554.40000000,14399408.75824000,30677,5824747.30000000,6635112.92962000
2023-08-07,1.13850000,1.15480000,1.11010000,1.13450000,24842280.90000000,28192131.66504000,55757,11264458.00000000,12784910.88836000
2023-08-08,1.13460000,1.17420000,1.13180000,1.16030000,28957898.20000000,33327387.30504000,61715,13804313.70000000,15888463.31591000
2023-08-09,1.16020000,1.19560000,1.16020000,1.17610000,41496971.20000000,48874751.25625000,101517,19938870.60000000,23488654.68079000
2023-08-10,1.17620000,1.18920000,1.15500000,1.16030000,24479088.10000000,28677551.68523000,61297,11318905.70000000,13274202.24085000
2023-08-11,1.16030000,1.16460000,1.15150000,1.15880000,12790197.20000000,14808675.34169000,29945,6111425.60000000,7076553.29656000
2023-08-12,1.15880000,1.17300000,1.15540000,1.16390000,8682190.40000000,10091447.59581000,21889,4821145.70000000,5606374.03605000
2023-08-13,1.16400000,1.16850000,1.13960000,1.14100000,13364572.50000000,15465846.04789000,30208,5420924.00000000,6281649.97214000
2023-08-14,1.14110000,1.15410000,1.13190000,1.14170000,18582640.20000000,21241185.61810000,39443,8951076.70000000,10235178.11624000
2023-08-15,1.14180000,1.16720000,1.11100000,1.13010000,32200168.50000000,36763154.94451000,73729,15420622.80000000,17618601.24790000
2023-08-16,1.13000000,1.13580000,1.02540000,1.04900000,61631368.40000000,67026433.23828000,131210,28146473.20000000,30591006.76201000
2023-08-17,1.04910000,1.06750000,0.91600000,0.98450000,83393302.60000000,84329368.60978000,194710,39662986.60000000,40087355.59224000
2023-08-18,0.98430000,1.02640000,0.97960000,1.00700000,42948173.00000000,43130576.96206000,105491,21908623.70000000,22009104.18326000
2023-08-19,1.00700000,1.03310000,1.00400000,1.02110000,18304473.40000000,18600593.27560000,42571,8753488.50000000,8897762.03409000
2023-08-20,1.02110000,1.04120000,1.01580000,1.02920000,18058972.60000000,18579868.14394000,38786,8637173.20000000,8889467.17588000
