open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2020-11-04,0.10000000,0.29000000,0.10000000,0.14583000,69822782.80000000,11731934.46211800,57255,31173036.60000000,5261576.59265100
2020-11-05,0.14617000,0.15082000,0.12620000,0.13450000,22903843.70000000,3151932.43210300,15657,9859499.90000000,1362905.21398200
2020-11-06,0.13410000,0.15029000,0.12100000,0.14400000,15284791.00000000,2042407.60873100,10960,7686622.70000000,1025605.14451600
2020-11-07,0.14312000,0.16985000,0.13418000,0.14076000,8860012.00000000,1352355.79163400,8511,3852476.00000000,593512.98528000
2020-11-08,0.14079000,0.24200000,0.13844000,0.19846000,29086588.20000000,5820373.97147600,32783,14372598.40000000,2895560.06884700
2020-11-09,0.19716000,0.32500000,0.19716000,0.27978000,32159035.70000000,8652318.48158500,40904,16348447.00000000,4426102.21836800
2020-11-10,0.27978000,0.36917000,0.24500000,0.26968000,20424063.50000000,6430246.14347700,28679,10157910.40000000,3242505.93855900
2020-11-11,0.27063000,0.43700000,0.26243000,0.35400000,26801310.50000000,9727349.64508200,38952,14072070.40000000,5113625.51408100
2020-11-12,0.35035000,0.38892000,0.30277000,0.31331000,10879906.40000000,3688566.04922700,18243,4969167.60000000,1683281.41357600
2020-11-13,0.31554000,0.43000000,0.31554000,0.39400000,12076359.30000000,4516818.77262500,19303,6305258.50000000,2373805.11833400
2020-11-14,0.39405000,0.60790000,0.37142000,0.56557000,28978696.40000000,14266069.64102100,59741,15389883.70000000,7575544.27572600
2020-11-15,0.56447000,0.68600000,0.50371000,0.59068000,29184590.80000000,17278815.98530900,72159,14743053.50000000,8742394.31057500
2020-11-16,0.59068000,0.67500000,0.53652000,0.55918000,19747361.60000000,11936330.30674100,49054,9931047.80000000,6030450.93770900
2020-11-17,0.56217000,0.60300000,0.45200000,0.50246000,18710138.80000000,9701056.91495700,37276,9503717.50000000,4943805.12934700
2020-11-18,0.50245000,0.57679000,0.43225000,0.51614000,16066053.00000000,8070212.84184900,39251,8362700.40000000,4217196.51460600
2020-11-19,0.51650000,0.56000000,0.43334000,0.43821000,12250627.80000000,5928141.02678500,30609,5634882.80000000,2752109.61376400
2020-11-20,0.44113000,0.54620000,0.43000000,0.49888000,16837674.20000000,8382863.57729600,53085,9249036.80000000,4623130.64426900
2020-11-21,0.49826000,0.53660000,0.45603000,0.46800000,9591165.20000000,4749030.99180300,28653,4817444.40000000,2390482.49780800
2020-11-22,0.46789000,0.47339000,0.40000000,0.42719000,11438805.60000000,4989388.29072400,25183,5627151.70000000,2459035.40038800
2020-11-23,0.42933000,0.54697000,0.41200000,0.51082000,15343853.90000000,7652908.95106000,45362,8377444.10000000,4179539.61261400
2020-11-24,0.51087000,0.52198000,0.43500000,0.47772000,11088860.70000000,5312931.74611400,30836,5051285.70000000,2428850.35653600
2020-11-25,0.47921000,0.48725000,0.39117000,0.41597000,6851373.00000000,3070116.70477700,21567,3286375.70000000,1476876.30989000
2020-11-26,0.41693000,0.41992000,0.31562000,0.37014000,8374950.50000000,2993534.70199500,21355,3823916.30000000,1375173.32326900
2020-11-27,0.37015000,0.38429000,0.33504000,0.37727000,6148455.30000000,2227875.53909900,15992,3263821.10000000,1185227.16837900
2020-11-28,0.37906000,0.44500000,0.37000000,0.42823000,10358145.70000000,4304099.77037600,28472,5412393.20000000,2253163.68537400
2020-11-29,0.42819000,0.49598000,0.40907000,0.47698000,9536281.00000000,4446706.77573200,30512,4395583.50000000,2040575.99274700
2020-11-30,0.47700000,0.48998000,0.43221000,0.45670000,9428590.60000000,4245360.01331200,27053,4674910.30000000,2106831.64156800
