open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-01-05,1.58800000,4.12000000,1.58800000,2.57650000,17193301.34000000,48608189.94829900,134645,8719766.59000000,24682983.02003800
2021-01-06,2.57650000,2.69090000,2.20320000,2.30200000,2898056.48000000,7021177.07110900,19524,1356144.59000000,3299253.00365900
2021-01-07,2.31830000,2.51000000,2.11550000,2.20910000,1626050.60000000,3622275.45608700,9684,799729.42000000,1789952.21243800
2021-01-08,2.21020000,2.49000000,2.00000000,2.29610000,1366575.49000000,3083277.63630700,7844,754213.98000000,1713531.10981700
2021-01-09,2.30010000,2.37140000,2.15360000,2.29370000,406013.31000000,904377.38544000,2603,164694.03000000,368642.03788700
2021-01-10,2.28990000,2.30000000,2.09110000,2.14000000,300757.93000000,664250.82930000,2147,118649.22000000,261407.24206000
2021-01-11,2.15340000,2.17980000,1.75500000,1.94820000,470423.55000000,914862.77377400,3592,199188.18000000,386092.87630100
2021-01-12,1.94600000,2.13340000,1.86070000,1.95700000,310354.67000000,626292.36635900,1845,145831.23000000,295307.85421300
2021-01-13,1.97130000,2.14990000,1.90990000,2.07110000,397390.02000000,815073.74446000,1963,198624.58000000,409145.92172400
2021-01-14,2.09290000,2.24320000,2.05560000,2.09740000,334830.83000000,712307.02619800,2670,187313.83000000,399757.99139100
2021-01-15,2.09890000,2.16800000,1.90000000,2.00000000,299975.19000000,615219.88164800,1935,164253.72000000,339784.57495800
2021-01-16,2.01250000,2.23230000,2.00010000,2.06780000,428586.51000000,901437.37567900,2840,174450.27000000,367718.68114800
2021-01-17,2.06700000,2.19460000,2.02280000,2.12500000,346601.39000000,728586.22719500,2461,133753.20000000,281367.44659200
2021-01-18,2.12500000,2.45000000,2.06830000,2.23710000,1582184.21000000,3562875.96375400,9146,702198.30000000,1584209.51717000
2021-01-19,2.24880000,2.25300000,2.14000000,2.16080000,725645.40000000,1595649.93302700,4506,297511.49000000,654725.14914900
2021-01-20,2.16080000,2.63970000,2.10000000,2.27840000,2898212.37000000,6730461.57084400,13870,1422546.27000000,3320465.47671600
2021-01-21,2.26990000,3.75000000,2.21900000,3.09230000,12958460.93000000,37689244.57462600,75976,7111619.54000000,20731061.39069800
2021-01-22,3.07410000,3.85000000,2.80000000,3.14000000,14781894.62000000,47929101.82614300,95943,7921462.53000000,25819499.70499700
2021-01-23,3.14090000,3.14090000,2.70200000,2.82000000,3523697.26000000,10170015.82691400,20645,1750338.09000000,5066849.08205700
2021-01-24,2.81990000,3.00000000,2.70500000,2.78480000,2692530.02000000,7673254.07784900,15377,1398026.39000000,3999502.57002000
2021-01-25,2.78480000,3.42290000,2.76410000,3.13470000,6899182.10000000,21377319.67248300,45399,3795888.95000000,11784983.88246800
2021-01-26,3.14980000,3.59980000,3.04210000,3.10290000,4355640.92000000,14392262.76239400,37844,2282379.11000000,7563532.29355400
2021-01-27,3.09260000,3.30000000,2.75600000,2.94900000,1689064.72000000,5098146.70507900,19599,856734.34000000,2589152.14764800
2021-01-28,2.94110000,3.06090000,2.81180000,2.96570000,1089910.89000000,3217217.00024200,12518,536160.66000000,1586466.58322900
2021-01-29,2.97450000,3.00000000,2.81000000,2.89140000,809118.72000000,2348378.48667300,10915,376392.47000000,1092573.03700000
2021-01-30,2.89150000,2.97250000,2.79680000,2.87850000,597421.97000000,1728173.59351200,7152,282684.69000000,818448.45493000
2021-01-31,2.87820000,2.93830000,2.75300000,2.80410000,724589.89000000,2063457.63671000,7988,255072.66000000,725622.44674300
2021-02-01,2.80420000,2.98000000,2.76500000,2.85280000,529886.41000000,1510351.93150900,5627,275879.24000000,789781.44534200
2021-02-02,2.85290000,2.90400000,2.79390000,2.87000000,394251.52000000,1124600.09826900,5225,164314.65000000,468951.70985900
2021-02-03,2.87000000,3.19470000,2.86590000,2.95600000,1788072.72000000,5421369.23653300,16881,949615.02000000,2887962.29291500
