open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2020-08-15,5.00000000,23.25500000,5.00000000,6.91000000,5014732.42100000,49672580.03024300,134869,2306193.07800000,23094386.60932800
2020-08-16,6.91000000,7.69600000,5.73400000,5.78200000,3224235.06000000,21147477.11035600,66129,1429231.33900000,9391428.67148300
2020-08-17,5.78100000,5.94000000,4.18200000,4.38000000,4726877.36100000,22763287.95919600,98659,2038633.88000000,9793389.64496200
2020-08-18,4.37500000,4.48600000,3.17300000,3.60000000,5891300.54400000,22022776.65284900,96846,2566221.61700000,9623192.35185100
2020-08-19,3.60000000,5.03000000,3.30500000,3.91900000,7644862.30500000,32769273.25394700,106503,3681337.57600000,15833985.22950600
2020-08-20,3.91900000,4.67500000,3.80900000,3.89000000,4503665.09000000,18766930.20284700,66930,1959614.48700000,8174392.27348600
2020-08-21,3.88400000,4.06900000,3.20000000,3.23000000,4839799.21300000,17796370.24519800,63854,2019801.24300000,7468008.21228900
2020-08-22,3.23000000,3.27000000,2.71500000,3.05700000,3407375.50600000,10028061.16676000,64899,1599348.78500000,4709231.47541100
2020-08-23,3.05700000,3.09000000,2.58000000,2.69500000,3452913.36500000,9704380.50403800,41083,1612472.42300000,4547826.14544300
2020-08-24,2.68500000,3.10000000,2.59500000,2.89700000,4249210.83900000,12287908.16389500,44203,2158068.77900000,6259251.39225500
2020-08-25,2.88400000,3.41100000,2.68000000,2.85700000,5472771.86700000,16487212.68943500,68627,2541484.82000000,7670176.01945300
2020-08-26,2.85800000,4.15000000,2.81500000,3.55600000,9770163.83300000,34143267.08995500,119953,4907269.85300000,17163246.21360700
2020-08-27,3.55800000,4.31600000,3.20000000,3.34400000,10622222.28100000,40255386.36610300,141927,4773765.59500000,18227388.36558300
2020-08-28,3.34400000,4.00000000,3.34000000,3.52700000,5469740.80900000,19852186.00810300,74513,2586231.79200000,9418268.45679500
2020-08-29,3.53200000,3.54900000,3.08300000,3.10900000,4563202.89300000,15212071.72471700,50897,2034503.80500000,6782917.30751500
2020-08-30,3.10700000,3.75000000,3.08000000,3.55400000,7510633.03200000,26177788.43756500,81642,3835115.52600000,13376970.29024000
2020-08-31,3.55700000,4.44300000,3.42300000,4.33700000,7516192.04300000,28521386.77058900,88235,3796243.26900000,14463082.95647800
2020-09-01,4.33300000,5.70100000,4.14100000,5.33500000,21189407.35900000,104549818.82134300,270996,10940042.28500000,53983698.62175400
2020-09-02,5.35600000,5.36900000,3.80000000,4.32600000,13213895.28100000,58976292.84577400,151820,6058446.66800000,27075106.37613200
2020-09-03,4.32600000,4.35900000,2.73300000,2.91300000,13872548.79200000,49861332.25603000,133389,6513664.30700000,23491566.71585900
2020-09-04,2.91300000,3.29400000,2.66600000,2.85000000,9011295.30500000,26951260.49327800,88839,4088482.69100000,12224879.88197600
