open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2019-09-29,0.03103000,0.04400000,0.03103000,0.03556000,25899875.50000000,943843.44728800,4823,10975605.00000000,398123.48378200
2019-09-30,0.03555000,0.04745000,0.03481000,0.03780000,40937695.70000000,1642746.58642800,8563,15438187.50000000,614657.55597100
2019-10-01,0.03799000,0.04000000,0.03692000,0.03876000,16982421.30000000,651885.13722400,4365,7949091.20000000,307178.30887000
2019-10-02,0.03890000,0.03967000,0.03553000,0.03750000,8858024.30000000,328576.85075800,2538,3565950.90000000,132604.99913500
2019-10-03,0.03750000,0.04025000,0.03557000,0.03750000,8395022.70000000,317023.97424600,2906,3382744.90000000,129642.10632900
2019-10-04,0.03744000,0.03900000,0.03622000,0.03860000,5552424.00000000,208891.61228100,2384,2686508.40000000,101376.88031600
2019-10-05,0.03860000,0.04236000,0.03829000,0.04193000,13216832.40000000,537203.00658300,5825,6473342.10000000,263101.10864000
2019-10-06,0.04177000,0.04260000,0.03736000,0.03804000,6661246.30000000,262688.81020400,2687,2408307.90000000,95242.89730100
2019-10-07,0.03804000,0.03934000,0.03604000,0.03813000,9975507.90000000,374751.65468800,2450,4099887.30000000,154422.82809400
2019-10-08,0.03823000,0.03930000,0.03712000,0.03888000,5082658.00000000,194256.32497100,1347,2469293.10000000,94673.96822600
2019-10-09,0.03888000,0.04001000,0.03839000,0.03891000,5369584.90000000,209806.82292100,1795,2685905.20000000,105132.66736100
2019-10-10,0.03909000,0.03910000,0.03697000,0.03835000,5553539.60000000,209766.57838700,1647,1963572.20000000,74204.28093400
2019-10-11,0.03815000,0.03815000,0.03523000,0.03595000,7197048.80000000,261046.86676800,1673,3262221.80000000,118240.67829300
2019-10-12,0.03597000,0.03625000,0.03449000,0.03510000,4681412.70000000,165597.46471800,1088,2213299.60000000,78505.77832600
2019-10-13,0.03513000,0.03548000,0.03299000,0.03306000,2829724.00000000,96929.20717700,865,1127592.70000000,38655.86101300
2019-10-14,0.03307000,0.03827000,0.03236000,0.03698000,10931050.70000000,380222.28183800,3053,5698960.30000000,197835.43306900
2019-10-15,0.03691000,0.04099000,0.03568000,0.03762000,10069985.50000000,377948.19634600,3625,4188463.40000000,158373.68411800
2019-10-16,0.03771000,0.03873000,0.03500000,0.03757000,10018103.80000000,370114.36229500,3179,3937505.60000000,145373.07911400
2019-10-17,0.03743000,0.03743000,0.03381000,0.03508000,8252817.30000000,289172.28329600,2083,3138694.60000000,109898.62597300
2019-10-18,0.03508000,0.03609000,0.03336000,0.03391000,8054778.00000000,277768.57781900,2039,4046742.00000000,139472.80707900
2019-10-19,0.03375000,0.03425000,0.03288000,0.03344000,3835529.80000000,127884.70788400,915,2077911.50000000,69171.78389300
2019-10-20,0.03374000,0.03416000,0.03266000,0.03321000,4002699.90000000,132833.26153600,1130,1797455.60000000,59783.69681800
2019-10-21,0.03324000,0.03454000,0.03287000,0.03324000,3050588.80000000,103036.46049300,1332,1275364.70000000,43185.20047700
2019-10-22,0.03330000,0.03370000,0.03147000,0.03154000,10678714.40000000,345859.35448500,2425,3989733.60000000,129648.60168000
2019-10-23,0.03154000,0.03170000,0.02700000,0.02796000,19126102.10000000,552220.11123900,3562,8435766.30000000,244069.86937900
2019-10-24,0.02802000,0.03050000,0.02677000,0.02848000,8276778.60000000,234088.05648000,1881,3927069.40000000,110693.26078300
2019-10-25,0.02861000,0.03128000,0.02801000,0.03061000,11756033.40000000,348630.82460200,2473,5294795.70000000,156957.88329100
2019-10-26,0.03082000,0.03333000,0.02886000,0.03049000,11447374.70000000,353629.92528000,2786,5690377.90000000,176045.26230300
2019-10-27,0.03039000,0.03256000,0.02908000,0.03180000,5148071.70000000,156991.70427200,1436,2447365.90000000,74978.31190500
2019-10-28,0.03195000,0.03360000,0.03032000,0.03168000,8653756.60000000,272565.73994400,2144,3762804.70000000,118865.28957300
2019-10-29,0.03179000,0.03462000,0.03144000,0.03404000,7673860.80000000,253727.76057900,2564,3614763.60000000,119569.39376400
2019-10-30,0.03404000,0.03410000,0.03198000,0.03272000,7791843.30000000,256812.19750700,1835,2168046.60000000,71700.64145600
2019-10-31,0.03295000,0.03391000,0.03154000,0.03320000,5026196.80000000,163072.43337600,1322,1496687.60000000,48946.14936700
2019-11-01,0.03335000,0.03509000,0.03273000,0.03475000,4362623.60000000,148773.63070700,1199,2430178.90000000,82888.68109500
2019-11-02,0.03475000,0.03500000,0.03320000,0.03431000,3489958.00000000,117936.77933300,895,1710680.00000000,57905.65543000
2019-11-03,0.03451000,0.03750000,0.03333000,0.03691000,11999172.20000000,422671.98592300,2916,5816224.50000000,205052.82790800
2019-11-04,0.03691000,0.03939000,0.03553000,0.03661000,14630517.40000000,542565.32510200,3363,5802136.90000000,215366.05112400
2019-11-05,0.03654000,0.03735000,0.03502000,0.03612000,5474607.20000000,198018.46952300,1390,2251831.60000000,81455.65324800
2019-11-06,0.03612000,0.03730000,0.03376000,0.03421000,6929708.80000000,241026.67083400,1468,2877553.50000000,100338.34269500
2019-11-07,0.03425000,0.03438000,0.03156000,0.03282000,6077311.70000000,199314.82530900,1100,2418890.90000000,79728.43899100
2019-11-08,0.03287000,0.03580000,0.03270000,0.03284000,10530184.60000000,358707.36784800,2380,4166922.50000000,142217.46268500
2019-11-09,0.03286000,0.03999000,0.03283000,0.03675000,22237216.20000000,818681.32484900,6280,10882603.60000000,400260.08518700
2019-11-10,0.03673000,0.03690000,0.03475000,0.03537000,7046987.90000000,250617.57262900,2376,3122327.80000000,111223.92498500
2019-11-11,0.03537000,0.03560000,0.03352000,0.03459000,4053917.80000000,139520.28223200,1371,1598918.30000000,55054.82460900
2019-11-12,0.03451000,0.03600000,0.03420000,0.03513000,4954895.40000000,172689.84796600,1409,1474757.10000000,51408.63098400
2019-11-13,0.03513000,0.03546000,0.03300000,0.03539000,8490390.40000000,290141.47828200,2154,2635122.80000000,89625.90938400
2019-11-14,0.03539000,0.03559000,0.03330000,0.03397000,2617161.10000000,90112.58058700,913,1027707.10000000,35309.71750700
2019-11-15,0.03396000,0.03421000,0.03152000,0.03241000,4576623.00000000,148566.65057700,1278,2173696.70000000,70540.65774500
2019-11-16,0.03241000,0.03306000,0.03174000,0.03261000,1131232.60000000,36665.98169300,482,685889.00000000,22243.62308700
2019-11-17,0.03264000,0.03459000,0.03250000,0.03261000,3596978.30000000,118926.94384600,1161,2224040.60000000,73549.29517900
2019-11-18,0.03258000,0.03266000,0.03000000,0.03071000,5295555.10000000,165920.27563500,1695,3434955.20000000,107575.94203300
2019-11-19,0.03071000,0.03087000,0.02847000,0.03022000,5983800.40000000,175483.19273000,1161,2464329.50000000,72485.15295600
2019-11-20,0.03021000,0.03100000,0.02872000,0.02926000,3101409.30000000,91910.36627600,991,1073867.90000000,31874.75907200
2019-11-21,0.02929000,0.02941000,0.02571000,0.02744000,4469026.60000000,122893.31601300,816,2083161.60000000,56962.98690700
2019-11-22,0.02734000,0.02900000,0.02510000,0.02629000,5838979.30000000,158422.94290600,1229,2815469.90000000,76166.48637100
2019-11-23,0.02628000,0.02708000,0.02424000,0.02558000,14804194.00000000,375034.41951500,2776,6679816.20000000,169416.69300300
2019-11-24,0.02558000,0.02596000,0.02369000,0.02406000,4016459.10000000,100074.77784900,873,1898290.90000000,47273.43379300
2019-11-25,0.02374000,0.02580000,0.02240000,0.02408000,9887192.50000000,235243.95583900,1683,5277323.40000000,125701.80354600
2019-11-26,0.02409000,0.02500000,0.02374000,0.02436000,6539282.10000000,158896.63272300,1083,4711346.70000000,114538.91015000
2019-11-27,0.02434000,0.02517000,0.02251000,0.02429000,10071452.20000000,239435.73375200,1782,6039911.00000000,143947.74602600
2019-11-28,0.02429000,0.02646000,0.02400000,0.02518000,6925965.70000000,173144.84194000,1140,3609662.50000000,89379.28008600
2019-11-29,0.02504000,0.02716000,0.02492000,0.02600000,5745663.20000000,150781.69767700,1064,2451526.60000000,64316.62130700
2019-11-30,0.02600000,0.02702000,0.02402000,0.02488000,5633287.90000000,144117.50356300,1072,2576611.90000000,65831.54430300
2019-12-01,0.02496000,0.02698000,0.02375000,0.02543000,3379855.60000000,83875.10465100,785,1601179.00000000,39893.83017900
2019-12-02,0.02548000,0.02662000,0.02397000,0.02421000,3457994.70000000,85355.55220400,600,1310561.20000000,32481.38616100
2019-12-03,0.02423000,0.02448000,0.02370000,0.02372000,3101846.70000000,74263.69948900,541,1875839.70000000,44906.31062200
2019-12-04,0.02377000,0.02481000,0.02200000,0.02271000,7667111.60000000,178184.45574300,1430,3596376.20000000,83498.42327400
2019-12-05,0.02268000,0.02299000,0.02175000,0.02247000,7320344.90000000,163784.79593000,1427,2863642.80000000,64135.85935100
2019-12-06,0.02263000,0.02385000,0.02210000,0.02364000,6042411.20000000,139527.82470400,1175,3033913.60000000,70231.64625000
2019-12-07,0.02366000,0.02550000,0.02361000,0.02461000,6454272.10000000,160124.66973900,1067,2292153.70000000,57004.66002400
2019-12-08,0.02458000,0.02635000,0.02373000,0.02620000,12111840.20000000,300273.11036100,2020,5644583.00000000,139990.53089200
2019-12-09,0.02616000,0.02876000,0.02448000,0.02518000,16682058.00000000,443126.41153100,3369,7687330.10000000,204860.72259900
2019-12-10,0.02519000,0.02531000,0.02185000,0.02334000,10864922.70000000,252943.90602500,1820,4313993.80000000,100516.50336200
2019-12-11,0.02334000,0.02522000,0.02334000,0.02473000,7637802.80000000,184256.15708300,1360,2932915.90000000,70874.78138400
2019-12-12,0.02473000,0.02494000,0.02310000,0.02330000,5495092.30000000,131502.66227100,1134,2187413.40000000,52321.98748900
2019-12-13,0.02330000,0.02439000,0.02305000,0.02346000,3214437.80000000,76213.41453900,1076,1592338.00000000,37835.25182100
2019-12-14,0.02347000,0.02500000,0.02306000,0.02325000,7137652.10000000,169091.65291800,859,3082016.50000000,72834.72716100
2019-12-15,0.02319000,0.02319000,0.02222000,0.02278000,3641398.60000000,82891.89860400,518,1294050.30000000,29449.42441900
2019-12-16,0.02277000,0.02339000,0.02085000,0.02086000,7531454.50000000,167617.34012400,1121,3272157.00000000,72865.62246500
2019-12-17,0.02097000,0.02117000,0.01836000,0.01840000,9827971.70000000,194904.48697000,1941,3739311.70000000,75224.26466400
2019-12-18,0.01846000,0.02013000,0.01785000,0.01940000,14915578.70000000,284385.26678500,2151,7695105.00000000,146545.15080400
2019-12-19,0.01940000,0.01957000,0.01790000,0.01809000,10387858.60000000,192227.73471400,1537,4726482.70000000,87697.31864200
2019-12-20,0.01808000,0.01943000,0.01795000,0.01883000,9264076.70000000,172417.07245200,1257,4621856.90000000,85892.89925000
2019-12-21,0.01872000,0.01916000,0.01771000,0.01827000,9059486.70000000,165930.45759200,952,3742950.70000000,68936.38688100
2019-12-22,0.01824000,0.02002000,0.01814000,0.01854000,17578513.40000000,336175.90996300,2066,7063670.20000000,135190.78808700
2019-12-23,0.01859000,0.01868000,0.01484000,0.01562000,92156546.50000000,1451606.27307800,9083,38640716.60000000,607703.58764400
2019-12-24,0.01557000,0.01589000,0.01496000,0.01512000,18065707.80000000,277164.81626700,1687,7553603.70000000,115979.40397400
