open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2023-12-07,0.15000000,4.94000000,0.15000000,2.39360000,126427052.70000000,283120328.39651000,894061,60597501.60000000,136118613.15584000
2023-12-08,2.39350000,3.77000000,2.37220000,3.57940000,218161446.60000000,683017405.14999000,2231105,110635637.20000000,346574068.47915000
2023-12-09,3.57940000,4.45000000,3.22750000,3.34990000,142849533.30000000,549316410.80182000,1722337,71310181.10000000,274486006.05881000
2023-12-10,3.34990000,3.74000000,3.17000000,3.45500000,67453495.00000000,231618606.40877000,758607,33664647.70000000,115676872.05491000
2023-12-11,3.45530000,3.47000000,2.54120000,3.00280000,67623014.60000000,203747917.70177000,615098,32638080.10000000,98376656.95122000
2023-12-12,3.00320000,3.35550000,2.79200000,2.96070000,54414281.40000000,166471430.33282000,504084,26323829.40000000,80582118.85682000
2023-12-13,2.96060000,2.98500000,2.60000000,2.83600000,39287095.20000000,108019403.21602000,344459,19188873.00000000,52834486.98631000
2023-12-14,2.83490000,3.46000000,2.71500000,3.45520000,61268666.10000000,186346504.99544000,655491,30611065.30000000,93349780.69863000
2023-12-15,3.45760000,3.62770000,2.80000000,2.83810000,72838328.80000000,236762050.66566000,947985,35771152.20000000,116417735.04371000
2023-12-16,2.83860000,3.20000000,2.79640000,2.92490000,34650006.40000000,103048855.23035000,409401,16836336.50000000,50130903.06327000
2023-12-17,2.92410000,2.96650000,2.68900000,2.70410000,25773740.00000000,72221302.98530000,290627,12288769.60000000,34438478.61158000
2023-12-18,2.70490000,2.74260000,2.22320000,2.50540000,40083686.20000000,98434646.00391000,406108,19009715.00000000,46633493.46688000
2023-12-19,2.50620000,2.65510000,2.33310000,2.37390000,30475352.90000000,75893303.32287000,300573,14340414.10000000,35760953.10992000
2023-12-20,2.37420000,2.82620000,2.32940000,2.65700000,43017609.00000000,112177662.59844000,419562,21446978.40000000,55985321.97628000
2023-12-21,2.65570000,2.89510000,2.55100000,2.82130000,38344796.00000000,105161911.93240000,414227,19062102.20000000,52319094.77150000
2023-12-22,2.82210000,2.94200000,2.45000000,2.60080000,34051743.90000000,90849432.54872000,349777,16544317.80000000,44161311.09889000
2023-12-23,2.60080000,2.66120000,2.48510000,2.62960000,17315524.30000000,44397150.71910000,176992,8286005.20000000,21265881.30699000
2023-12-24,2.62970000,2.72300000,2.35210000,2.44820000,24584505.50000000,63424550.81419000,237924,11754411.70000000,30346130.83322000
2023-12-25,2.44840000,2.90740000,2.41960000,2.74860000,31208354.30000000,82384825.53033000,305024,15981904.60000000,42308422.67950000
2023-12-26,2.74860000,2.86490000,2.30000000,2.51930000,26791330.40000000,69832305.35990000,307787,12143437.20000000,31740461.70572000
2023-12-27,2.51930000,2.53590000,2.41100000,2.44970000,17511614.30000000,43287026.42625000,196798,8243436.00000000,20380897.56729000
2023-12-28,2.44850000,2.50850000,2.24390000,2.31760000,15572965.50000000,36911529.20991000,183489,7287939.90000000,17283868.86251000
2023-12-29,2.32100000,2.33410000,2.10500000,2.24160000,15925678.00000000,35490277.07956000,170727,7469511.00000000,16645912.16958000
2023-12-30,2.24240000,2.30060000,2.13540000,2.20710000,9401420.30000000,20836508.35838000,102103,4366945.40000000,9689000.20742000
2023-12-31,2.20720000,2.28150000,1.59120000,1.88410000,17270575.50000000,35494279.76953000,187274,8095101.60000000,16626333.42890000
2024-01-01,1.88470000,2.05040000,1.80810000,2.00680000,24700863.50000000,46638218.83168000,285016,11815963.50000000,22325879.29062000
2024-01-02,2.00620000,2.05680000,1.86660000,1.93000000,19007964.10000000,37277978.15974000,190419,8408233.20000000,16490268.28439000
2024-01-03,1.93070000,1.96200000,1.32300000,1.54940000,29349727.80000000,47810406.80183000,255531,13286236.70000000,21581270.11327000
2024-01-04,1.54930000,1.65970000,1.50190000,1.62130000,15240031.60000000,24241050.38051000,133254,7374996.60000000,11747605.52290000
2024-01-05,1.62100000,1.63990000,1.45000000,1.58180000,17185711.20000000,26586088.21304000,149910,8343659.00000000,12912848.64044000
2024-01-06,1.58120000,1.93000000,1.46900000,1.73940000,58610259.40000000,102406177.44545000,533158,28655536.30000000,50023622.16509000
2024-01-07,1.73930000,1.84260000,1.53520000,1.55660000,31487149.90000000,53263135.47483000,252856,15015365.60000000,25412230.48208000
2024-01-08,1.55730000,1.73790000,1.41590000,1.68740000,28968870.80000000,45521973.33036000,245823,14098085.00000000,22162714.97825000
2024-01-09,1.68740000,1.76800000,1.46170000,1.57630000,21874324.80000000,35400718.60871000,167477,10462534.90000000,16917456.23704000
2024-01-10,1.57430000,2.10000000,1.52090000,1.95350000,32755802.50000000,57075990.80249000,275410,16144548.60000000,28164647.14658000
2024-01-11,1.95340000,2.20000000,1.79010000,2.11330000,42274398.60000000,84265633.06286000,349623,21062485.20000000,42037014.93096000
2024-01-12,2.11330000,2.27810000,1.86330000,1.96820000,34382535.00000000,71959707.26492000,334610,16853538.20000000,35320119.57428000
2024-01-13,1.96920000,2.54920000,1.94890000,2.47270000,38184574.40000000,85749708.99890000,400229,19934114.10000000,44802011.30220000
2024-01-14,2.47230000,2.78780000,2.39210000,2.52570000,45852749.10000000,119493365.73936000,503810,22597306.20000000,58900335.66618000
2024-01-15,2.52670000,2.64150000,2.33000000,2.39350000,21784017.10000000,54137900.64262000,228863,10219027.50000000,25444056.54412000
2024-01-16,2.39290000,2.74670000,2.30350000,2.58920000,28726788.70000000,71980063.07609000,284667,14197564.30000000,35616372.63977000
2024-01-17,2.58980000,2.77380000,2.53290000,2.56320000,26139802.50000000,69247158.99632000,263452,13078016.30000000,34666584.98757000
2024-01-18,2.56330000,2.58890000,2.14070000,2.15710000,21718805.80000000,50901281.36005000,220998,9622454.50000000,22492963.43680000
2024-01-19,2.15720000,2.38000000,2.01000000,2.25360000,30203975.60000000,65762253.93876000,312435,14931956.40000000,32554229.77516000
2024-01-20,2.25380000,2.31330000,2.11820000,2.19080000,11033193.00000000,24414470.54029000,113720,5516727.70000000,12214176.56381000
2024-01-21,2.19080000,2.22530000,2.09130000,2.10960000,7256700.60000000,15714839.66845000,68251,3448561.80000000,7473873.24952000
2024-01-22,2.10960000,2.18150000,1.97190000,2.00650000,12505727.00000000,25848583.44170000,120818,6086365.80000000,12583219.43102000
2024-01-23,2.00640000,2.08000000,1.77450000,1.95340000,15410030.40000000,29284682.11446000,130050,7423405.50000000,14150874.52682000
2024-01-24,1.95320000,1.98390000,1.87560000,1.96000000,9552519.20000000,18421183.01216000,84995,4899375.60000000,9451427.10496000
2024-01-25,1.95970000,1.95970000,1.81380000,1.87420000,6416905.40000000,12091238.00063000,63180,3214200.40000000,6057584.82930000
2024-01-26,1.87310000,2.23500000,1.85000000,2.09640000,13588784.80000000,27964388.83595000,140678,6927335.90000000,14249354.91254000
2024-01-27,2.09760000,2.17280000,2.02350000,2.08820000,9165697.80000000,19234113.08853000,84235,4541550.10000000,9531769.95686000
2024-01-28,2.08780000,2.16220000,1.96700000,1.99000000,8420061.90000000,17530207.43510000,81719,4061101.70000000,8464077.33697000
2024-01-29,1.99110000,2.11100000,1.97910000,2.07330000,9608149.60000000,19716048.17413000,81176,4960723.30000000,10189084.25340000
2024-01-30,2.07270000,2.33000000,2.05420000,2.17380000,22554597.30000000,49612202.24714000,206533,11503722.10000000,25318331.22267000
2024-01-31,2.17290000,2.18280000,1.89050000,1.91240000,20179248.20000000,41028870.25416000,158866,10568114.00000000,21448509.31587000
2024-02-01,1.91170000,1.93500000,1.83300000,1.89060000,10313574.00000000,19493853.64888000,87415,4915691.00000000,9293807.02397000
2024-02-02,1.88980000,1.99980000,1.88160000,1.96030000,7670221.50000000,14928589.10311000,72992,3792418.30000000,7381234.55655000
2024-02-03,1.96110000,2.00140000,1.87590000,1.89550000,4889734.80000000,9405869.04785000,40590,2110162.80000000,4063845.04395000
2024-02-04,1.89660000,1.89990000,1.80200000,1.81680000,4245145.00000000,7914381.87760000,43602,1899826.60000000,3543716.94669000
2024-02-05,1.81670000,1.84930000,1.75590000,1.80080000,5667901.60000000,10232519.64164000,52398,2646838.10000000,4782408.29306000
2024-02-06,1.80010000,1.82030000,1.70780000,1.77180000,5483739.00000000,9726795.95177000,43099,2692595.50000000,4780391.24018000
2024-02-07,1.77190000,1.87340000,1.73610000,1.85860000,6001820.70000000,10875646.84589000,51237,3024837.40000000,5483233.27567000
2024-02-08,1.85830000,1.88610000,1.82510000,1.83880000,5570193.10000000,10347631.58579000,49524,2830201.70000000,5260676.44449000
2024-02-09,1.83880000,2.01000000,1.83730000,1.97240000,10780954.40000000,21053997.49794000,108001,5599575.70000000,10936299.23209000
2024-02-10,1.97240000,2.01940000,1.90980000,1.94260000,5513036.20000000,10847736.31822000,51872,2584973.90000000,5089749.62819000
2024-02-11,1.94350000,2.14110000,1.93710000,2.01200000,9357213.60000000,19165030.12509000,88774,4591598.10000000,9413585.84487000
2024-02-12,2.01190000,2.10760000,1.92200000,2.06760000,7922595.50000000,16020493.14501000,72770,3810708.90000000,7701452.90797000
2024-02-13,2.06670000,2.22000000,2.01920000,2.15570000,15588182.30000000,33089576.77159000,152071,7430457.40000000,15787223.81352000
2024-02-14,2.15600000,2.29000000,2.12830000,2.23060000,13838908.00000000,30723920.09987000,135789,7047291.40000000,15650912.72995000
2024-02-15,2.23110000,2.29560000,2.13310000,2.18880000,7711555.50000000,17085632.44450000,83362,3659050.20000000,8114276.11267000
2024-02-16,2.18880000,2.31650000,2.14000000,2.23670000,11693913.90000000,26046691.86933000,122156,5896854.80000000,13136496.98770000
