open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2020-09-04,43.15000000,49.00000000,34.50000000,42.16700000,36214.15500000,1429416.56686300,6632,21661.68800000,838830.68332500
2020-09-05,42.00000000,43.99800000,29.32000000,32.49000000,88954.41200000,3143068.98472900,15424,39979.56600000,1425485.29415500
2020-09-06,32.55800000,39.80000000,30.04000000,38.03700000,63410.65400000,2187039.52294000,8799,29465.00800000,1023304.83444500
2020-09-07,37.89800000,38.37800000,30.50000000,35.20300000,56712.36000000,1928516.12612400,7750,28661.11100000,971597.65750000
2020-09-08,35.30400000,36.17200000,30.27000000,31.33700000,66993.42600000,2166012.34344400,9904,36144.57400000,1166361.16427700
2020-09-09,31.30000000,37.00000000,30.16800000,33.80600000,67385.97700000,2243074.12898900,8775,32215.63200000,1076000.04771700
2020-09-10,33.86300000,36.50000000,31.75700000,33.10200000,54819.77600000,1860162.13993500,6980,26522.60400000,896248.82387500
2020-09-11,33.01800000,33.01800000,30.70800000,31.76900000,67289.68700000,2124393.40633100,8460,37352.35000000,1177142.55685200
2020-09-12,31.77600000,36.99900000,31.00000000,35.15900000,74448.87600000,2500505.18817900,9665,37805.47700000,1265618.08900900
2020-09-13,35.15900000,42.20000000,34.50000000,39.32800000,160435.94400000,6125842.35669300,26444,84100.42500000,3214300.95835100
2020-09-14,39.33000000,43.43100000,38.05800000,40.00000000,110986.51000000,4516583.72332600,17847,56087.77300000,2282906.18201500
2020-09-15,40.16200000,43.05000000,37.66000000,39.33300000,76766.15100000,3082882.06634600,13774,36915.96800000,1480243.61645000
2020-09-16,39.26400000,42.64400000,37.44900000,42.35000000,77460.00800000,3139168.61628100,10403,34808.60900000,1413735.46089000
2020-09-17,42.32200000,50.28400000,42.18500000,47.15100000,131580.24100000,5978506.24423900,23461,60035.79000000,2730190.85353800
2020-09-18,47.19300000,48.99900000,41.60000000,44.69000000,69716.90400000,3212402.93851400,12619,34405.66700000,1588334.30155200
2020-09-19,44.69000000,47.64700000,43.68800000,43.75500000,57711.77900000,2623928.24445900,9882,28199.83000000,1279846.37657900
2020-09-20,43.78400000,44.76800000,36.79000000,39.73500000,62122.83300000,2502179.86953800,10092,27162.61100000,1090105.54525300
2020-09-21,39.69200000,40.40000000,31.00000000,31.66300000,92349.79400000,3154095.23478900,13680,47021.41000000,1605549.50263800
2020-09-22,31.78000000,33.91200000,30.80000000,33.19200000,48427.37500000,1561362.64688900,7582,19586.93400000,634574.94433300
2020-09-23,33.20600000,36.25300000,30.84500000,32.46500000,70763.05600000,2381463.56248600,8475,34941.42000000,1175472.02294100
2020-09-24,32.67500000,37.20000000,32.00100000,36.61300000,54056.49500000,1882801.66787600,6898,23741.30700000,828251.71483700
2020-09-25,36.61400000,37.59300000,35.49000000,36.84800000,40474.01100000,1476029.83216200,4986,20496.04400000,747823.05639900
2020-09-26,36.84700000,37.04800000,35.00000000,35.87900000,23805.30800000,855784.91097600,2856,10147.46200000,365264.08270500
2020-09-27,35.84400000,36.20700000,32.60000000,34.28000000,34443.90900000,1179999.50310800,4557,20008.46500000,685218.51831800
2020-09-28,34.38000000,36.51800000,32.20000000,33.71300000,47709.84700000,1640784.59422200,6724,21478.16300000,737024.74080600
2020-09-29,33.69900000,35.71000000,33.50400000,35.51200000,22647.45500000,782129.88225800,3264,11116.22100000,384378.57022200
2020-09-30,35.51500000,35.76900000,33.51500000,33.80000000,18988.81500000,653813.33461100,2295,7467.00200000,257228.43142700
2020-10-01,33.95200000,35.99700000,32.54100000,34.13400000,43628.34100000,1509459.83181000,6007,22843.64000000,793525.88305500
2020-10-02,34.13400000,34.30400000,30.46800000,32.26000000,47957.78700000,1519810.95063900,5951,24749.33400000,784254.93170100
2020-10-03,32.26000000,33.40000000,31.56500000,32.35100000,11866.40000000,384684.73703100,2144,6504.56400000,211090.29514900
2020-10-04,32.33300000,33.12700000,31.06900000,31.99600000,16839.58000000,534736.18718100,3086,9005.23900000,286658.83109500
2020-10-05,31.98200000,33.10900000,31.26100000,31.72800000,17350.79700000,555874.83344800,2550,6414.36500000,205778.39806000
2020-10-06,31.72800000,31.98800000,27.10000000,27.64700000,34134.82300000,1030325.94543300,4209,13608.35300000,410992.55506000
2020-10-07,27.58200000,28.00000000,24.20000000,26.47600000,65982.93900000,1732436.86825200,8190,34095.69000000,895084.28972100
2020-10-08,26.43300000,29.49900000,23.15800000,27.75400000,86219.10400000,2240624.13203400,9025,40156.83400000,1051091.28489500
2020-10-09,27.83000000,30.51500000,27.10300000,29.74100000,41277.73100000,1196952.91311100,5914,19021.86400000,551191.61480900
2020-10-10,29.70200000,32.60000000,29.29300000,29.67800000,42305.11300000,1302924.22255000,7397,23842.74500000,735108.46596900
2020-10-11,29.64300000,31.08000000,28.00000000,29.11200000,25866.70000000,755665.20950500,4004,12910.84900000,378955.53737700
2020-10-12,29.20000000,33.15000000,29.01100000,32.19900000,46874.08000000,1472680.28496900,7871,22454.42500000,704250.89019800
2020-10-13,32.23800000,32.94000000,30.00000000,30.64200000,27561.47300000,864965.02780300,3566,11738.15900000,368674.87247700
2020-10-14,30.64500000,32.50000000,28.92500000,31.16700000,51987.81700000,1601506.10976700,8201,29256.50600000,904420.76044100
2020-10-15,30.97800000,31.12000000,28.98300000,29.43700000,29014.19100000,861082.55615000,3741,13962.64800000,415361.10630600
2020-10-16,29.52300000,29.92000000,27.15800000,28.03400000,30913.82600000,873083.83941900,3933,13466.36800000,379358.35586200
2020-10-17,28.18600000,29.72100000,27.84600000,29.37300000,19652.59900000,569765.15696400,2988,9519.35200000,275897.95062900
2020-10-18,29.35400000,31.74900000,29.05300000,31.05500000,27463.81900000,838412.49596600,5155,14280.78700000,436615.56955100
2020-10-19,31.05500000,31.34300000,28.62000000,29.07400000,31437.39000000,947868.32411600,5655,13667.61200000,412632.62585400
2020-10-20,29.07400000,29.63000000,27.51000000,27.81900000,36893.02900000,1061062.85053100,5165,18189.42700000,523038.96497600
2020-10-21,27.87400000,29.18100000,27.12300000,27.82800000,63353.96800000,1784554.92527200,8134,33036.16400000,930166.03221000
2020-10-22,27.82900000,29.32600000,27.81000000,28.15600000,48926.75200000,1401331.80049000,5234,25315.38400000,725523.81243900
2020-10-23,28.10300000,30.53000000,27.12300000,28.02500000,69670.09200000,1967504.63236100,7306,39862.65700000,1127785.69698000
2020-10-24,28.00200000,28.15500000,26.40000000,27.14500000,47410.36200000,1291919.17535400,5131,22832.16300000,623239.77598200
2020-10-25,27.03200000,28.07300000,26.15000000,26.73300000,58354.51700000,1582369.19907200,7671,27476.41400000,746081.86152700
2020-10-26,26.68900000,36.65700000,26.08500000,35.45000000,401054.62700000,13273161.33239600,49214,207962.23400000,6887339.17436500
2020-10-27,35.43600000,37.56900000,32.55300000,34.20500000,205499.03300000,7068346.93082100,27736,102664.90800000,3540304.53860200
2020-10-28,34.27200000,34.70000000,30.29100000,31.65800000,122455.22300000,3899069.83534600,16238,59803.00300000,1905444.68524100
2020-10-29,31.65400000,32.78700000,28.78000000,29.94600000,77438.01300000,2361889.41840200,9861,35197.16700000,1076208.97820800
2020-10-30,29.94700000,30.58300000,27.94100000,29.64000000,60697.19100000,1747647.52507600,7596,27899.41400000,805123.60465100
2020-10-31,29.63200000,31.41300000,29.24700000,30.46000000,40625.97900000,1236301.18235000,5497,21060.91100000,641740.31248900
2020-11-01,30.46600000,33.10000000,29.82800000,32.21500000,48382.19100000,1522683.55117300,7695,25049.25400000,787850.04768400
2020-11-02,32.21500000,32.56400000,29.31000000,29.99000000,56981.99900000,1743182.46680900,7458,24736.25900000,759812.67393300
2020-11-03,29.98000000,30.86200000,27.63200000,29.01200000,57484.07600000,1671949.23418000,6696,24409.38400000,709819.79082100
2020-11-04,29.01100000,29.67500000,27.48200000,28.65400000,39564.79100000,1128881.87335400,5190,18992.45600000,543007.70736400
2020-11-05,28.66600000,31.46400000,28.45100000,30.13300000,45782.56400000,1360935.39468400,7420,23572.38300000,701796.82480500
2020-11-06,30.11900000,33.58400000,30.04700000,32.89100000,89609.15400000,2897233.80876800,11017,46871.24700000,1513949.32384000
2020-11-07,32.91400000,35.40000000,29.52300000,31.31400000,118732.75500000,3893347.45011100,14276,59818.77400000,1963448.99836800
2020-11-08,31.25600000,33.71200000,30.52100000,32.89500000,47771.11000000,1536983.90070400,5886,24197.03700000,778310.52238000
2020-11-09,32.96700000,34.49800000,31.83500000,33.01500000,70313.30600000,2346507.70827300,7599,36329.16700000,1215013.60576500
2020-11-10,33.05600000,36.70000000,32.58600000,35.19200000,93761.29300000,3223188.96258400,12954,48464.31200000,1662184.43321400
2020-11-11,35.20000000,37.80000000,34.77400000,35.60700000,130684.27700000,4735055.19066500,21756,69391.12900000,2515781.63481200
2020-11-12,35.66900000,39.80000000,35.02100000,38.15300000,101732.05500000,3803674.04945300,15831,53603.48800000,2005263.76789400
2020-11-13,38.15600000,39.44400000,37.18300000,38.56500000,64347.61700000,2470934.03977800,12800,30407.38800000,1167936.90019200
2020-11-14,38.64100000,38.76200000,35.50100000,36.95400000,66843.84500000,2469995.92391700,11994,31468.76800000,1162897.47638800
2020-11-15,36.98700000,37.83000000,34.10000000,35.41100000,74746.44500000,2694583.68881300,13956,35340.59100000,1275014.17483400
2020-11-16,35.35300000,37.00000000,34.20000000,36.18300000,60083.68400000,2161715.94421300,11566,27416.13900000,987035.77104400
2020-11-17,36.12900000,38.65800000,35.72600000,38.14600000,79212.33800000,2961699.53769400,15870,41102.33100000,1538495.89472300
2020-11-18,38.11600000,38.42200000,34.00000000,35.64200000,80932.25900000,2925270.95939400,13817,37930.59700000,1369282.57131800
2020-11-19,35.55800000,37.50000000,34.53100000,35.31400000,69530.11000000,2487361.78143000,13903,32750.53300000,1175453.15930600
2020-11-20,35.28600000,39.37900000,34.97500000,37.75300000,127636.24000000,4832409.26107800,22753,68263.05900000,2586097.74975200
2020-11-21,37.78700000,41.40000000,36.80000000,40.63100000,107440.26400000,4205177.25336200,20645,55688.17700000,2181652.43781900
