open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-05-27T00:00Z,0.97300000,0.98000000,0.97100000,0.98000000,128462.27000000,125348.70718000,552,74605.54000000,72811.23399000
2026-05-27T01:00Z,0.98000000,0.98200000,0.97000000,0.97100000,156595.92000000,153164.96098000,745,77831.45000000,76178.44062000
2026-05-27T02:00Z,0.97000000,0.97100000,0.96300000,0.97100000,161301.39000000,156099.98248000,812,79917.47000000,77368.74356000
2026-05-27T03:00Z,0.97100000,0.97700000,0.96800000,0.96800000,161545.90000000,156880.87770000,739,78262.96000000,76058.47000000
2026-05-27T04:00Z,0.96800000,0.96900000,0.95400000,0.96500000,438290.93000000,420172.82216000,1370,203753.55000000,195263.29213000
2026-05-27T05:00Z,0.96400000,0.97300000,0.96200000,0.97100000,225490.21000000,217792.47651000,940,82215.26000000,79458.28011000
2026-05-27T06:00Z,0.97200000,0.98100000,0.97000000,0.98100000,240831.56000000,235211.86803000,1266,138209.08000000,134962.11035000
2026-05-27T07:00Z,0.98100000,0.98200000,0.97200000,0.97800000,224752.14000000,219488.97191000,945,117771.09000000,115071.76946000
2026-05-27T08:00Z,0.97700000,0.98600000,0.97200000,0.97400000,326158.94000000,319705.86962000,1391,179841.40000000,176299.01417000
2026-05-27T09:00Z,0.97400000,0.97500000,0.96600000,0.96600000,160737.17000000,155860.26053000,674,65264.21000000,63305.51824000
2026-05-27T10:00Z,0.96500000,0.97100000,0.96300000,0.96800000,173177.57000000,167572.24199000,641,87062.24000000,84237.05355000
2026-05-27T11:00Z,0.96800000,0.97800000,0.96700000,0.96700000,201919.07000000,196583.68068000,860,93967.00000000,91530.58844000
2026-05-27T12:00Z,0.96700000,0.98100000,0.96200000,0.97100000,443944.08000000,431692.43865000,1711,249018.80000000,242472.43704000
2026-05-27T13:00Z,0.97200000,0.97300000,0.94800000,0.96100000,844482.83000000,807777.37446000,3370,397412.88000000,380152.03696000
2026-05-27T14:00Z,0.96200000,0.97100000,0.95600000,0.97000000,387066.72000000,372679.24603000,1650,173234.85000000,166918.95000000
2026-05-27T15:00Z,0.96900000,1.00400000,0.96800000,0.99600000,1309050.46000000,1300279.25124000,4016,846158.81000000,840502.50678000
2026-05-27T16:00Z,0.99600000,1.00200000,0.97500000,0.98300000,592537.74000000,585126.22647000,1669,267871.83000000,264134.40988000
2026-05-27T17:00Z,0.98200000,0.98300000,0.96400000,0.96800000,556025.41000000,540736.80318000,1781,250987.12000000,244078.11933000
2026-05-27T18:00Z,0.96700000,0.97600000,0.96000000,0.97500000,349625.04000000,337614.85533000,1393,153244.27000000,147943.10072000
2026-05-27T19:00Z,0.97600000,0.98000000,0.97200000,0.97500000,254431.84000000,248666.49125000,812,93591.18000000,91466.05443000
2026-05-27T20:00Z,0.97500000,0.97900000,0.96800000,0.97500000,146221.12000000,142519.94621000,709,87342.83000000,85140.01204000
2026-05-27T21:00Z,0.97500000,0.97900000,0.94100000,0.95100000,317726.41000000,304322.26389000,2102,127074.33000000,122051.60774000
2026-05-27T22:00Z,0.95100000,0.95600000,0.94400000,0.94800000,192695.97000000,183332.91456000,1327,78976.56000000,75155.97468000
2026-05-27T23:00Z,0.94700000,0.95200000,0.94200000,0.95100000,212174.04000000,201120.26622000,946,106050.18000000,100502.77189000
2026-05-28T00:00Z,0.95100000,0.95600000,0.94900000,0.95300000,272909.99000000,259766.13656000,767,86396.68000000,82286.60162000
2026-05-28T01:00Z,0.95300000,0.95500000,0.93900000,0.94800000,327152.95000000,309072.08606000,1009,142252.01000000,134431.25974000
2026-05-28T02:00Z,0.94900000,0.95100000,0.94400000,0.94500000,166342.29000000,157693.10612000,784,81146.49000000,76950.76046000
2026-05-28T03:00Z,0.94500000,0.94500000,0.91400000,0.91700000,1058143.31000000,980059.89483000,3471,414345.93000000,383688.51637000
2026-05-28T04:00Z,0.91600000,0.91700000,0.90000000,0.91200000,420651.13000000,382733.68238000,1972,199102.95000000,181235.85461000
2026-05-28T05:00Z,0.91300000,0.91300000,0.90200000,0.90800000,715164.32000000,648846.08031000,2152,215355.54000000,195365.56071000
2026-05-28T06:00Z,0.90700000,0.91500000,0.90300000,0.91200000,970887.78000000,881386.83203000,1857,647104.68000000,587347.97809000
2026-05-28T07:00Z,0.91200000,0.92200000,0.91100000,0.91900000,233490.06000000,214000.08080000,687,116379.91000000,106643.88313000
2026-05-28T08:00Z,0.91800000,0.92200000,0.91100000,0.91500000,1324088.34000000,1215031.34506000,7547,844218.13000000,774734.21495000
2026-05-28T09:00Z,0.91600000,0.92900000,0.91500000,0.92800000,349319.49000000,321413.99429000,2205,188017.14000000,172996.75670000
2026-05-28T10:00Z,0.92800000,0.93400000,0.91900000,0.92000000,262181.90000000,242929.87433000,1106,129331.25000000,119920.22781000
