open_time_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2026-05-29T00:00Z,0.19420000,0.19540000,0.19410000,0.19500000,42280.60000000,8235.65417000,79,9429.40000000,1836.11570000
2026-05-29T01:00Z,0.19490000,0.19540000,0.19410000,0.19480000,10601.30000000,2064.62539000,28,2192.40000000,426.59971000
2026-05-29T02:00Z,0.19460000,0.19480000,0.19140000,0.19140000,96605.30000000,18626.82614000,218,37781.10000000,7283.23587000
2026-05-29T03:00Z,0.19180000,0.19270000,0.19170000,0.19180000,19667.00000000,3779.56231000,47,8160.30000000,1567.96566000
2026-05-29T04:00Z,0.19170000,0.19260000,0.19030000,0.19260000,73570.40000000,14096.48907000,108,35842.80000000,6875.81713000
2026-05-29T05:00Z,0.19270000,0.19310000,0.19190000,0.19270000,116282.60000000,22390.90011000,399,54649.70000000,10528.46339000
2026-05-29T06:00Z,0.19270000,0.19310000,0.19160000,0.19230000,363081.00000000,69857.22580000,1834,127440.00000000,24519.59352000
2026-05-29T07:00Z,0.19240000,0.19270000,0.19010000,0.19170000,257027.00000000,49222.86179000,909,91286.00000000,17479.88334000
2026-05-29T08:00Z,0.19150000,0.19190000,0.19090000,0.19190000,65767.60000000,12595.58473000,150,13567.60000000,2599.68307000
2026-05-29T09:00Z,0.19200000,0.19270000,0.19150000,0.19250000,65948.20000000,12659.66470000,112,21733.30000000,4177.04576000
2026-05-29T10:00Z,0.19260000,0.19260000,0.19110000,0.19150000,39893.10000000,7638.18054000,66,22185.00000000,4244.78342000
2026-05-29T11:00Z,0.19130000,0.19190000,0.19000000,0.19100000,75831.80000000,14469.92853000,114,25003.00000000,4783.20344000
2026-05-29T12:00Z,0.19110000,0.19120000,0.18960000,0.19050000,49028.60000000,9326.44041000,120,15490.20000000,2944.75113000
2026-05-29T13:00Z,0.19020000,0.19080000,0.18910000,0.19080000,60090.10000000,11413.47836000,118,26162.60000000,4965.14052000
2026-05-29T14:00Z,0.19070000,0.19160000,0.18720000,0.19080000,208514.00000000,39434.28201000,347,93624.40000000,17689.49063000
2026-05-29T15:00Z,0.19060000,0.19680000,0.19050000,0.19540000,196495.70000000,38183.48351000,297,94139.50000000,18237.71949000
2026-05-29T16:00Z,0.19570000,0.19590000,0.19400000,0.19510000,100829.80000000,19681.93460000,164,38436.80000000,7502.97463000
2026-05-29T17:00Z,0.19510000,0.19580000,0.19420000,0.19420000,117092.40000000,22861.27803000,265,34344.90000000,6708.11793000
2026-05-29T18:00Z,0.19420000,0.19520000,0.19200000,0.19260000,120701.60000000,23356.61337000,310,38682.80000000,7484.82909000
2026-05-29T19:00Z,0.19270000,0.19340000,0.19120000,0.19320000,84436.30000000,16274.13804000,126,30133.00000000,5802.58406000
