date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.0075,0.6675,0.3325
2026-08-26,1.9771,0.6641,0.3359
2026-08-27,1.9308,0.6588,0.3412
2026-08-28,1.9369,0.6595,0.3405
2026-08-29,1.8760,0.6523,0.3477
2026-08-30,1.8169,0.6450,0.3550
2026-08-31,1.8711,0.6517,0.3483
2026-09-01,1.8106,0.6442,0.3558
2026-09-02,1.8035,0.6433,0.3567
2026-09-03,1.7724,0.6393,0.3607
2026-09-04,1.8752,0.6522,0.3478
2026-09-05,2.1066,0.6781,0.3219
2026-09-06,1.9753,0.6639,0.3361
2026-09-07,2.0057,0.6673,0.3327
2026-09-08,2.0432,0.6714,0.3286
2026-09-09,2.0157,0.6684,0.3316
2026-09-10,1.9138,0.6568,0.3432
2026-09-11,1.9551,0.6616,0.3384
2026-09-12,1.8305,0.6467,0.3533
2026-09-13,1.8066,0.6437,0.3563
2026-09-14,1.8794,0.6527,0.3473
2026-09-15,1.9895,0.6655,0.3345
2026-09-16,1.7778,0.6400,0.3600
2026-09-17,1.7159,0.6318,0.3682
2026-09-18,1.7770,0.6399,0.3601
2026-09-19,1.8555,0.6498,0.3502
2026-09-20,2.1230,0.6798,0.3202
2026-09-21,2.2626,0.6935,0.3065
2026-09-22,2.4376,0.7091,0.2909
2026-09-23,2.8670,0.7414,0.2586
2026-09-24,2.3681,0.7031,0.2969
2026-09-25,2.4211,0.7077,0.2923
