date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.7078,0.6307,0.3693
2026-08-26,1.6462,0.6221,0.3779
2026-08-27,1.6546,0.6233,0.3767
2026-08-28,1.6082,0.6166,0.3834
2026-08-29,1.6116,0.6171,0.3829
2026-08-30,1.6302,0.6198,0.3802
2026-08-31,1.6192,0.6182,0.3818
2026-09-01,1.6469,0.6222,0.3778
2026-09-02,1.6695,0.6254,0.3746
2026-09-03,1.4290,0.5883,0.4117
2026-09-04,1.2341,0.5524,0.4476
2026-09-05,1.0404,0.5099,0.4901
2026-09-06,1.0157,0.5039,0.4961
2026-09-07,1.0020,0.5005,0.4995
2026-09-08,1.0661,0.5160,0.4840
2026-09-09,1.1340,0.5314,0.4686
2026-09-10,1.0973,0.5232,0.4768
2026-09-11,1.0222,0.5055,0.4945
2026-09-12,0.9940,0.4985,0.5015
2026-09-13,1.1286,0.5302,0.4698
2026-09-14,1.1057,0.5251,0.4749
2026-09-15,1.0816,0.5196,0.4804
2026-09-16,1.0760,0.5183,0.4817
2026-09-17,1.0551,0.5134,0.4866
2026-09-18,1.2143,0.5484,0.4516
2026-09-19,1.4079,0.5847,0.4153
2026-09-20,1.5582,0.6091,0.3909
2026-09-21,1.7435,0.6355,0.3645
2026-09-22,1.9967,0.6663,0.3337
2026-09-23,2.2648,0.6937,0.3063
2026-09-24,2.1776,0.6853,0.3147
