date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.7122,0.6313,0.3687
2026-08-26,1.5988,0.6152,0.3848
2026-08-27,1.6567,0.6236,0.3764
2026-08-28,1.7427,0.6354,0.3646
2026-08-29,1.7586,0.6375,0.3625
2026-08-30,1.6947,0.6289,0.3711
2026-08-31,1.7571,0.6373,0.3627
2026-09-01,1.6925,0.6286,0.3714
2026-09-02,1.5641,0.6100,0.3900
2026-09-03,1.5497,0.6078,0.3922
2026-09-04,1.5082,0.6013,0.3987
2026-09-05,1.5615,0.6096,0.3904
2026-09-06,1.6008,0.6155,0.3845
2026-09-07,1.6745,0.6261,0.3739
2026-09-08,1.6774,0.6265,0.3735
2026-09-09,1.6903,0.6283,0.3717
2026-09-10,1.6344,0.6204,0.3796
2026-09-11,1.5826,0.6128,0.3872
2026-09-12,1.6281,0.6195,0.3805
2026-09-13,1.6695,0.6254,0.3746
2026-09-14,1.3958,0.5826,0.4174
2026-09-15,1.3546,0.5753,0.4247
2026-09-16,1.2650,0.5585,0.4415
2026-09-17,1.1801,0.5413,0.4587
2026-09-18,1.3838,0.5805,0.4195
2026-09-19,1.4372,0.5897,0.4103
2026-09-20,1.5006,0.6001,0.3999
2026-09-21,1.5471,0.6074,0.3926
2026-09-22,1.6062,0.6163,0.3837
2026-09-23,1.6295,0.6197,0.3803
2026-09-24,1.5013,0.6002,0.3998
2026-09-25,1.6824,0.6272,0.3728
