date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3207,0.5691,0.4309
2026-08-26,1.3245,0.5698,0.4302
2026-08-27,1.2416,0.5539,0.4461
2026-08-28,1.2065,0.5468,0.4532
2026-08-29,1.0161,0.5040,0.4960
2026-08-30,1.0317,0.5078,0.4922
2026-08-31,1.0442,0.5108,0.4892
2026-09-01,1.0247,0.5061,0.4939
2026-09-02,1.3084,0.5668,0.4332
2026-09-03,1.4015,0.5836,0.4164
2026-09-04,1.3272,0.5703,0.4297
2026-09-05,1.3256,0.5700,0.4300
2026-09-06,1.4655,0.5944,0.4056
2026-09-07,1.3923,0.5820,0.4180
2026-09-08,1.4667,0.5946,0.4054
2026-09-09,1.4355,0.5894,0.4106
2026-09-10,1.3419,0.5730,0.4270
2026-09-11,1.2046,0.5464,0.4536
2026-09-12,1.2962,0.5645,0.4355
2026-09-13,1.3646,0.5771,0.4229
2026-09-14,1.3277,0.5704,0.4296
2026-09-15,1.3463,0.5738,0.4262
2026-09-16,1.3121,0.5675,0.4325
2026-09-17,1.1281,0.5301,0.4699
2026-09-18,1.3810,0.5800,0.4200
2026-09-19,1.4673,0.5947,0.4053
2026-09-20,1.3381,0.5723,0.4277
2026-09-21,1.4027,0.5838,0.4162
2026-09-22,1.4219,0.5871,0.4129
2026-09-23,1.4372,0.5897,0.4103
2026-09-24,1.4462,0.5912,0.4088
2026-09-25,1.3669,0.5775,0.4225
