date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.5791,0.7206,0.2794
2026-08-26,2.5817,0.7208,0.2792
2026-08-27,2.5524,0.7185,0.2815
2026-08-28,2.4819,0.7128,0.2872
2026-08-29,2.5474,0.7181,0.2819
2026-08-30,2.1319,0.6807,0.3193
2026-08-31,1.9334,0.6591,0.3409
2026-09-01,1.8678,0.6513,0.3487
2026-09-02,2.1221,0.6797,0.3203
2026-09-03,2.1939,0.6869,0.3131
2026-09-04,2.3647,0.7028,0.2972
2026-09-05,2.4614,0.7111,0.2889
2026-09-06,2.5461,0.7180,0.2820
2026-09-07,2.7216,0.7313,0.2687
2026-09-08,2.7566,0.7338,0.2662
2026-09-09,2.8610,0.7410,0.2590
2026-09-10,2.8536,0.7405,0.2595
2026-09-11,2.9604,0.7475,0.2525
2026-09-12,3.1545,0.7593,0.2407
2026-09-13,2.7936,0.7364,0.2636
2026-09-14,2.8536,0.7405,0.2595
2026-09-15,3.0355,0.7522,0.2478
2026-09-16,3.1305,0.7579,0.2421
2026-09-17,3.0486,0.7530,0.2470
2026-09-18,3.0766,0.7547,0.2453
2026-09-19,3.1494,0.7590,0.2410
2026-09-20,2.4235,0.7079,0.2921
2026-09-21,2.6036,0.7225,0.2775
2026-09-22,2.8329,0.7391,0.2609
2026-09-23,2.8110,0.7376,0.2624
2026-09-24,2.7750,0.7351,0.2649
2026-09-25,2.8610,0.7410,0.2590
2026-09-26,2.9526,0.7470,0.2530
