date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.4388,0.7092,0.2908
2026-08-26,2.4734,0.7121,0.2879
2026-08-27,2.4376,0.7091,0.2909
2026-08-28,2.3715,0.7034,0.2966
2026-08-29,2.4650,0.7114,0.2886
2026-08-30,2.4953,0.7139,0.2861
2026-08-31,2.5088,0.7150,0.2850
2026-09-01,2.4223,0.7078,0.2922
2026-09-02,2.3967,0.7056,0.2944
2026-09-03,2.3727,0.7035,0.2965
2026-09-04,2.0807,0.6754,0.3246
2026-09-05,2.1556,0.6831,0.3169
2026-09-06,1.7465,0.6359,0.3641
2026-09-07,2.2185,0.6893,0.3107
2026-09-08,2.2723,0.6944,0.3056
2026-09-09,2.2808,0.6952,0.3048
2026-09-10,2.5600,0.7191,0.2809
2026-09-11,2.6206,0.7238,0.2762
2026-09-12,2.5625,0.7193,0.2807
2026-09-13,2.4880,0.7133,0.2867
2026-09-14,2.4722,0.7120,0.2880
2026-09-15,2.1696,0.6845,0.3155
2026-09-16,2.4200,0.7076,0.2924
2026-09-17,2.5625,0.7193,0.2807
2026-09-18,2.4965,0.7140,0.2860
2026-09-19,2.1857,0.6861,0.3139
2026-09-20,2.1466,0.6822,0.3178
2026-09-21,2.1898,0.6865,0.3135
2026-09-22,2.1636,0.6839,0.3161
2026-09-23,2.2062,0.6881,0.3119
2026-09-24,2.3003,0.6970,0.3030
2026-09-25,2.1230,0.6798,0.3202
