date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.2070,0.5469,0.4531
2026-08-26,1.1872,0.5428,0.4572
2026-08-27,1.1925,0.5439,0.4561
2026-08-28,1.2207,0.5497,0.4503
2026-08-29,1.1317,0.5309,0.4691
2026-08-30,1.0743,0.5179,0.4821
2026-08-31,1.0186,0.5046,0.4954
2026-09-01,1.2090,0.5473,0.4527
2026-09-02,1.2619,0.5579,0.4421
2026-09-03,1.2178,0.5491,0.4509
2026-09-04,1.2676,0.5590,0.4410
2026-09-05,1.3941,0.5823,0.4177
2026-09-06,1.4349,0.5893,0.4107
2026-09-07,1.4456,0.5911,0.4089
2026-09-08,1.5316,0.6050,0.3950
2026-09-09,1.4576,0.5931,0.4069
2026-09-10,1.3590,0.5761,0.4239
2026-09-11,1.3513,0.5747,0.4253
2026-09-12,1.4349,0.5893,0.4107
2026-09-13,1.3052,0.5662,0.4338
2026-09-14,1.5025,0.6004,0.3996
2026-09-15,1.2925,0.5638,0.4362
2026-09-16,1.2002,0.5455,0.4545
2026-09-17,1.2931,0.5639,0.4361
2026-09-18,1.2795,0.5613,0.4387
2026-09-19,1.2306,0.5517,0.4483
2026-09-20,1.4219,0.5871,0.4129
2026-09-21,1.3759,0.5791,0.4209
2026-09-22,1.4802,0.5968,0.4032
2026-09-23,1.5195,0.6031,0.3969
2026-09-24,1.4863,0.5978,0.4022
2026-09-25,1.5297,0.6047,0.3953
2026-09-26,1.4981,0.5997,0.4003
