date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.6767,0.6264,0.3736
2026-08-26,1.9709,0.6634,0.3366
2026-08-27,1.8563,0.6499,0.3501
2026-08-28,1.8361,0.6474,0.3526
2026-08-29,1.5233,0.6037,0.3963
2026-08-30,1.3663,0.5774,0.4226
2026-08-31,1.4925,0.5988,0.4012
2026-09-01,1.5063,0.6010,0.3990
2026-09-02,1.5394,0.6062,0.3938
2026-09-03,1.5549,0.6086,0.3914
2026-09-04,1.5170,0.6027,0.3973
2026-09-05,1.3068,0.5665,0.4335
2026-09-06,1.7027,0.6300,0.3700
2026-09-07,1.9762,0.6640,0.3360
2026-09-08,2.5727,0.7201,0.2799
2026-09-09,2.2383,0.6912,0.3088
2026-09-10,2.0321,0.6702,0.3298
2026-09-11,1.5419,0.6066,0.3934
2026-09-12,1.8843,0.6533,0.3467
2026-09-13,1.7996,0.6428,0.3572
2026-09-14,1.7503,0.6364,0.3636
2026-09-15,1.7510,0.6365,0.3635
2026-09-16,0.9508,0.4874,0.5126
2026-09-17,0.9436,0.4855,0.5145
2026-09-18,1.1340,0.5314,0.4686
2026-09-19,2.1221,0.6797,0.3203
2026-09-20,1.6667,0.6250,0.3750
2026-09-21,1.4096,0.5850,0.4150
2026-09-22,1.9709,0.6634,0.3366
2026-09-23,2.5100,0.7151,0.2849
2026-09-24,2.0276,0.6697,0.3303
2026-09-25,2.3546,0.7019,0.2981
2026-09-26,2.2531,0.6926,0.3074
