date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4260,0.5878,0.4122
2026-08-26,1.2941,0.5641,0.4359
2026-08-27,1.2821,0.5618,0.4382
2026-08-28,1.3810,0.5800,0.4200
2026-08-29,1.2442,0.5544,0.4456
2026-08-30,1.2396,0.5535,0.4465
2026-08-31,1.1993,0.5453,0.4547
2026-09-01,1.1626,0.5376,0.4624
2026-09-02,1.2487,0.5553,0.4447
2026-09-03,1.5556,0.6087,0.3913
2026-09-04,1.6171,0.6179,0.3821
2026-09-05,1.5019,0.6003,0.3997
2026-09-06,1.6767,0.6264,0.3736
2026-09-07,1.6233,0.6188,0.3812
2026-09-08,1.8637,0.6508,0.3492
2026-09-09,2.0497,0.6721,0.3279
2026-09-10,1.7571,0.6373,0.3627
2026-09-11,1.7824,0.6406,0.3594
2026-09-12,1.6645,0.6247,0.3753
2026-09-13,1.6998,0.6296,0.3704
2026-09-14,1.8678,0.6513,0.3487
2026-09-15,1.8902,0.6540,0.3460
2026-09-16,1.7510,0.6365,0.3635
2026-09-17,1.4679,0.5948,0.4052
2026-09-18,1.3753,0.5790,0.4210
2026-09-19,1.4349,0.5893,0.4107
2026-09-20,2.0703,0.6743,0.3257
2026-09-21,1.6709,0.6256,0.3744
2026-09-22,1.5820,0.6127,0.3873
2026-09-23,1.4988,0.5998,0.4002
2026-09-24,1.4426,0.5906,0.4094
