date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4108,0.5852,0.4148
2026-08-26,1.4673,0.5947,0.4053
2026-08-27,1.4372,0.5897,0.4103
2026-08-28,1.4869,0.5979,0.4021
2026-08-29,1.4432,0.5907,0.4093
2026-08-30,1.4260,0.5878,0.4122
2026-08-31,1.4655,0.5944,0.4056
2026-09-01,1.4033,0.5839,0.4161
2026-09-02,1.4149,0.5859,0.4141
2026-09-03,1.4096,0.5850,0.4150
2026-09-04,1.3143,0.5679,0.4321
2026-09-05,1.2883,0.5630,0.4370
2026-09-06,1.3624,0.5767,0.4233
2026-09-07,1.4137,0.5857,0.4143
2026-09-08,1.3714,0.5783,0.4217
2026-09-09,1.3889,0.5814,0.4186
2026-09-10,1.3132,0.5677,0.4323
2026-09-11,1.2941,0.5641,0.4359
2026-09-12,1.2815,0.5617,0.4383
2026-09-13,1.3041,0.5660,0.4340
2026-09-14,1.2774,0.5609,0.4391
2026-09-15,1.5202,0.6032,0.3968
2026-09-16,1.2568,0.5569,0.4431
2026-09-17,0.9932,0.4983,0.5017
2026-09-18,1.1281,0.5301,0.4699
2026-09-19,1.3310,0.5710,0.4290
2026-09-20,1.3245,0.5698,0.4302
2026-09-21,1.4552,0.5927,0.4073
2026-09-22,1.3764,0.5792,0.4208
2026-09-23,1.4802,0.5968,0.4032
2026-09-24,1.3827,0.5803,0.4197
2026-09-25,1.3105,0.5672,0.4328
