date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.0683,0.5165,0.4835
2026-08-26,0.9482,0.4867,0.5133
2026-08-27,0.8918,0.4714,0.5286
2026-08-28,0.9062,0.4754,0.5246
2026-08-29,0.8460,0.4583,0.5417
2026-08-30,0.8064,0.4464,0.5536
2026-08-31,0.8625,0.4631,0.5369
2026-09-01,0.9865,0.4966,0.5034
2026-09-02,1.1580,0.5366,0.4634
2026-09-03,1.1570,0.5364,0.4636
2026-09-04,1.2070,0.5469,0.4531
2026-09-05,1.3277,0.5704,0.4296
2026-09-06,1.1668,0.5385,0.4615
2026-09-07,1.5259,0.6041,0.3959
2026-09-08,1.5589,0.6092,0.3908
2026-09-09,1.2852,0.5624,0.4376
2026-09-10,1.0338,0.5083,0.4917
2026-09-11,1.1119,0.5265,0.4735
2026-09-12,1.1673,0.5386,0.4614
2026-09-13,1.3068,0.5665,0.4335
2026-09-14,1.4426,0.5906,0.4094
2026-09-15,1.4355,0.5894,0.4106
2026-09-16,1.4143,0.5858,0.4142
2026-09-17,1.4679,0.5948,0.4052
2026-09-18,1.4950,0.5992,0.4008
2026-09-19,1.4722,0.5955,0.4045
2026-09-20,1.4576,0.5931,0.4069
2026-09-21,1.2538,0.5563,0.4437
2026-09-22,0.9088,0.4761,0.5239
2026-09-23,0.8369,0.4556,0.5444
2026-09-24,0.7886,0.4409,0.5591
