date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.2351,0.5526,0.4474
2026-08-26,1.2609,0.5577,0.4423
2026-08-27,1.2779,0.5610,0.4390
2026-08-28,1.2533,0.5562,0.4438
2026-08-29,1.2432,0.5542,0.4458
2026-08-30,1.2957,0.5644,0.4356
2026-08-31,1.3159,0.5682,0.4318
2026-09-01,1.1608,0.5372,0.4628
2026-09-02,1.2904,0.5634,0.4366
2026-09-03,1.3981,0.5830,0.4170
2026-09-04,1.2090,0.5473,0.4527
2026-09-05,1.2758,0.5606,0.4394
2026-09-06,1.3089,0.5669,0.4331
2026-09-07,1.3430,0.5732,0.4268
2026-09-08,1.3191,0.5688,0.4312
2026-09-09,1.4582,0.5932,0.4068
2026-09-10,1.3607,0.5764,0.4236
2026-09-11,1.2784,0.5611,0.4389
2026-09-12,1.2983,0.5649,0.4351
2026-09-13,1.2099,0.5475,0.4525
2026-09-14,1.2528,0.5561,0.4439
2026-09-15,1.3036,0.5659,0.4341
2026-09-16,1.4290,0.5883,0.4117
2026-09-17,1.2841,0.5622,0.4378
2026-09-18,1.4919,0.5987,0.4013
2026-09-19,1.3958,0.5826,0.4174
2026-09-20,1.4073,0.5846,0.4154
2026-09-21,1.4313,0.5887,0.4113
2026-09-22,1.4522,0.5922,0.4078
2026-09-23,1.4944,0.5991,0.4009
2026-09-24,1.5050,0.6008,0.3992
