date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.3844,0.5806,0.4194
2026-08-26,1.3452,0.5736,0.4264
2026-08-27,1.4044,0.5841,0.4159
2026-08-28,1.4534,0.5924,0.4076
2026-08-29,1.2257,0.5507,0.4493
2026-08-30,1.2257,0.5507,0.4493
2026-08-31,1.4108,0.5852,0.4148
2026-09-01,1.3010,0.5654,0.4346
2026-09-02,1.3793,0.5797,0.4203
2026-09-03,1.3419,0.5730,0.4270
2026-09-04,1.3474,0.5740,0.4260
2026-09-05,1.2533,0.5562,0.4438
2026-09-06,1.3969,0.5828,0.4172
2026-09-07,1.3288,0.5706,0.4294
2026-09-08,1.4845,0.5975,0.4025
2026-09-09,1.4643,0.5942,0.4058
2026-09-10,1.3730,0.5786,0.4214
2026-09-11,1.2391,0.5534,0.4466
2026-09-12,0.9608,0.4900,0.5100
2026-09-13,0.8646,0.4637,0.5363
2026-09-14,0.8968,0.4728,0.5272
2026-09-15,0.9470,0.4864,0.5136
2026-09-16,0.8491,0.4592,0.5408
2026-09-17,0.8769,0.4672,0.5328
2026-09-18,1.1422,0.5332,0.4668
2026-09-19,1.2533,0.5562,0.4438
2026-09-20,1.3958,0.5826,0.4174
2026-09-21,1.5445,0.6070,0.3930
2026-09-22,1.5860,0.6133,0.3867
2026-09-23,1.5407,0.6064,0.3936
2026-09-24,1.3889,0.5814,0.4186
2026-09-25,1.8523,0.6494,0.3506
2026-09-26,1.8893,0.6539,0.3461
