date_utc,long_short_ratio,long_account,short_account
2026-08-25,3.1632,0.7598,0.2402
2026-08-26,3.2105,0.7625,0.2375
2026-08-27,3.1169,0.7571,0.2429
2026-08-28,3.2034,0.7621,0.2379
2026-08-29,3.2034,0.7621,0.2379
2026-08-30,3.1736,0.7604,0.2396
2026-08-31,3.1684,0.7601,0.2399
2026-09-01,3.1494,0.7590,0.2410
2026-09-02,3.0290,0.7518,0.2482
2026-09-03,3.1528,0.7592,0.2408
2026-09-04,3.1374,0.7583,0.2417
2026-09-05,3.1841,0.7610,0.2390
2026-09-06,3.1442,0.7587,0.2413
2026-09-07,2.9698,0.7481,0.2519
2026-09-08,3.1701,0.7602,0.2398
2026-09-09,3.2772,0.7662,0.2338
2026-09-10,2.9078,0.7441,0.2559
2026-09-11,2.7064,0.7302,0.2698
2026-09-12,2.8895,0.7429,0.2571
2026-09-13,2.8685,0.7415,0.2585
2026-09-14,3.0584,0.7536,0.2464
2026-09-15,3.1339,0.7581,0.2419
2026-09-16,3.0917,0.7556,0.2444
2026-09-17,2.8358,0.7393,0.2607
2026-09-18,2.8168,0.7380,0.2620
2026-09-19,3.0437,0.7527,0.2473
2026-09-20,3.1237,0.7575,0.2425
2026-09-21,2.9339,0.7458,0.2542
2026-09-22,3.2427,0.7643,0.2357
2026-09-23,3.0750,0.7546,0.2454
2026-09-24,3.0883,0.7554,0.2446
2026-09-25,3.2088,0.7624,0.2376
