date_utc,long_short_ratio,long_account,short_account
2026-08-25,2.4530,0.7104,0.2896
2026-08-26,2.1358,0.6811,0.3189
2026-08-27,2.2134,0.6888,0.3112
2026-08-28,2.3069,0.6976,0.3024
2026-08-29,2.2884,0.6959,0.3041
2026-08-30,2.2436,0.6917,0.3083
2026-08-31,2.2425,0.6916,0.3084
2026-09-01,2.0769,0.6750,0.3250
2026-09-02,2.0893,0.6763,0.3237
2026-09-03,2.0902,0.6764,0.3236
2026-09-04,2.2031,0.6878,0.3122
2026-09-05,2.1969,0.6872,0.3128
2026-09-06,2.4235,0.7079,0.2921
2026-09-07,2.4329,0.7087,0.2913
2026-09-08,2.4904,0.7135,0.2865
2026-09-09,2.5461,0.7180,0.2820
2026-09-10,2.4083,0.7066,0.2934
2026-09-11,2.1847,0.6860,0.3140
2026-09-12,2.0960,0.6770,0.3230
2026-09-13,2.1817,0.6857,0.3143
2026-09-14,2.2165,0.6891,0.3109
2026-09-15,2.0798,0.6753,0.3247
2026-09-16,2.1939,0.6869,0.3131
2026-09-17,2.1576,0.6833,0.3167
2026-09-18,2.1466,0.6822,0.3178
2026-09-19,2.2916,0.6962,0.3038
2026-09-20,2.6062,0.7227,0.2773
2026-09-21,2.9541,0.7471,0.2529
2026-09-22,2.1746,0.6850,0.3150
2026-09-23,2.3344,0.7001,0.2999
2026-09-24,2.4247,0.7080,0.2920
2026-09-25,2.4831,0.7129,0.2871
