date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.4480,0.5915,0.4085
2026-08-26,1.5387,0.6061,0.3939
2026-08-27,1.3669,0.5775,0.4225
2026-08-28,1.3026,0.5657,0.4343
2026-08-29,1.2371,0.5530,0.4470
2026-08-30,1.2080,0.5471,0.4529
2026-08-31,1.3047,0.5661,0.4339
2026-09-01,1.2957,0.5644,0.4356
2026-09-02,1.2371,0.5530,0.4470
2026-09-03,1.0756,0.5182,0.4818
2026-09-04,1.0227,0.5056,0.4944
2026-09-05,1.2351,0.5526,0.4474
2026-09-06,1.4102,0.5851,0.4149
2026-09-07,1.3425,0.5731,0.4269
2026-09-08,1.3202,0.5690,0.4310
2026-09-09,1.3288,0.5706,0.4294
2026-09-10,1.4301,0.5885,0.4115
2026-09-11,1.3148,0.5680,0.4320
2026-09-12,1.3895,0.5815,0.4185
2026-09-13,1.2650,0.5585,0.4415
2026-09-14,1.3079,0.5667,0.4333
2026-09-15,1.2873,0.5628,0.4372
2026-09-16,1.1561,0.5362,0.4638
2026-09-17,1.2311,0.5518,0.4482
2026-09-18,1.4384,0.5899,0.4101
2026-09-19,1.4102,0.5851,0.4149
2026-09-20,1.3958,0.5826,0.4174
2026-09-21,1.5681,0.6106,0.3894
2026-09-22,1.2931,0.5639,0.4361
2026-09-23,1.6504,0.6227,0.3773
2026-09-24,1.3111,0.5673,0.4327
2026-09-25,1.4079,0.5847,0.4153
2026-09-26,1.3998,0.5833,0.4167
