date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.6427,0.6216,0.3784
2026-08-26,1.6240,0.6189,0.3811
2026-08-27,1.5075,0.6012,0.3988
2026-08-28,1.3753,0.5790,0.4210
2026-08-29,1.3923,0.5820,0.4180
2026-08-30,1.5044,0.6007,0.3993
2026-08-31,1.6413,0.6214,0.3786
2026-09-01,1.5233,0.6037,0.3963
2026-09-02,1.3036,0.5659,0.4341
2026-09-03,1.2568,0.5569,0.4431
2026-09-04,1.0619,0.5150,0.4850
2026-09-05,1.0268,0.5066,0.4934
2026-09-06,1.1650,0.5381,0.4619
2026-09-07,1.2085,0.5472,0.4528
2026-09-08,1.5063,0.6010,0.3990
2026-09-09,1.6144,0.6175,0.3825
2026-09-10,1.7762,0.6398,0.3602
2026-09-11,1.8329,0.6470,0.3530
2026-09-12,1.4661,0.5945,0.4055
2026-09-13,1.6767,0.6264,0.3736
2026-09-14,1.7086,0.6308,0.3692
2026-09-15,1.6525,0.6230,0.3770
2026-09-16,1.3419,0.5730,0.4270
2026-09-17,1.2614,0.5578,0.4422
2026-09-18,1.1377,0.5322,0.4678
2026-09-19,1.2416,0.5539,0.4461
2026-09-20,1.8629,0.6507,0.3493
2026-09-21,1.7770,0.6399,0.3601
2026-09-22,1.8019,0.6431,0.3569
2026-09-23,2.0497,0.6721,0.3279
2026-09-24,1.7685,0.6388,0.3612
2026-09-25,1.8337,0.6471,0.3529
