date_utc,long_short_ratio,long_account,short_account
2026-08-25,1.7525,0.6367,0.3633
2026-08-26,1.8482,0.6489,0.3511
2026-08-27,1.8902,0.6540,0.3460
2026-08-28,1.9180,0.6573,0.3427
2026-08-29,1.9146,0.6569,0.3431
2026-08-30,1.9351,0.6593,0.3407
2026-08-31,1.9824,0.6647,0.3353
2026-09-01,2.0562,0.6728,0.3272
2026-09-02,2.0628,0.6735,0.3265
2026-09-03,2.1586,0.6834,0.3166
2026-09-04,2.0609,0.6733,0.3267
2026-09-05,2.2373,0.6911,0.3089
2026-09-06,2.2175,0.6892,0.3108
2026-09-07,2.1636,0.6839,0.3161
2026-09-08,2.1279,0.6803,0.3197
2026-09-09,2.1706,0.6846,0.3154
2026-09-10,2.1666,0.6842,0.3158
2026-09-11,2.0798,0.6753,0.3247
2026-09-12,2.0423,0.6713,0.3287
2026-09-13,2.1908,0.6866,0.3134
2026-09-14,2.2062,0.6881,0.3119
2026-09-15,2.2113,0.6886,0.3114
2026-09-16,2.1456,0.6821,0.3179
2026-09-17,1.9507,0.6611,0.3389
2026-09-18,1.8058,0.6436,0.3564
2026-09-19,2.1037,0.6778,0.3222
2026-09-20,2.2552,0.6928,0.3072
2026-09-21,2.2510,0.6924,0.3076
2026-09-22,2.2165,0.6891,0.3109
2026-09-23,2.3223,0.6990,0.3010
2026-09-24,2.1407,0.6816,0.3184
2026-09-25,2.1506,0.6826,0.3174
2026-09-26,2.1397,0.6815,0.3185
