date_utc,long_short_ratio,long_account,short_account
2026-08-25,0.5404,0.3508,0.6492
2026-08-26,0.5511,0.3553,0.6447
2026-08-27,0.5865,0.3697,0.6303
2026-08-28,0.5200,0.3421,0.6579
2026-08-29,0.5901,0.3711,0.6289
2026-08-30,0.5726,0.3641,0.6359
2026-08-31,0.4533,0.3119,0.6881
2026-09-01,0.4366,0.3039,0.6961
2026-09-02,0.5256,0.3445,0.6555
2026-09-03,0.4652,0.3175,0.6825
2026-09-04,0.5406,0.3509,0.6491
2026-09-05,0.4215,0.2965,0.7035
2026-09-06,0.4294,0.3004,0.6996
2026-09-07,0.3701,0.2701,0.7299
2026-09-08,0.3961,0.2837,0.7163
2026-09-09,0.4635,0.3167,0.6833
2026-09-10,0.4370,0.3041,0.6959
2026-09-11,0.5576,0.3580,0.6420
2026-09-12,0.4854,0.3268,0.6732
2026-09-13,0.5330,0.3477,0.6523
2026-09-14,0.5601,0.3590,0.6410
2026-09-15,0.4543,0.3124,0.6876
2026-09-16,0.5051,0.3356,0.6644
2026-09-17,0.3839,0.2774,0.7226
2026-09-18,0.3648,0.2673,0.7327
2026-09-19,0.3984,0.2849,0.7151
2026-09-20,0.4702,0.3198,0.6802
2026-09-21,0.5406,0.3509,0.6491
2026-09-22,0.5359,0.3489,0.6511
2026-09-23,0.4411,0.3061,0.6939
2026-09-24,0.5605,0.3592,0.6408
2026-09-25,0.6510,0.3943,0.6057
2026-09-26,0.5246,0.3441,0.6559
