date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,4609771492.00000000,25222134.22990340
2026-08-26,4311969030.00000000,22693203.08984520
2026-08-27,4331706000.00000000,23226607.57200000
2026-08-28,4514121693.00000000,24477463.75055706
2026-08-29,4209783944.00000000,21810890.61386400
2026-08-30,4342524666.00000000,22334168.88544458
2026-08-31,4267781925.00000000,21136744.79521275
2026-09-01,4354758898.00000000,22062819.83806026
2026-09-02,4359061285.00000000,22406272.45470560
2026-09-03,4321876313.00000000,22388486.20794451
2026-09-04,4476734025.00000000,24209864.23581825
2026-09-05,4328837061.00000000,22626831.31784700
2026-09-06,4394831388.00000000,23998855.76045160
2026-09-07,4350372351.00000000,24044507.98397700
2026-09-08,4328189674.00000000,23545221.98086978
2026-09-09,4394278079.00000000,23759861.57315300
2026-09-10,4243710142.00000000,22292845.93244730
2026-09-11,4284530041.00000000,21571880.38632803
2026-09-12,4126195554.00000000,21349018.32030708
2026-09-13,4106240264.00000000,21742542.19788000
2026-09-14,4063909047.00000000,20864434.16002176
2026-09-15,4240149574.00000000,22193282.08228192
2026-09-16,4268267850.00000000,21089511.44685000
2026-09-17,4208605475.00000000,20984106.89835000
2026-09-18,4338463303.00000000,22369810.94439648
2026-09-19,4581946076.00000000,25022007.52103600
2026-09-20,4824476436.00000000,26588847.51314064
2026-09-21,4912556563.00000000,26961436.80801601
2026-09-22,4891549017.00000000,29598763.10186700
2026-09-23,5303498374.00000000,32420285.56026200
2026-09-24,4950191117.00000000,27905118.36093006
2026-09-25,4962387480.00000000,28652825.30952000
2026-09-26,4962000539.00000000,29566030.59162611
