date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,503385.50000000,66592030.13132487
2026-08-26,481268.80000000,60891533.69320117
2026-08-27,475342.60000000,60356288.97063066
2026-08-28,463721.60000000,59361002.01600000
2026-08-29,460900.80000000,56301672.92109768
2026-08-30,466386.50000000,59086505.68500000
2026-08-31,449298.60000000,54981664.47403026
2026-09-01,439843.60000000,54560256.37324408
2026-09-02,435837.40000000,55730528.33800000
2026-09-03,459044.20000000,58365815.66224586
2026-09-04,433918.60000000,57570413.27042020
2026-09-05,454831.80000000,59260035.22200000
2026-09-06,477696.70000000,64188105.57900000
2026-09-07,463420.90000000,63389394.43731082
2026-09-08,454557.20000000,60033369.40400000
2026-09-09,449015.30000000,57806229.72200000
2026-09-10,454835.00000000,57194036.49026930
2026-09-11,440168.40000000,53065015.63591309
2026-09-12,436313.20000000,54543513.13200000
2026-09-13,437049.60000000,54847671.85565491
2026-09-14,448215.60000000,55706232.18255337
2026-09-15,439921.80000000,56391211.01071640
2026-09-16,433832.60000000,52983975.43800000
2026-09-17,451531.10000000,53963463.33091236
2026-09-18,439318.70000000,56474418.88500000
2026-09-19,452136.80000000,63068562.23200000
2026-09-20,463572.70000000,65385877.63225124
2026-09-21,455510.40000000,62622950.14753757
2026-09-22,453820.20000000,66179176.68115504
2026-09-23,436517.60000000,64587144.09600000
2026-09-24,437562.20000000,60765903.65538682
