date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,16460127.00000000,9402174.32955570
2026-08-26,18982233.00000000,9847982.48040000
2026-08-27,20087928.00000000,10791234.92160000
2026-08-28,22665897.00000000,11776385.01554388
2026-08-29,22495191.00000000,10835933.50470000
2026-08-30,20904381.00000000,10322583.33780000
2026-08-31,20317124.00000000,9275428.02204372
2026-09-01,20516820.00000000,9053370.78558780
2026-09-02,21396676.00000000,9028452.18082108
2026-09-03,20824168.00000000,8749244.82312312
2026-09-04,21251289.00000000,9498116.98465590
2026-09-05,20447460.00000000,8262203.32192860
2026-09-06,20375970.00000000,8500854.68400000
2026-09-07,22541116.00000000,10503884.60356248
2026-09-08,20377521.00000000,9018179.51186088
2026-09-09,19407282.00000000,8655307.17420090
2026-09-10,18541302.00000000,7807499.38114380
2026-09-11,19563597.00000000,8009336.61180000
2026-09-12,20075949.00000000,8791844.08405131
2026-09-13,19639587.00000000,8590631.68278909
2026-09-14,18021542.00000000,7541510.00296232
2026-09-15,20125534.00000000,9293971.60120000
2026-09-16,19368054.00000000,8132645.87460000
2026-09-17,19063448.00000000,8010460.84960000
2026-09-18,19149722.00000000,8538861.03980000
2026-09-19,21049436.00000000,9699580.10880000
2026-09-20,21862885.00000000,10557587.16650000
2026-09-21,24205408.00000000,12134171.03040000
2026-09-22,22020831.00000000,11265857.13960000
2026-09-23,19861480.00000000,10385567.89200000
2026-09-24,20115370.00000000,9076054.94400000
2026-09-25,19756342.00000000,9668753.77480000
