date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,39321117.00000000,76818669.22736226
2026-08-26,38905288.00000000,72363835.68000000
2026-08-27,39464086.00000000,75009829.07404062
2026-08-28,41959516.00000000,80814027.81600000
2026-08-29,39966910.00000000,72841047.15424170
2026-08-30,39687488.00000000,74062154.85639680
2026-08-31,39265560.00000000,71433686.26717920
2026-09-01,39569500.00000000,76035478.64488000
2026-09-02,40005713.00000000,75448652.01486821
2026-09-03,38571726.00000000,72777660.66372894
2026-09-04,38171382.00000000,74608490.39249165
2026-09-05,43250279.00000000,93950348.05979523
2026-09-06,45293405.00000000,99192556.95000000
2026-09-07,48526508.00000000,118352874.07585444
2026-09-08,44585860.00000000,102860655.32266040
2026-09-09,42747153.00000000,99087900.65400000
2026-09-10,44980624.00000000,111718051.51850095
2026-09-11,44120302.00000000,107741777.48400000
2026-09-12,42450214.00000000,100309855.68200000
2026-09-13,41832921.00000000,99146513.92044555
2026-09-14,39861820.00000000,91552757.06216920
2026-09-15,40662669.00000000,100356023.76393860
2026-09-16,38317405.00000000,89477704.44647650
2026-09-17,43834359.00000000,114809425.02704526
2026-09-18,51688233.00000000,162628643.88751906
2026-09-19,51202096.00000000,192673487.24800000
2026-09-20,50481218.00000000,181115968.74324560
2026-09-21,53623351.00000000,223394880.26600000
2026-09-22,59324393.00000000,253255833.71700000
2026-09-23,58309667.00000000,257961966.80800000
2026-09-24,56631699.00000000,245334157.75363544
