date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,1404167.45000000,3073655.26034580
2026-08-26,1439112.51000000,3074040.26699104
2026-08-27,1483228.85000000,3407532.89410104
2026-08-28,1429285.66000000,3168726.30822000
2026-08-29,1446064.55000000,3046858.00685000
2026-08-30,1460927.97000000,3040191.10557000
2026-08-31,1456333.25000000,2926574.48253750
2026-09-01,1450064.61000000,2953781.61057000
2026-09-02,1440642.43000000,2918120.28613206
2026-09-03,1417297.20000000,2846685.73091047
2026-09-04,1408975.59000000,2957081.64408429
2026-09-05,1401057.01000000,2926808.09389000
2026-09-06,1415793.15000000,3031832.54365313
2026-09-07,1380865.13000000,3002000.79262000
2026-09-08,1355925.77000000,2962771.25794896
2026-09-09,1350078.76000000,2983719.05772507
2026-09-10,1289964.00000000,2809616.83560012
2026-09-11,1313853.35000000,2730704.59105656
2026-09-12,1288835.72000000,2744575.66574000
2026-09-13,1319679.96000000,2890099.11240000
2026-09-14,1344042.70000000,3044385.51511194
2026-09-15,1307133.93000000,2900530.19067000
2026-09-16,1281676.33000000,2671013.47172000
2026-09-17,1252331.74000000,2639915.30792000
2026-09-18,1254936.62000000,2677910.33266349
2026-09-19,1252482.05000000,2920788.14060000
2026-09-20,1210555.76000000,2933327.92595000
2026-09-21,1257180.90000000,3023630.06782875
2026-09-22,1259227.96000000,3163180.63552000
2026-09-23,1333407.31000000,3522439.86292714
2026-09-24,1285461.72000000,3185952.59993400
