date_utc,sum_open_interest,sum_open_interest_value
2026-08-25,157632791.00000000,6671390.15217885
2026-08-26,175279794.00000000,7125123.62610000
2026-08-27,176960957.00000000,7457134.72798000
2026-08-28,196851373.00000000,8104371.02641000
2026-08-29,201879394.00000000,7914649.34106696
2026-08-30,195015371.00000000,7558795.77996000
2026-08-31,197234996.00000000,7388612.29575616
2026-09-01,203723308.00000000,7755746.33556000
2026-09-02,209392911.00000000,7781553.58539195
2026-09-03,198004468.00000000,7760436.63539632
2026-09-04,198995648.00000000,7921419.75993600
2026-09-05,196574802.00000000,7708293.60807006
2026-09-06,196902330.00000000,7848526.87380000
2026-09-07,191613017.00000000,7726973.11063081
2026-09-08,183505062.00000000,7393418.94798000
2026-09-09,179174882.00000000,7236873.48398000
2026-09-10,165286296.00000000,6137909.90768592
2026-09-11,164629831.00000000,5727471.82049000
2026-09-12,160286019.00000000,5702976.55602000
2026-09-13,154615599.00000000,5553792.31608000
2026-09-14,155068830.00000000,5446299.53487060
2026-09-15,155533792.00000000,5530781.64352000
2026-09-16,157983029.00000000,5280113.53472887
2026-09-17,154832482.00000000,5338623.97936000
2026-09-18,153566595.00000000,5644932.96628170
2026-09-19,149409280.00000000,5768692.30080000
2026-09-20,140194605.00000000,5637973.70624070
2026-09-21,140455745.00000000,5666710.90950165
2026-09-22,156980130.00000000,6559362.92860710
2026-09-23,162519956.00000000,7028510.28832936
2026-09-24,161202915.00000000,6494623.64097750
