funding_time_ms,interval_hours,rate
1629360000014,8,0.00010000
1629388800000,8,0.00010000
1629417600000,8,0.00024079
1629446400001,8,0.00060204
1629475200001,8,0.00078667
1629504000005,8,0.00084212
1629532800001,8,0.00072734
1629561600000,8,0.00071221
1629590400005,8,0.00038871
1629619200007,8,0.00084821
1629648000002,8,0.00064020
1629676800003,8,0.00040879
1629705600005,8,0.00066978
1629734400002,8,0.00068376
1629763200006,8,0.00092030
1629792000004,8,0.00096996
1629820800000,8,0.00037114
1629849600015,8,0.00010000
1629878400000,8,0.00010000
1629907200000,8,0.00010000
1629936000001,8,0.00010000
1629964800016,8,0.00010000
1629993600004,8,0.00010000
1630022400013,8,0.00010000
1630051200001,8,0.00010000
1630080000004,8,0.00010000
1630108800000,8,0.00010000
1630137600000,8,0.00037704
1630166400000,8,0.00030434
1630195200000,8,0.00030739
1630224000002,8,0.00029199
1630252800005,8,0.00053902
1630281600013,8,0.00071070
1630310400008,8,0.00056395
1630339200000,8,0.00067195
1630368000000,8,0.00024462
1630396800007,8,0.00031152
1630425600003,8,0.00010000
1630454400000,8,0.00010000
1630483200006,8,0.00055657
1630512000000,8,0.00062002
1630540800009,8,0.00074330
1630569600006,8,0.00074000
1630598400007,8,0.00100428
1630627200011,8,0.00067828
1630656000000,8,0.00062102
1630684800002,8,0.00095699
1630713600003,8,0.00087133
1630742400008,8,0.00101380
1630771200009,8,0.00150404
1630800000002,8,0.00115129
1630828800002,8,0.00103113
1630857600000,8,0.00106497
1630886400003,8,0.00136073
1630915200008,8,0.00139997
1630944000009,8,0.00035942
1630972800004,8,0.00060122
1631001600002,8,0.00050710
1631030400001,8,-0.00266397
1631059200005,8,0.00010000
1631088000000,8,0.00010000
1631116800000,8,0.00010000
1631145600006,8,0.00010000
1631174400014,8,0.00010000
1631203200002,8,0.00010000
1631232000001,8,0.00010000
1631260800018,8,0.00010000
1631289600006,8,0.00010000
1631318400000,8,0.00010000
1631347200001,8,0.00010000
1631376000000,8,0.00010000
1631404800000,8,0.00010000
1631433600002,8,0.00010000
1631462400000,8,0.00010000
1631491200000,8,0.00010000
1631520000007,8,0.00010000
1631548800005,8,0.00010000
1631577600002,8,0.00010000
1631606400000,8,0.00010000
1631635200007,8,0.00010000
1631664000012,8,0.00010000
1631692800003,8,0.00010000
1631721600006,8,0.00010000
1631750400008,8,0.00010000
1631779200005,8,0.00010000
1631808000002,8,0.00012363
1631836800000,8,0.00010000
1631865600047,8,0.00010000
1631894400013,8,0.00010000
1631923200000,8,0.00011110
1631952000010,8,0.00010000
1631980800005,8,0.00015056
1632009600006,8,0.00026648
1632038400015,8,0.00010632
1632067200007,8,0.00010000
1632096000018,8,0.00010000
1632124800000,8,0.00010000
1632153600005,8,0.00010000
1632182400005,8,0.00010000
1632211200007,8,0.00010000
1632240000000,8,0.00010000
1632268800005,8,0.00010000
1632297600006,8,0.00010000
1632326400000,8,0.00010000
1632355200003,8,0.00008239
1632384000000,8,0.00010000
1632412800007,8,0.00010000
1632441600000,8,0.00010000
1632470400017,8,0.00010000
1632499200000,8,0.00010000
1632528000007,8,0.00010000
1632556800002,8,0.00010000
1632585600004,8,0.00010000
1632614400013,8,0.00010000
1632643200000,8,0.00010000
1632672000005,8,0.00010000
1632700800000,8,0.00010000
1632729600001,8,0.00010000
1632758400000,8,0.00010000
1632787200000,8,0.00010000
1632816000014,8,0.00010000
1632844800000,8,0.00010000
1632873600000,8,0.00010000
1632902400002,8,0.00010000
1632931200000,8,0.00010000
1632960000000,8,0.00010000
1632988800004,8,0.00010000
1633017600005,8,0.00010000
1633046400012,8,0.00010000
1633075200008,8,0.00010000
1633104000000,8,0.00010000
1633132800000,8,0.00010000
1633161600002,8,0.00010000
1633190400011,8,0.00010000
1633219200019,8,0.00010000
1633248000011,8,0.00010000
1633276800004,8,0.00010000
1633305600004,8,0.00010000
1633334400000,8,0.00010000
1633363200000,8,0.00010000
