funding_time_ms,interval_hours,rate
1783612800001,8,0.00052197
1783641600001,8,0.00156781
1783670400001,8,-0.00086611
1783699200001,8,0.00229578
1783728000001,8,0.00319537
1783756800001,8,0E-8
1783785600001,8,-0.00005213
1783814400001,8,0E-8
1783843200001,8,0E-8
1783872000001,8,0E-8
1783900800001,8,0E-8
1783929600001,8,0.00044297
1783958400001,8,0.00146803
1783987200002,8,0.00037395
1784016000001,8,0.00141614
1784044800001,8,0.00130480
1784073600001,8,0E-8
1784102400001,8,0.00267446
1784131200001,8,0E-8
1784160000001,8,0E-8
1784188800002,8,0E-8
1784217600001,8,0E-8
1784246400001,8,0E-8
1784275200001,8,0.00137012
1784304000001,8,-0.00193720
1784332800001,8,0.00113846
1784361600001,8,0E-8
1784390400001,8,-0.00015171
1784419200001,8,0E-8
1784448000001,8,0E-8
1784476800001,8,0E-8
1784505600002,8,0E-8
1784534400001,8,-0.00265354
1784563200001,8,0E-8
1784592000001,8,0.00414426
1784620800001,8,-0.00036819
1784649600000,8,-0.00146745
1784678400000,8,0.00229670
1784707200001,8,-0.00276261
1784736000000,8,0.00012613
1784764800000,8,-0.00000613
1784793600001,8,-0.00624942
1784822400001,8,0.00003879
1784851200000,8,-0.00045038
1784880000000,8,0.00122508
1784908800000,8,0.00027974
1784937600001,8,0.00127631
1784966400000,8,0E-8
1784995200000,8,0E-8
1785024000001,8,0E-8
1785052800001,8,0E-8
1785081600001,8,0E-8
1785110400001,8,0E-8
1785139200001,8,0.00273449
1785168000000,8,0.00009767
1785196800000,8,-0.00601296
1785225600000,8,0.01383003
1785254400000,8,0.00044521
1785283200001,8,0E-8
1785312000001,8,0E-8
1785340800001,8,0.00114793
1785369600000,8,-0.00051366
1785398400001,8,0.00448803
1785427200000,8,0.00200740
1785456000000,8,0.00157656
1785484800001,8,0.00487587
1785513600001,8,0.00015433
1785542400001,8,-0.00058006
1785571200002,8,0E-8
1785600000002,8,0E-8
1785628800002,8,0E-8
1785657600002,8,0E-8
1785686400001,8,0E-8
1785715200001,8,0E-8
1785744000002,8,-0.00151679
1785772800001,8,0E-8
1785801600001,8,0.00412518
1785830400001,8,0.00413560
1785859200001,8,0.00131137
1785888000001,8,-0.00266041
1785916800001,8,0.00224806
1785945600001,8,0.00292922
1785974400001,8,-0.00051316
1786003200002,8,0.00109167
1786032000001,8,-0.00237397
1786060800001,8,0.00708276
1786089600002,8,0.00599438
1786118400002,8,0.00117604
1786147200001,8,0.00124111
1786176000001,8,0E-8
1786204800001,8,0E-8
1786233600001,8,0E-8
1786262400001,8,-0.00069512
1786291200001,8,0E-8
1786320000002,8,0E-8
1786348800001,8,0.00137583
1786377600002,8,0.00041523
1786406400001,8,0E-8
1786435200001,8,0.00024713
1786464000001,8,-0.00144200
1786492800001,8,0.00191821
1786521600002,8,0.00179724
1786550400002,8,0.00221443
1786579200001,8,-0.00000588
1786608000002,8,-0.00028561
1786636800001,8,0E-8
1786665600001,8,0E-8
1786694400001,8,0.00045002
1786723200002,8,0.00037277
1786752000001,8,0.00182575
1786780800001,8,0E-8
1786809600002,8,0E-8
1786838400002,8,0E-8
1786867200002,8,0E-8
1786896000001,8,0E-8
1786924800001,8,0E-8
1786953600001,8,-0.00110287
1786982400001,8,0.00061919
1787011200002,8,0E-8
1787040000001,8,-0.00226353
1787068800001,8,0.00375108
1787097600001,8,0.00049515
1787126400001,8,0.00494519
1787155200001,8,0.00265483
1787184000001,8,-0.00420690
1787212800002,8,0.01087423
1787241600001,8,0.00109051
1787270400002,8,-0.00646855
1787299200001,8,-0.00486929
1787328000002,8,0E-8
1787356800001,8,0E-8
1787385600002,8,-0.00081780
1787414400002,8,0E-8
1787443200002,8,0E-8
1787472000001,8,0E-8
1787500800001,8,0E-8
1787529600002,8,0.00222406
1787558400001,8,0.00249447
1787587200002,8,0.00182613
1787616000001,8,-0.00094775
1787644800001,8,0.00518274
1787673600001,8,0E-8
1787702400002,8,0E-8
1787731200002,8,-0.00317751
1787760000002,8,0E-8
1787788800001,8,0E-8
1787817600002,8,-0.00018769
1787846400002,8,-0.00477397
1787875200002,8,0.00078498
1787904000001,8,-0.00272868
1787932800002,8,0.00127343
1787961600002,8,0E-8
1787990400002,8,0E-8
1788019200001,8,0E-8
1788048000001,8,0E-8
1788076800001,8,0E-8
1788105600001,8,0E-8
1788134400001,8,-0.00035463
1788163200001,8,0.00169405
1788192000002,8,0.00240823
