funding_time_ms,interval_hours,rate
1758787200001,4,-0.00009763
1758801600000,4,-0.00092966
1758816000000,4,-0.00024450
1758830400000,4,-0.00204193
1758844800000,4,-0.00346429
1758859200002,4,-0.00124470
1758873600000,4,0.00005000
1758888000000,4,0.00082139
1758902400008,4,0.00117743
1758916800005,4,0.00095772
1758931200000,4,0.00110086
1758945600000,4,0.00128720
1758960000010,4,0.00129622
1758974400003,4,0.00120565
1758988800003,4,0.00172655
1759003200002,4,0.00097815
1759017600000,4,0.00037034
1759032000002,4,0.00029631
1759046400000,4,0.00032731
1759060800000,4,0.00027630
1759075200000,4,0.00015277
1759089600004,4,0.00005000
1759104000000,4,0.00005000
1759118400000,4,0.00031444
1759132800002,4,0.00011805
1759147200000,4,0.00040455
1759161600001,4,0.00053290
1759176000000,4,0.00028090
1759190400002,4,0.00036919
1759204800000,4,0.00027585
1759219200005,4,0.00045580
1759233600000,4,0.00146924
1759248000000,4,0.00054898
1759262400000,4,0.00092015
1759276800000,4,0.00114216
1759291200008,4,0.00055817
1759305600000,4,0.00094728
1759320000007,4,0.00069980
1759334400000,4,0.00113559
1759348800001,4,0.00172440
1759363200000,4,0.00153659
1759377600001,4,0.00152375
1759392000013,4,0.00169672
1759406400000,4,0.00143993
1759420800000,4,0.00071147
1759435200000,4,0.00076480
1759449600006,4,0.00055987
1759464000000,4,0.00062964
1759478400006,4,0.00049509
1759492800000,4,0.00079023
1759507200000,4,0.00047819
1759521600002,4,0.00044877
1759536000001,4,0.00073117
1759550400006,4,0.00089375
1759564800000,4,0.00107839
1759579200000,4,0.00098954
1759593600000,4,0.00061735
1759608000003,4,0.00041261
1759622400000,4,0.00074796
1759636800000,4,0.00062392
1759651200003,4,0.00052035
1759665600000,4,0.00045110
1759680000009,4,0.00084521
1759694400004,4,0.00065760
1759708800004,4,0.00064003
1759723200003,4,0.00088148
1759737600002,4,0.00290947
1759752000000,4,0.00899166
1759766400004,4,0.00471670
1759780800002,4,0.00494941
1759795200000,4,0.00504885
1759809600001,4,0.00243944
1759824000003,4,0.00345886
1759838400005,4,0.00340034
1759852800000,4,0.00527778
1759867200002,4,0.00409595
1759881600000,4,0.00417390
1759896000002,4,0.00296964
1759910400006,4,0.00205201
1759924800003,4,0.00217174
