funding_time_ms,interval_hours,rate
1635235200016,8,0.00097170
1635264000000,8,0.00099736
1635292800004,8,0.00059603
1635321600000,8,0.00072268
1635350400002,8,0.00010000
1635379200002,8,0.00010000
1635408000000,8,0.00010000
1635436800005,8,0.00010000
1635465600000,8,0.00010000
1635494400007,8,0.00010000
1635523200001,8,0.00010000
1635552000000,8,0.00014967
1635580800001,8,0.00034052
1635609600013,8,0.00022922
1635638400008,8,0.00019158
1635667200010,8,0.00035397
1635696000001,8,0.00026492
1635724800009,8,0.00010977
1635753600014,8,0.00040824
1635782400001,8,0.00079277
1635811200000,8,0.00056341
1635840000007,8,0.00075696
1635868800010,8,0.00024436
1635897600019,8,0.00014100
1635926400000,8,0.00083432
1635955200005,8,0.00042835
1635984000006,8,0.00037484
1636012800004,8,0.00037780
1636041600004,8,0.00059734
1636070400000,8,0.00053913
1636099200013,8,0.00050075
1636128000016,8,0.00058683
1636156800010,8,0.00047205
1636185600000,8,0.00043582
1636214400007,8,0.00016064
1636243200013,8,0.00010000
1636272000005,8,0.00010000
1636300800004,8,0.00035759
1636329600001,8,0.00021048
1636358400000,8,0.00038921
1636387200000,8,0.00059489
1636416000000,8,0.00085803
1636444800014,8,0.00100150
1636473600001,8,0.00046784
1636502400000,8,0.00025404
1636531200003,8,0.00029697
1636560000001,8,0.00078256
1636588800008,8,0.00019804
1636617600012,8,0.00013927
1636646400007,8,0.00048342
1636675200000,8,0.00039264
1636704000000,8,0.00027960
1636732800004,8,0.00024396
1636761600000,8,0.00010000
1636790400004,8,0.00033541
1636819200006,8,0.00016939
1636848000010,8,0.00013802
1636876800001,8,0.00018346
1636905600000,8,0.00034396
1636934400008,8,0.00043258
1636963200000,8,0.00053121
1636992000000,8,0.00035965
1637020800000,8,0.00045161
1637049600001,8,0.00010000
1637078400018,8,0.00010000
1637107200005,8,0.00010000
1637136000007,8,0.00010000
1637164800003,8,0.00010000
1637193600017,8,0.00010000
1637222400007,8,0.00010000
1637251200011,8,0.00010000
1637280000000,8,0.00010000
1637308800000,8,0.00010000
1637337600005,8,0.00010000
1637366400012,8,0.00010000
1637395200000,8,0.00010000
1637424000007,8,0.00010000
1637452800000,8,0.00010000
1637481600006,8,0.00010000
1637510400000,8,0.00027374
1637539200004,8,0.00028952
1637568000000,8,0.00010000
1637596800000,8,0.00010000
1637625600004,8,0.00010000
1637654400010,8,0.00010000
1637683200005,8,0.00010000
1637712000001,8,0.00035184
1637740800003,8,0.00031458
1637769600010,8,0.00010000
1637798400000,8,0.00023821
1637827200010,8,0.00010000
1637856000000,8,0.00027940
1637884800000,8,0.00063147
1637913600000,8,0.00039339
1637942400016,8,0.00010000
1637971200005,8,0.00010000
1638000000008,8,0.00010000
1638028800007,8,0.00010000
1638057600018,8,0.00010000
1638086400000,8,0.00010000
1638115200004,8,0.00010000
1638144000002,8,0.00010000
1638172800004,8,0.00010000
1638201600000,8,0.00010000
1638230400000,8,0.00010000
1638259200006,8,0.00010000
1638288000000,8,0.00010000
1638316800000,8,0.00010000
1638345600000,8,0.00016625
1638374400001,8,0.00010000
1638403200000,8,0.00010000
1638432000007,8,0.00020216
1638460800008,8,0.00010000
1638489600004,8,0.00010000
1638518400002,8,0.00010000
1638547200006,8,0.00010000
1638576000006,8,0.00010000
1638604800004,8,-0.00022155
1638633600000,8,0.00010000
1638662400003,8,0.00010000
1638691200008,8,0.00010000
1638720000007,8,0.00010000
1638748800009,8,0.00010000
1638777600001,8,0.00010000
1638806400000,8,0.00010000
1638835200018,8,0.00010000
1638864000000,8,0.00010000
1638892800000,8,0.00010000
1638921600000,8,0.00010000
1638950400018,8,0.00010000
1638979200010,8,0.00010000
1639008000010,8,0.00010000
1639036800000,8,0.00010000
1639065600000,8,0.00010000
1639094400000,8,0.00010000
1639123200008,8,0.00010000
1639152000012,8,0.00010000
1639180800009,8,0.00010000
1639209600008,8,0.00010000
1639238400000,8,0.00010000
1639267200001,8,0.00010000
1639296000015,8,0.00010000
1639324800011,8,0.00010000
1639353600006,8,0.00010000
1639382400019,8,0.00010000
1639411200000,8,0.00010000
1639440000004,8,0.00010000
1639468800000,8,0.00010000
1639497600015,8,0.00010000
1639526400000,8,0.00010000
1639555200008,8,0.00010000
1639584000005,8,0.00010000
1639612800006,8,0.00010000
1639641600009,8,0.00010000
1639670400000,8,0.00010000
1639699200000,8,0.00010000
1639728000005,8,0.00006322
1639756800006,8,0.00010000
1639785600014,8,0.00010000
1639814400012,8,0.00010000
1639843200000,8,0.00010000
1639872000031,8,0.00010000
1639900800000,8,0.00010000
1639929600003,8,0.00010000
1639958400015,8,0.00010000
1639987200007,8,0.00010000
1640016000005,8,-0.00001664
1640044800003,8,0.00010000
1640073600012,8,0.00010000
1640102400005,8,0.00010000
1640131200000,8,0.00010000
1640160000001,8,0.00010000
1640188800006,8,0.00010000
1640217600011,8,0.00010000
1640246400000,8,0.00010000
1640275200000,8,0.00010000
1640304000005,8,-0.00000484
1640332800000,8,0.00010000
1640361600011,8,0.00010000
1640390400000,8,0.00010000
1640419200001,8,0.00010000
1640448000005,8,0.00010000
1640476800004,8,0.00010000
1640505600002,8,0.00010000
1640534400000,8,0.00010000
1640563200002,8,0.00010000
1640592000005,8,0.00010000
1640620800000,8,0.00010000
1640649600000,8,0.00010000
1640678400012,8,0.00010000
1640707200000,8,0.00010000
1640736000006,8,0.00010000
1640764800003,8,0.00010000
1640793600004,8,0.00002403
1640822400003,8,0.00010000
1640851200001,8,0.00010000
1640880000017,8,0.00010000
1640908800006,8,0.00010000
1640937600009,8,0.00010000
1640966400000,8,0.00010000
1640995200006,8,0.00010000
1641024000009,8,0.00010000
1641052800000,8,0.00010000
1641081600028,8,0.00010000
1641110400000,8,0.00010000
1641139200000,8,0.00010000
1641168000010,8,0.00010000
1641196800013,8,0.00010000
1641225600018,8,0.00010000
1641254400000,8,0.00010000
1641283200010,8,0.00010000
1641312000002,8,0.00010000
1641340800001,8,0.00010000
1641369600017,8,0.00010000
1641398400000,8,0.00010000
1641427200002,8,0.00010000
1641456000021,8,0.00010000
1641484800006,8,0.00010000
1641513600005,8,0.00010000
1641542400000,8,0.00010000
1641571200001,8,0.00010000
1641600000014,8,0.00010000
1641628800013,8,0.00010000
1641657600000,8,0.00010000
1641686400003,8,0.00010000
1641715200000,8,-0.00015873
1641744000000,8,0.00010000
1641772800000,8,0.00010000
1641801600010,8,0.00010000
1641830400007,8,0.00010000
1641859200013,8,0.00006154
1641888000004,8,0.00010000
1641916800000,8,-0.00003800
1641945600012,8,0.00010000
1641974400015,8,0.00010000
1642003200000,8,-0.00054208
1642032000007,8,-0.00051291
1642060800000,8,-0.00123335
1642089600014,8,-0.00069220
1642118400000,8,0.00010000
1642147200006,8,0.00010000
1642176000014,8,0.00010000
1642204800000,8,0.00010000
1642233600002,8,0.00010000
1642262400000,8,0.00010000
1642291200000,8,0.00010000
1642320000017,8,9.8E-7
1642348800011,8,0.00002054
1642377600005,8,0.00010000
1642406400006,8,0.00010000
1642435200012,8,0.00003980
1642464000020,8,0.00010000
1642492800000,8,0.00010000
1642521600013,8,0.00010000
1642550400001,8,0.00010000
1642579200000,8,0.00010000
1642608000000,8,0.00004307
1642636800015,8,0.00010000
1642665600000,8,0.00010000
1642694400000,8,0.00010000
1642723200007,8,0.00002239
1642752000015,8,-0.00034528
1642780800000,8,0.00005323
1642809600017,8,-0.00005935
1642838400003,8,-0.00016297
1642867200021,8,-0.00068654
1642896000026,8,-0.00121404
1642924800010,8,-0.00035030
1642953600009,8,-0.00068331
1642982400010,8,-0.00031016
1643011200000,8,-0.00117070
1643040000021,8,-0.00035051
1643068800000,8,-0.00002433
1643097600000,8,-0.00000933
1643126400012,8,-0.00023977
1643155200000,8,0.00010000
1643184000001,8,-0.00009438
1643212800005,8,-0.00041845
1643241600004,8,0.00007132
1643270400004,8,-0.00024236
1643299200019,8,0.00010000
1643328000000,8,-0.00041340
1643356800000,8,-0.00026956
1643385600025,8,0.00010000
1643414400017,8,0.00010000
1643443200000,8,0.00007995
1643472000013,8,0.00010000
1643500800025,8,0.00010000
1643529600009,8,0.00010000
1643558400000,8,-0.00014833
1643587200000,8,-0.00012098
1643616000000,8,-0.00002728
1643644800000,8,-0.00015530
1643673600010,8,0.00007984
1643702400000,8,0.00010000
1643731200004,8,0.00010000
1643760000004,8,0.00010000
1643788800000,8,0.00010000
1643817600002,8,0.00001830
1643846400002,8,-0.00178307
1643875200000,8,-0.00204189
1643904000000,8,-0.00064812
1643932800018,8,-0.00051914
1643961600005,8,-0.00020442
1643990400010,8,0.00010000
1644019200014,8,0.00010000
1644048000000,8,0.00010000
1644076800000,8,0.00010000
1644105600000,8,0.00010000
