funding_time_ms,interval_hours,rate
1598515200010,8,0.00010000
1598544000000,8,0.00010000
1598572800000,8,0.00010000
1598601600001,8,0.00750000
1598630400000,8,0.00750000
1598659200002,8,0.00350428
1598688000006,8,0.00057034
1598716800003,8,0.00249151
1598745600000,8,0.00108843
1598774400000,8,0.00120772
1598803200000,8,0.00105342
1598832000000,8,0.00179483
1598860800001,8,0.00010000
1598889600001,8,0.00010871
1598918400000,8,0.00010000
1598947200000,8,0.00010000
1598976000000,8,0.00010000
1599004800000,8,0.00032571
1599033600006,8,0.00102816
1599062400000,8,0.00034840
1599091200001,8,0.00084834
1599120000004,8,-0.00501148
1599148800000,8,-0.00527627
1599177600005,8,0.00014515
1599206400000,8,0.00010000
1599235200006,8,0.00168692
1599264000000,8,0.00146324
1599292800004,8,0.00078462
1599321600001,8,0.00283783
1599350400004,8,0.00211105
1599379200000,8,0.00155067
1599408000000,8,0.00121062
1599436800002,8,0.00157871
1599465600004,8,0.00010000
1599494400001,8,0.00049611
1599523200007,8,0.00010000
1599552000006,8,0.00059438
1599580800014,8,0.00010000
1599609600000,8,0.00010000
1599638400000,8,0.00053452
1599667200000,8,0.00010000
1599696000000,8,0.00010000
1599724800005,8,0.00010000
1599753600000,8,-0.00049592
1599782400000,8,-0.00026472
1599811200008,8,0.00010000
1599840000000,8,0.00010000
1599868800008,8,-0.00099413
1599897600000,8,-0.00215583
1599926400008,8,-0.00055381
1599955200000,8,-0.00050868
1599984000000,8,-0.00047863
1600012800004,8,-0.00005099
1600041600003,8,0.00000830
1600070400008,8,-0.00070684
1600099200000,8,0.00010000
1600128000000,8,-0.00015339
1600156800010,8,0.00000106
1600185600003,8,-0.00050276
1600214400014,8,-0.00019209
1600243200000,8,-0.00030997
1600272000001,8,-0.00049062
1600300800006,8,0.00010000
1600329600012,8,0.00063850
1600358400000,8,0.00020354
1600387200001,8,0.00016802
1600416000002,8,0.00010000
1600444800002,8,-0.00004165
1600473600000,8,-0.00040846
1600502400005,8,0.00103179
1600531200008,8,0.00169720
1600560000002,8,0.00025486
1600588800005,8,0.00135827
1600617600005,8,0.00085444
1600646400000,8,0.00131656
1600675200001,8,0.00115516
1600704000000,8,0.00010000
1600732800001,8,-0.00008033
1600761600000,8,-0.00007565
1600790400004,8,0.00010000
1600819200007,8,-0.00036655
1600848000001,8,-0.00035834
1600876800001,8,-0.00010340
1600905600000,8,0.00010000
1600934400000,8,0.00010000
1600963200000,8,-0.00033252
1600992000009,8,-0.00085483
1601020800045,8,-0.00007161
1601049600000,8,0.00008935
1601078400000,8,-0.00017629
1601107200000,8,-0.00055007
1601136000005,8,-0.00075327
1601164800000,8,0.00010000
1601193600000,8,-0.00003165
1601222400019,8,0.00010000
1601251200001,8,-0.00071811
1601280000000,8,0.00010000
1601308800002,8,0.00010000
1601337600000,8,0.00008720
1601366400000,8,0.00005676
1601395200000,8,0.00010000
1601424000005,8,0.00010000
1601452800000,8,0.00010000
1601481600000,8,-0.00012250
1601510400000,8,0.00010000
1601539200000,8,-0.00005524
1601568000000,8,0.00010000
1601596800011,8,-0.00042066
1601625600000,8,-0.00008960
1601654400005,8,-0.00027247
1601683200000,8,-0.00022904
1601712000001,8,-0.00049975
1601740800000,8,-0.00018788
1601769600000,8,-0.00013321
1601798400003,8,0.00001973
1601827200001,8,-0.00020393
1601856000000,8,-0.00066301
1601884800000,8,-0.00066032
1601913600012,8,0.00003057
1601942400000,8,-0.00004407
1601971200005,8,-0.00056241
1602000000000,8,-0.00081589
1602028800000,8,-0.00045119
1602057600000,8,-0.00038993
1602086400000,8,-0.00142015
1602115200000,8,-0.00217721
1602144000009,8,-0.00106810
1602172800003,8,-0.00193404
1602201600001,8,-0.00148694
1602230400000,8,-0.00143151
1602259200004,8,-0.00171204
1602288000005,8,-0.00227935
1602316800000,8,-0.00027657
1602345600011,8,-0.00100196
1602374400002,8,-0.00084675
1602403200003,8,-0.00080225
1602432000004,8,-0.00016487
1602460800001,8,-0.00041429
1602489600000,8,-0.00029716
1602518400011,8,0.00010000
1602547200003,8,0.00010000
1602576000000,8,-0.00057303
1602604800001,8,-0.00008007
1602633600001,8,-0.00068689
1602662400000,8,-0.00009504
1602691200001,8,-0.00046620
1602720000000,8,-0.00073632
1602748800000,8,-0.00048529
1602777600000,8,-0.00043974
1602806400002,8,0.00010000
1602835200003,8,-0.00003414
1602864000000,8,-0.00043820
1602892800006,8,-0.00020650
1602921600007,8,0.00010000
1602950400009,8,-0.00010036
1602979200006,8,-0.00039269
1603008000000,8,0.00010000
1603036800000,8,0.00010000
1603065600000,8,0.00010000
1603094400000,8,0.00010000
1603123200000,8,0.00010000
1603152000015,8,0.00010000
1603180800000,8,0.00010000
1603209600008,8,0.00010000
1603238400009,8,0.00021987
1603267200004,8,0.00046263
1603296000000,8,0.00010309
1603324800000,8,-0.00012638
1603353600000,8,-0.00004050
1603382400004,8,0.00010000
1603411200007,8,-0.00000963
1603440000000,8,0.00010000
1603468800000,8,0.00010000
1603497600000,8,0.00010000
1603526400000,8,0.00010000
1603555200008,8,0.00010000
1603584000005,8,0.00010000
1603612800014,8,0.00010000
1603641600000,8,0.00010000
1603670400004,8,-0.00003950
1603699200000,8,0.00010000
1603728000000,8,0.00010000
1603756800000,8,-0.00081024
1603785600000,8,-0.00023877
1603814400000,8,0.00010000
1603843200000,8,0.00010000
1603872000006,8,-0.00039519
1603900800001,8,0.00010000
1603929600000,8,0.00010000
1603958400000,8,0.00010000
1603987200000,8,0.00000859
1604016000000,8,0.00010000
1604044800002,8,0.00010000
1604073600002,8,0.00010000
1604102400003,8,-0.00037113
1604131200000,8,0.00003702
1604160000000,8,-0.00018732
1604188800000,8,-0.00049571
1604217600000,8,-0.00013308
1604246400000,8,-0.00010588
1604275200000,8,0.00010000
1604304000010,8,0.00010000
1604332800000,8,-0.00047346
1604361600000,8,-0.00023868
1604390400004,8,-0.00003464
1604419200009,8,-0.00100231
1604448000000,8,-0.00051263
1604476800000,8,-0.00090280
1604505600005,8,-0.00079492
1604534400017,8,-0.00129126
1604563200001,8,-0.00047337
1604592000000,8,-0.00015074
1604620800000,8,-0.00054158
1604649600001,8,0.00010000
1604678400001,8,0.00010000
1604707200001,8,0.00006123
1604736000000,8,0.00051710
1604764800006,8,0.00010000
1604793600000,8,0.00010000
1604822400000,8,0.00010000
1604851200000,8,0.00056237
1604880000007,8,0.00061594
1604908800001,8,0.00010000
1604937600002,8,0.00010000
1604966400003,8,0.00010000
1604995200011,8,0.00063163
1605024000000,8,0.00010000
1605052800000,8,0.00027121
1605081600009,8,0.00010000
1605110400003,8,0.00010000
1605139200001,8,0.00010000
1605168000001,8,0.00010000
1605196800000,8,0.00010000
1605225600000,8,0.00010000
1605254400000,8,0.00010000
1605283200000,8,0.00010000
1605312000005,8,0.00061432
1605340800004,8,0.00010000
1605369600001,8,0.00010000
1605398400001,8,0.00010000
1605427200000,8,0.00052439
1605456000003,8,0.00010000
1605484800000,8,0.00010000
1605513600010,8,0.00030237
1605542400001,8,0.00010000
1605571200002,8,0.00010000
1605600000003,8,0.00010000
1605628800003,8,0.00010000
1605657600005,8,0.00052313
1605686400006,8,0.00085303
1605715200000,8,0.00061490
1605744000008,8,0.00057444
1605772800000,8,0.00010000
1605801600001,8,0.00121843
1605830400003,8,0.00010000
1605859200005,8,0.00062145
1605888000000,8,0.00058603
1605916800000,8,0.00131455
1605945600000,8,0.00101340
1605974400001,8,0.00270647
1606003200005,8,0.00173991
1606032000000,8,0.00151455
1606060800000,8,0.00266895
1606089600005,8,0.00315032
1606118400000,8,0.00214987
1606147200003,8,0.00237737
1606176000000,8,0.00199410
1606204800000,8,0.00249755
1606233600005,8,0.00256895
1606262400005,8,0.00750000
1606291200005,8,0.00694223
1606320000015,8,0.00352041
1606348800012,8,0.00250832
1606377600002,8,0.00036681
1606406400001,8,0.00010000
1606435200001,8,0.00010000
1606464000000,8,0.00010000
1606492800007,8,0.00010000
1606521600007,8,0.00015258
1606550400012,8,0.00010000
1606579200000,8,0.00010000
1606608000007,8,0.00010000
1606636800000,8,0.00010000
1606665600000,8,0.00022891
1606694400004,8,0.00010000
1606723200007,8,0.00019469
1606752000000,8,0.00054794
1606780800000,8,0.00101628
1606809600003,8,0.00103989
1606838400000,8,0.00083341
1606867200001,8,0.00039389
1606896000011,8,0.00029924
1606924800005,8,0.00062195
1606953600001,8,0.00057591
1606982400031,8,0.00050721
1607011200000,8,0.00090334
1607040000006,8,0.00086853
1607068800009,8,0.00010000
1607097600000,8,0.00010000
1607126400000,8,0.00010000
1607155200000,8,0.00010000
1607184000000,8,0.00010000
1607212800004,8,0.00010000
1607241600000,8,0.00010000
1607270400001,8,0.00010000
1607299200000,8,0.00011380
1607328000008,8,0.00032732
1607356800000,8,0.00035935
1607385600003,8,0.00021035
1607414400003,8,0.00010000
1607443200033,8,0.00010000
1607472000000,8,0.00010000
1607500800010,8,0.00010000
1607529600000,8,0.00010000
1607558400000,8,0.00010000
1607587200000,8,0.00010000
1607616000007,8,0.00010000
1607644800000,8,0.00010000
1607673600016,8,0.00010000
1607702400010,8,0.00010000
1607731200009,8,0.00010000
1607760000002,8,0.00010000
1607788800000,8,0.00010000
1607817600007,8,0.00010000
1607846400000,8,0.00010000
1607875200000,8,0.00029856
1607904000000,8,0.00010000
1607932800000,8,0.00010000
1607961600000,8,0.00015660
1607990400006,8,0.00010000
1608019200001,8,0.00024118
1608048000000,8,0.00036547
1608076800001,8,0.00024963
1608105600000,8,0.00010000
1608134400000,8,0.00085326
1608163200000,8,0.00233154
1608192000000,8,0.00128273
1608220800011,8,0.00200703
1608249600000,8,0.00137009
1608278400000,8,0.00031496
1608307200000,8,0.00105976
1608336000000,8,0.00010000
1608364800018,8,0.00010000
1608393600000,8,0.00026001
1608422400001,8,0.00012063
1608451200011,8,0.00147855
1608480000023,8,0.00066029
1608508800011,8,0.00045645
1608537600000,8,0.00074362
1608566400000,8,0.00010000
1608595200001,8,0.00010000
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,0.00012993
1608710400000,8,0.00010000
1608739200000,8,0.00010000
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00002744
1608854400000,8,-0.00010948
1608883200000,8,0.00010000
1608912000000,8,0.00010000
1608940800009,8,0.00004802
1608969600001,8,-0.00017143
1608998400006,8,0.00010000
1609027200000,8,0.00010000
1609056000000,8,0.00010000
1609084800001,8,0.00010000
1609113600015,8,0.00010000
1609142400019,8,0.00022580
1609171200000,8,0.00051948
1609200000004,8,0.00010000
1609228800003,8,0.00010000
1609257600000,8,0.00010000
1609286400001,8,0.00010000
1609315200001,8,0.00010000
1609344000012,8,0.00010000
1609372800009,8,0.00010666
1609401600000,8,0.00010000
1609430400010,8,0.00034048
1609459200002,8,0.00033232
1609488000006,8,0.00056187
1609516800003,8,0.00041807
1609545600000,8,0.00010000
1609574400000,8,0.00010000
1609603200006,8,0.00010000
1609632000018,8,0.00027297
1609660800000,8,0.00023378
1609689600002,8,0.00156321
1609718400000,8,0.00010000
1609747200000,8,0.00294444
1609776000000,8,0.00010000
1609804800020,8,0.00067813
1609833600003,8,0.00010000
1609862400003,8,0.00046128
1609891200010,8,0.00112028
1609920000003,8,0.00171490
1609948800000,8,0.00207638
1609977600007,8,0.00010000
1610006400000,8,0.00010000
1610035200004,8,0.00010000
1610064000000,8,-0.00028023
1610092800000,8,0.00010000
1610121600000,8,0.00010083
1610150400009,8,0.00021940
1610179200004,8,0.00104900
1610208000000,8,0.00132879
1610236800000,8,0.00275639
1610265600005,8,0.00234936
1610294400000,8,0.00112450
1610323200000,8,0.00070476
1610352000012,8,0.00021240
1610380800000,8,0.00010000
1610409600000,8,0.00010000
1610438400000,8,0.00010000
1610467200008,8,0.00010000
1610496000001,8,0.00010000
1610524800000,8,0.00010000
1610553600003,8,0.00061013
1610582400000,8,0.00044170
1610611200012,8,0.00122647
1610640000000,8,0.00087732
1610668800002,8,0.00066086
1610697600000,8,0.00058938
1610726400004,8,0.00161383
1610755200000,8,0.00042155
1610784000008,8,0.00102516
1610812800000,8,0.00169643
1610841600009,8,0.00105395
1610870400000,8,0.00052751
1610899200001,8,0.00021482
1610928000000,8,0.00082924
1610956800004,8,0.00059727
1610985600000,8,0.00140828
1611014400000,8,0.00086942
1611043200005,8,0.00116044
1611072000012,8,0.00199873
1611100800012,8,0.00010000
1611129600001,8,0.00025030
1611158400001,8,0.00010000
1611187200000,8,0.00010000
1611216000000,8,0.00014872
1611244800004,8,0.00010000
1611273600012,8,0.00010000
1611302400003,8,0.00010000
1611331200001,8,0.00010000
1611360000000,8,0.00010000
1611388800002,8,0.00010000
1611417600000,8,0.00010000
1611446400001,8,0.00045958
1611475200011,8,0.00072292
1611504000005,8,0.00037073
1611532800007,8,0.00030091
1611561600012,8,0.00090772
1611590400000,8,0.00075494
1611619200007,8,0.00010000
1611648000000,8,0.00010000
1611676800000,8,0.00010000
1611705600000,8,0.00010000
1611734400011,8,0.00010000
1611763200003,8,0.00010000
1611792000000,8,0.00010000
1611820800000,8,0.00010000
1611849600000,8,0.00012570
1611878400009,8,0.00107468
1611907200000,8,0.00203611
1611936000000,8,0.00231461
1611964800000,8,0.00095306
1611993600000,8,0.00126483
1612022400000,8,0.00089708
1612051200009,8,0.00120140
1612080000000,8,0.00140544
1612108800000,8,0.00106501
1612137600001,8,0.00010000
1612166400014,8,0.00071595
1612195200000,8,0.00097173
1612224000000,8,0.00010000
1612252800006,8,0.00024654
1612281600000,8,0.00096206
1612310400009,8,0.00153672
1612339200006,8,0.00195357
1612368000006,8,0.00235124
1612396800005,8,0.00264493
1612425600000,8,0.00217507
1612454400011,8,0.00152019
1612483200009,8,0.00328479
1612512000004,8,0.00321334
1612540800000,8,0.00313375
1612569600008,8,0.00401962
1612598400009,8,0.00010640
1612627200000,8,0.00236738
1612656000000,8,0.00184075
1612684800005,8,0.00087772
1612713600001,8,0.00028736
1612742400000,8,0.00182752
1612771200001,8,0.00330252
1612800000000,8,0.00500965
1612828800010,8,0.00269828
1612857600006,8,0.00411330
1612886400007,8,0.00338361
1612915200009,8,0.00402778
1612944000014,8,0.00551257
1612972800005,8,0.00319020
1613001600000,8,0.00187711
1613030400000,8,0.00316132
1613059200000,8,0.00652251
1613088000000,8,0.00284349
1613116800000,8,0.00358214
1613145600000,8,0.00458250
1613174400001,8,0.00491393
1613203200003,8,0.00458349
1613232000000,8,0.00307439
1613260800013,8,0.00484841
1613289600000,8,0.00285388
1613318400008,8,0.00249721
1613347200000,8,0.00158797
1613376000006,8,0.00123910
1613404800000,8,0.00201019
1613433600001,8,0.00343643
1613462400000,8,0.00111720
1613491200010,8,0.00089057
1613520000005,8,0.00067946
1613548800010,8,0.00010000
1613577600008,8,0.00298791
1613606400012,8,0.00466561
1613635200000,8,0.00355579
1613664000009,8,0.00210546
1613692800010,8,0.00175859
1613721600002,8,0.00138961
1613750400008,8,0.00330717
1613779200000,8,0.00223606
1613808000009,8,0.00314077
1613836800000,8,0.00368715
1613865600007,8,0.00045853
1613894400012,8,0.00020804
1613923200001,8,0.00112835
1613952000006,8,0.00093812
1613980800002,8,0.00077671
1614009600000,8,0.00010000
1614038400000,8,0.00010000
1614067200006,8,0.00010000
1614096000000,8,0.00010000
1614124800012,8,0.00010000
1614153600016,8,0.00046196
1614182400011,8,0.00010000
1614211200007,8,0.00010000
1614240000000,8,0.00010000
1614268800010,8,0.00107241
1614297600000,8,0.00025058
1614326400025,8,0.00010000
1614355200010,8,0.00010000
1614384000001,8,0.00010000
1614412800000,8,0.00016406
1614441600000,8,0.00076807
1614470400021,8,0.00010000
