funding_time_ms,interval_hours,rate
1613750400008,8,0.00285438
1613779200000,8,0.00445600
1613808000009,8,0.00545572
1613836800000,8,0.00750000
1613865600007,8,0.00095882
1613894400012,8,0.00135394
1613923200001,8,0.00168388
1613952000006,8,0.00174801
1613980800002,8,0.00125267
1614009600000,8,-0.00030772
1614038400000,8,0.00030233
1614067200006,8,0.00027216
1614096000000,8,0.00010000
1614124800012,8,0.00010000
1614153600016,8,0.00010000
1614182400011,8,0.00010000
1614211200007,8,0.00010000
1614240000000,8,0.00010000
1614268800010,8,0.00010734
1614297600000,8,0.00010000
1614326400025,8,0.00010000
1614355200010,8,0.00010000
1614384000001,8,0.00010000
1614412800000,8,0.00010000
1614441600000,8,0.00010000
1614470400021,8,0.00010000
1614499200009,8,0.00010000
1614528000000,8,0.00010000
1614556800000,8,0.00010000
1614585600003,8,0.00010000
1614614400001,8,0.00010000
1614643200000,8,0.00010000
1614672000000,8,0.00010000
1614700800004,8,0.00046103
1614729600000,8,0.00010000
1614758400016,8,0.00030830
1614787200000,8,0.00058911
1614816000000,8,0.00075271
1614844800015,8,0.00051237
1614873600001,8,0.00032478
1614902400000,8,0.00028727
1614931200002,8,0.00010000
1614960000008,8,0.00010000
1614988800000,8,0.00010000
1615017600000,8,0.00132446
1615046400000,8,0.00041106
1615075200006,8,0.00029219
1615104000005,8,0.00066139
1615132800008,8,0.00086393
1615161600000,8,0.00058371
1615190400000,8,0.00085034
1615219200006,8,0.00129113
1615248000000,8,0.00125038
1615276800000,8,0.00197870
1615305600000,8,0.00237184
1615334400009,8,0.00238001
1615363200006,8,0.00077890
1615392000008,8,0.00149327
1615420800000,8,0.00043991
1615449600000,8,0.00102876
1615478400014,8,0.00086226
1615507200002,8,0.00184805
1615536000005,8,0.00115915
1615564800011,8,0.00063291
1615593600000,8,0.00064504
1615622400002,8,0.00010000
1615651200000,8,0.00115777
1615680000011,8,0.00175491
1615708800000,8,0.00086553
1615737600000,8,0.00084224
