funding_time_ms,interval_hours,rate
1644422400001,8,0.00010000
1644451200012,8,0.00010000
1644480000000,8,0.00010000
1644508800006,8,0.00010000
1644537600000,8,0.00010000
1644566400009,8,0.00010000
1644595200015,8,0.00010000
1644624000020,8,0.00010000
1644652800001,8,0.00010000
1644681600007,8,0.00010000
1644710400022,8,0.00010000
1644739200001,8,0.00010000
1644768000007,8,0.00010000
1644796800005,8,0.00010000
1644825600013,8,0.00010000
1644854400019,8,-0.00004865
1644883200012,8,0.00004139
1644912000005,8,-0.00014009
1644940800011,8,-0.00022014
1644969600009,8,0.00006065
1644998400001,8,0.00010000
1645027200014,8,0.00010000
1645056000018,8,0.00010000
1645084800000,8,0.00010000
1645113600010,8,0.00010000
1645142400000,8,0.00010000
1645171200002,8,0.00010000
1645200000000,8,0.00010000
1645228800007,8,0.00010000
1645257600000,8,0.00010000
1645286400023,8,0.00010000
1645315200001,8,0.00010000
1645344000003,8,0.00010000
1645372800001,8,0.00010000
1645401600000,8,0.00010000
1645430400001,8,0.00010000
1645459200005,8,0.00010000
1645488000005,8,0.00010000
1645516800000,8,0.00010000
1645545600000,8,0.00010000
1645574400002,8,-0.00001105
1645603200005,8,0.00010000
1645632000010,8,0.00010000
1645660800008,8,0.00010000
1645689600003,8,0.00010000
1645718400001,8,0.00010000
1645747200000,8,0.00010000
1645776000006,8,0.00010000
1645804800001,8,0.00010000
1645833600004,8,0.00010000
1645862400004,8,-0.00008244
1645891200007,8,0.00010000
1645920000012,8,0.00009471
1645948800000,8,-0.00024292
1645977600000,8,-0.00012639
1646006400000,8,-0.00032035
1646035200001,8,-0.00029162
1646064000002,8,-0.00078551
1646092800002,8,-0.00077133
1646121600001,8,-0.00025714
1646150400000,8,-0.00038475
1646179200000,8,-0.00175270
1646208000000,8,-0.00104033
1646236800002,8,-0.00095932
1646265600000,8,-0.00046286
1646294400000,8,-0.00054412
1646323200005,8,-0.00034449
1646352000018,8,-0.00011834
1646380800000,8,-0.00012661
1646409600000,8,-0.00037709
1646438400006,8,-0.00155873
1646467200004,8,-0.00098894
1646496000000,8,-0.00108679
1646524800004,8,-0.00051923
1646553600000,8,-0.00069753
1646582400013,8,-0.00025926
