funding_time_ms,interval_hours,rate
1608364800018,8,0.00010000
1608393600000,8,-0.00089092
1608422400001,8,-0.00750000
1608451200011,8,-0.00750000
1608480000023,8,-0.00113406
1608508800011,8,-0.00197311
1608537600000,8,-0.00236336
1608566400000,8,-0.00132726
1608595200001,8,0.00044523
1608624000006,8,0.00010000
1608652800000,8,0.00010000
1608681600000,8,0.00010000
1608710400000,8,-0.00037197
1608739200000,8,0.00010000
1608768000012,8,0.00010000
1608796800009,8,0.00010000
1608825600001,8,0.00010000
1608854400000,8,0.00010000
1608883200000,8,0.00022208
1608912000000,8,0.00035998
1608940800009,8,0.00010000
1608969600001,8,0.00013050
1608998400006,8,0.00010000
1609027200000,8,-0.00043194
1609056000000,8,0.00010000
1609084800001,8,-0.00004898
1609113600015,8,0.00010000
1609142400019,8,0.00010000
1609171200000,8,0.00018746
1609200000004,8,0.00022019
1609228800003,8,0.00010000
1609257600000,8,0.00010000
1609286400001,8,0.00014995
1609315200001,8,0.00034316
1609344000012,8,0.00010000
1609372800009,8,0.00027883
1609401600000,8,0.00044947
1609430400010,8,0.00041200
1609459200002,8,0.00075467
1609488000006,8,0.00122148
1609516800003,8,0.00111970
1609545600000,8,0.00045478
1609574400000,8,0.00085138
1609603200006,8,0.00109658
1609632000018,8,0.00026003
1609660800000,8,0.00042103
1609689600002,8,0.00165025
1609718400000,8,0.00228404
1609747200000,8,0.00384619
1609776000000,8,0.00012890
1609804800020,8,0.00065887
1609833600003,8,0.00016799
1609862400003,8,0.00077868
1609891200010,8,0.00124686
1609920000003,8,0.00072465
1609948800000,8,0.00231099
1609977600007,8,0.00192203
1610006400000,8,0.00310907
1610035200004,8,0.00376116
1610064000000,8,0.00039026
1610092800000,8,0.00000223
1610121600000,8,0.00040108
1610150400009,8,0.00010000
1610179200004,8,0.00010000
1610208000000,8,0.00244550
1610236800000,8,0.00231718
1610265600005,8,0.00360797
1610294400000,8,0.00063593
1610323200000,8,0.00036674
1610352000012,8,-0.00049614
1610380800000,8,-0.00003225
1610409600000,8,-0.00103794
1610438400000,8,-0.00054003
1610467200008,8,-0.00055094
1610496000001,8,-0.00001158
1610524800000,8,-0.00020229
1610553600003,8,-0.00032359
1610582400000,8,-0.00026555
1610611200012,8,-0.00036439
1610640000000,8,0.00010000
1610668800002,8,-0.00042174
1610697600000,8,0.00010000
1610726400004,8,0.00042072
1610755200000,8,0.00010000
1610784000008,8,-0.00034413
1610812800000,8,0.00010000
1610841600009,8,-0.00024787
1610870400000,8,0.00010000
1610899200001,8,-0.00106434
1610928000000,8,-0.00029543
1610956800004,8,0.00010000
1610985600000,8,-0.00144561
1611014400000,8,-0.00010539
