funding_time_ms,interval_hours,rate
1679558400001,8,0.00010000
1679587200013,8,0.00010000
1679616000013,8,0.00010000
1679644800012,8,0.00010000
1679673600027,8,0.00010000
1679702400015,8,-0.00006100
1679731200011,8,-0.00014913
1679760000011,8,-0.00058371
1679788800000,8,0.00009896
1679817600015,8,-0.00035082
1679846400000,8,-0.00059503
1679875200019,8,0.00010000
1679904000009,8,0.00010000
1679932800000,8,0.00010000
1679961600007,8,0.00005422
1679990400000,8,0.00010000
1680019200013,8,0.00010000
1680048000010,8,0.00010000
1680076800006,8,0.00010000
1680105600014,8,0.00010000
1680134400000,8,0.00010000
1680163200000,8,0.00010000
1680192000006,8,0.00010000
1680220800003,8,0.00010000
1680249600006,8,0.00010000
1680278400011,8,0.00010000
1680307200000,8,0.00010000
1680336000000,8,0.00010000
1680364800018,8,0.00010000
1680393600013,8,0.00010000
1680422400014,8,0.00010000
1680451200001,8,0.00010000
1680480000000,8,0.00010000
1680508800013,8,0.00010000
1680537600011,8,0.00010000
1680566400002,8,0.00010000
1680595200017,8,0.00010000
1680624000008,8,0.00010000
1680652800000,8,0.00010000
1680681600016,8,0.00010000
1680710400004,8,0.00010000
1680739200000,8,0.00010000
1680768000011,8,0.00010000
1680796800000,8,0.00010000
1680825600006,8,0.00010000
1680854400005,8,0.00010000
1680883200000,8,0.00010000
1680912000000,8,0.00010000
1680940800014,8,0.00010000
1680969600018,8,0.00010000
1680998400013,8,0.00010000
1681027200024,8,0.00010000
1681056000010,8,0.00010000
1681084800000,8,0.00010000
1681113600010,8,0.00010000
1681142400006,8,0.00010000
1681171200008,8,0.00010000
1681200000007,8,0.00010000
1681228800016,8,0.00010000
1681257600006,8,0.00010000
1681286400008,8,0.00010000
1681315200014,8,0.00010000
1681344000027,8,0.00010000
1681372800010,8,0.00010000
1681401600000,8,0.00010000
1681430400001,8,0.00010000
1681459200008,8,0.00023631
1681488000007,8,0.00019574
1681516800007,8,0.00020695
1681545600007,8,0.00021121
1681574400011,8,0.00046775
1681603200014,8,0.00075680
1681632000007,8,0.00029384
1681660800002,8,0.00018042
1681689600017,8,0.00019712
1681718400006,8,0.00013072
1681747200000,8,0.00033424
1681776000013,8,0.00045978
1681804800017,8,0.00010000
1681833600000,8,0.00010000
1681862400022,8,0.00012436
1681891200014,8,0.00010000
1681920000000,8,0.00010000
1681948800010,8,0.00010000
1681977600012,8,0.00010000
1682006400012,8,0.00010000
1682035200009,8,0.00010000
1682064000009,8,0.00010000
1682092800003,8,0.00010000
1682121600000,8,0.00010000
1682150400000,8,0.00010000
1682179200016,8,0.00010000
1682208000009,8,0.00010000
1682236800020,8,0.00010000
1682265600007,8,0.00010000
1682294400000,8,0.00010000
1682323200008,8,0.00010000
1682352000006,8,0.00010000
1682380800014,8,0.00010000
1682409600009,8,0.00010000
1682438400015,8,0.00010000
1682467200015,8,0.00007634
1682496000013,8,0.00001543
1682524800001,8,0.00010000
1682553600014,8,0.00005282
1682582400008,8,0.00007967
1682611200005,8,0.00002679
1682640000011,8,0.00010000
1682668800007,8,0.00009389
1682697600006,8,0.00009058
1682726400004,8,-0.00006150
1682755200016,8,-0.00008745
1682784000001,8,-0.00005956
1682812800008,8,0.00001277
1682841600000,8,0.00010000
1682870400010,8,-0.00006953
1682899200004,8,-0.00001446
1682928000008,8,0.00009258
1682956800014,8,0.00005935
1682985600015,8,0.00010000
1683014400018,8,0.00002320
1683043200000,8,0.00009675
1683072000009,8,0.00008792
1683100800003,8,0.00006744
1683129600011,8,0.00010000
1683158400000,8,0.00010000
1683187200000,8,0.00010000
1683216000011,8,0.00010000
1683244800002,8,0.00010000
1683273600000,8,0.00010000
1683302400000,8,0.00010000
1683331200009,8,0.00010000
1683360000000,8,0.00010000
1683388800000,8,0.00010000
1683417600000,8,0.00010000
1683446400000,8,0.00008828
1683475200006,8,0.00010000
1683504000000,8,0.00009632
1683532800007,8,0.00010000
1683561600015,8,0.00010000
1683590400015,8,0.00003824
1683619200000,8,0.00010000
1683648000000,8,0.00010000
1683676800007,8,0.00010000
1683705600003,8,0.00010000
1683734400000,8,0.00004560
1683763200011,8,0.00008207
1683792000000,8,0.00000521
1683820800005,8,0.00010000
1683849600020,8,-0.00002493
1683878400001,8,0.00002810
1683907200010,8,0.00004666
1683936000000,8,0.00003411
1683964800000,8,0.00007067
1683993600026,8,0.00010000
1684022400029,8,0.00003685
1684051200010,8,-0.00000443
1684080000008,8,-0.00005526
1684108800006,8,-0.00004511
1684137600005,8,-0.00006730
1684166400008,8,-0.00002115
1684195200021,8,0.00010000
1684224000000,8,0.00008796
1684252800000,8,0.00007197
1684281600010,8,0.00007406
1684310400000,8,0.00010000
1684339200001,8,0.00010000
1684368000000,8,0.00010000
1684396800026,8,0.00010000
1684425600019,8,0.00004323
1684454400000,8,0.00010000
1684483200002,8,0.00010000
1684512000000,8,0.00010000
1684540800005,8,0.00010000
1684569600014,8,0.00010000
1684598400020,8,0.00009367
1684627200014,8,0.00010000
1684656000001,8,0.00010000
1684684800015,8,0.00010000
1684713600028,8,0.00009704
1684742400000,8,0.00010000
1684771200012,8,0.00010000
1684800000006,8,0.00010000
1684828800014,8,0.00010000
1684857600008,8,0.00010000
1684886400000,8,0.00010000
1684915200025,8,0.00010000
1684944000008,8,0.00010000
1684972800000,8,0.00005102
1685001600025,8,0.00010000
1685030400016,8,0.00010000
1685059200000,8,0.00010000
1685088000024,8,0.00010000
1685116800012,8,0.00010000
1685145600012,8,0.00010000
1685174400018,8,0.00010000
1685203200008,8,0.00010000
1685232000017,8,0.00010000
1685260800015,8,0.00010000
1685289600000,8,0.00010000
1685318400000,8,0.00010000
1685347200020,8,0.00010000
1685376000011,8,0.00010000
1685404800003,8,0.00010000
1685433600000,8,0.00010000
1685462400003,8,0.00010000
1685491200013,8,0.00010000
1685520000000,8,0.00010000
1685548800000,8,0.00010000
1685577600008,8,0.00010000
1685606400012,8,0.00010000
1685635200000,8,0.00010000
1685664000000,8,0.00010000
1685692800006,8,0.00010000
1685721600012,8,0.00010000
1685750400000,8,0.00010000
1685779200011,8,0.00010000
1685808000003,8,0.00010000
1685836800000,8,0.00010000
1685865600000,8,0.00010000
1685894400000,8,0.00010000
1685923200005,8,0.00010000
1685952000000,8,0.00010000
1685980800000,8,0.00010000
1686009600000,8,0.00007926
1686038400009,8,0.00002214
1686067200013,8,-0.00006446
1686096000000,8,0.00010000
1686124800016,8,0.00000983
1686153600000,8,0.00010000
1686182400006,8,0.00010000
1686211200000,8,0.00010000
1686240000000,8,0.00010000
1686268800000,8,0.00010000
1686297600000,8,0.00010000
1686326400000,8,0.00010000
1686355200000,8,0.00010000
1686384000000,8,-0.00023376
1686412800000,8,0.00002702
1686441600001,8,0.00010000
1686470400000,8,0.00010000
1686499200000,8,0.00010000
1686528000000,8,0.00010000
1686556800000,8,0.00010000
1686585600001,8,0.00010000
1686614400000,8,0.00010000
1686643200000,8,-0.00009469
1686672000000,8,-0.00005956
1686700800000,8,0.00010000
1686729600000,8,0.00010000
1686758400000,8,0.00010000
1686787200000,8,-0.00000743
1686816000000,8,0.00010000
1686844800000,8,0.00010000
1686873600000,8,0.00010000
1686902400000,8,0.00010000
1686931200000,8,0.00010000
1686960000000,8,0.00010000
1686988800000,8,0.00010000
1687017600000,8,0.00010000
1687046400000,8,0.00010000
1687075200000,8,0.00010000
1687104000000,8,0.00010000
1687132800000,8,0.00010000
1687161600000,8,0.00007259
1687190400000,8,0.00004563
1687219200001,8,0.00004103
1687248000000,8,0.00010000
1687276800000,8,0.00000992
1687305600000,8,0.00010000
1687334400000,8,0.00010000
1687363200000,8,0.00010000
1687392000000,8,0.00010000
1687420800001,8,0.00010000
