funding_time_ms,interval_hours,rate
1624348800009,8,-0.00750000
1624377600001,8,-0.00750000
1624406400003,8,-0.00327373
1624435200000,8,-0.00750000
1624464000000,8,-0.00531370
1624492800009,8,-0.00163571
1624521600018,8,-0.00163016
1624550400001,8,-0.00049257
1624579200009,8,-0.00200583
1624608000004,8,-0.00075722
1624636800000,8,-0.00010960
1624665600007,8,-0.00006426
1624694400000,8,-0.00059898
1624723200002,8,-0.00061409
1624752000005,8,-0.00005845
1624780800010,8,-0.00043186
1624809600001,8,-0.00750000
1624838400025,8,-0.00300144
1624867200017,8,-0.00097693
1624896000007,8,-0.00089844
1624924800008,8,-0.00075085
1624953600000,8,-0.00032411
1624982400000,8,-0.00025560
1625011200011,8,-0.00039585
1625040000044,8,-0.00017919
1625068800005,8,-0.00002496
1625097600000,8,0.00010000
1625126400004,8,-0.00042552
1625155200028,8,-0.00048602
1625184000002,8,-0.00022085
1625212800016,8,-0.00028297
1625241600007,8,0.00007327
1625270400008,8,-0.00014197
1625299200000,8,-0.00068155
1625328000004,8,-0.00037670
1625356800012,8,-0.00036297
1625385600002,8,-0.00022691
1625414400003,8,-0.00053191
1625443200004,8,-0.00082406
1625472000000,8,-0.00025714
1625500800009,8,-0.00049702
1625529600008,8,-0.00007862
1625558400019,8,-0.00014195
1625587200000,8,-0.00042067
1625616000007,8,-0.00228393
1625644800001,8,-0.00141664
1625673600008,8,-0.00045569
1625702400002,8,0.00010000
1625731200010,8,0.00010000
1625760000003,8,0.00010000
1625788800000,8,0.00010000
1625817600006,8,-0.00016412
1625846400000,8,0.00007523
1625875200002,8,0.00010000
1625904000000,8,0.00010000
1625932800001,8,0.00010000
1625961600001,8,0.00010000
1625990400025,8,-0.00125521
1626019200006,8,0.00010000
1626048000000,8,0.00010000
1626076800021,8,0.00010000
1626105600000,8,0.00010000
1626134400000,8,0.00007296
1626163200013,8,0.00010000
1626192000005,8,0.00003722
1626220800000,8,0.00010000
1626249600000,8,0.00003316
1626278400005,8,-0.00011279
1626307200005,8,0.00010000
1626336000001,8,0.00010000
1626364800000,8,0.00010000
1626393600000,8,0.00008423
1626422400000,8,0.00010000
1626451200001,8,0.00010000
1626480000004,8,0.00010000
1626508800009,8,0.00010000
1626537600006,8,0.00010000
1626566400000,8,0.00010000
1626595200001,8,0.00010000
1626624000003,8,0.00010000
1626652800002,8,0.00010000
1626681600006,8,0.00010000
1626710400006,8,0.00010000
1626739200002,8,0.00010000
1626768000011,8,0.00010000
1626796800001,8,0.00010000
1626825600022,8,-0.00001575
1626854400000,8,0.00005273
1626883200018,8,0.00010000
1626912000002,8,0.00010000
1626940800006,8,0.00010000
1626969600010,8,0.00010000
1626998400013,8,0.00010000
1627027200000,8,0.00010000
1627056000005,8,0.00010000
1627084800000,8,0.00010000
1627113600002,8,0.00010000
1627142400001,8,0.00010000
1627171200003,8,0.00010000
1627200000015,8,0.00010000
1627228800000,8,0.00010000
1627257600000,8,0.00010000
1627286400000,8,0.00010000
1627315200000,8,0.00010000
1627344000046,8,0.00010000
1627372800014,8,0.00010000
1627401600007,8,0.00010000
1627430400000,8,0.00010000
1627459200002,8,0.00010000
1627488000005,8,0.00010000
1627516800004,8,0.00010000
1627545600000,8,0.00010000
1627574400007,8,0.00010000
1627603200004,8,0.00010000
1627632000000,8,0.00010000
1627660800000,8,0.00010000
1627689600000,8,0.00010000
1627718400014,8,0.00010000
1627747200003,8,0.00010000
1627776000005,8,0.00010000
