funding_time_ms,interval_hours,rate
1595318400001,8,0.00010000
1595347200004,8,0.00010000
1595376000000,8,0.00010000
1595404800000,8,0.00010000
1595433600000,8,0.00010000
1595462400001,8,0.00010000
1595491200000,8,0.00010000
1595520000001,8,0.00010000
1595548800000,8,0.00064748
1595577600000,8,0.00010000
1595606400000,8,0.00010000
1595635200000,8,-0.00017200
1595664000001,8,0.00010000
1595692800000,8,0.00040726
1595721600000,8,0.00194687
1595750400000,8,0.00232411
1595779200000,8,0.00084593
1595808000000,8,0.00145275
1595836800000,8,0.00072176
1595865600000,8,0.00010000
1595894400000,8,0.00010000
1595923200001,8,0.00010000
1595952000000,8,0.00016675
1595980800000,8,0.00010000
1596009600000,8,0.00010000
1596038400000,8,0.00085377
1596067200000,8,0.00010000
1596096000001,8,-0.00289936
1596124800000,8,-0.00169942
1596153600000,8,0.00010000
1596182400001,8,0.00010000
1596211200000,8,0.00128496
1596240000005,8,0.00107144
1596268800000,8,0.00019631
1596297600001,8,0.00051318
1596326400000,8,0.00446948
1596355200001,8,0.00046808
1596384000001,8,0.00010000
1596412800000,8,0.00010000
1596441600001,8,0.00037118
1596470400000,8,0.00046748
1596499200003,8,0.00073535
1596528000000,8,0.00084016
1596556800000,8,0.00042573
1596585600000,8,0.00056098
1596614400000,8,0.00052910
1596643200000,8,0.00107897
1596672000000,8,0.00119485
1596700800007,8,0.00061893
1596729600000,8,0.00096130
1596758400001,8,0.00023885
1596787200000,8,0.00021503
1596816000000,8,0.00045815
1596844800000,8,0.00044446
1596873600000,8,0.00017929
1596902400000,8,0.00018466
1596931200000,8,0.00141585
1596960000000,8,0.00195573
1596988800000,8,0.00137439
1597017600001,8,0.00132359
1597046400000,8,0.00185486
1597075200001,8,0.00296657
1597104000001,8,0.00250522
1597132800000,8,0.00213304
1597161600001,8,0.00081126
1597190400000,8,0.00023243
1597219200000,8,0.00010000
1597248000000,8,-0.00056065
1597276800002,8,-0.00657993
1597305600000,8,-0.00458121
1597334400000,8,0.00167342
1597363200000,8,0.00119011
1597392000000,8,0.00244714
1597420800000,8,0.00369571
1597449600000,8,0.00045758
1597478400001,8,0.00057282
1597507200001,8,0.00088259
1597536000000,8,0.00110865
1597564800000,8,0.00094721
1597593600000,8,0.00103312
1597622400000,8,0.00089935
1597651200000,8,0.00023155
1597680000000,8,0.00093436
1597708800001,8,0.00080124
1597737600008,8,0.00027404
1597766400000,8,0.00090881
1597795200000,8,0.00061881
1597824000000,8,0.00011710
1597852800000,8,0.00035376
1597881600001,8,0.00028286
1597910400000,8,0.00010000
1597939200000,8,0.00063341
1597968000000,8,0.00092637
1597996800000,8,0.00029190
1598025600017,8,0.00010000
1598054400000,8,0.00028309
1598083200000,8,0.00035164
1598112000000,8,0.00029480
1598140800000,8,0.00013511
1598169600000,8,0.00010000
1598198400000,8,0.00015025
1598227200006,8,0.00015783
1598256000001,8,0.00036202
1598284800000,8,0.00071741
1598313600000,8,0.00037100
1598342400000,8,0.00010000
1598371200000,8,0.00017378
