funding_time_ms,interval_hours,rate
1699977600001,4,0.00005000
1699992000001,4,0.00005000
1700006400000,4,0.00005000
1700020800000,4,0.00005000
1700035200000,4,0.00005000
1700049600000,4,0.00005000
1700064000000,4,0.00005000
1700078400000,4,0.00005000
1700092800000,4,0.00005000
1700107200000,4,0.00005000
1700121600000,4,0.00005000
1700136000000,4,0.00005000
1700150400001,4,0.00005000
1700164800000,4,0.00005000
1700179200000,4,0.00005000
1700193600000,4,0.00005000
1700208000001,4,0.00005000
1700222400000,4,0.00005000
1700236800001,4,0.00005000
1700251200000,4,0.00005000
1700265600000,4,0.00005000
1700280000000,4,0.00005000
1700294400000,4,0.00005000
1700308800000,4,0.00005811
1700323200000,4,0.00005000
1700337600000,4,0.00005000
1700352000000,4,0.00005000
1700366400000,4,0.00007047
1700380800000,4,0.00005000
1700395200000,4,0.00005000
1700409600000,4,0.00005000
1700424000000,4,0.00005000
1700438400000,4,0.00005000
1700452800000,4,0.00005000
1700467200000,4,0.00005000
1700481600000,4,-0.00067629
1700496000000,4,-0.00028506
1700510400000,4,0.00005000
1700524800000,4,-0.00053655
1700539200000,4,0.00005000
1700553600000,4,0.00005000
1700568000000,4,-0.00003685
1700582400000,4,0.00005000
1700596800000,4,0.00005000
1700611200000,4,0.00005000
1700625600000,4,-0.00208923
1700640000000,4,-0.00037925
1700654400000,4,-0.00008302
1700668800000,4,0.00005000
1700683200000,4,0.00005000
1700697600000,4,0.00005000
1700712000000,4,0.00005000
1700726400000,4,0.00005000
1700740800001,4,0.00005000
1700755200001,4,0.00005000
1700769600000,4,0.00005000
1700784000000,4,0.00005000
1700798400000,4,-0.00026295
1700812800000,4,0.00005000
1700827200001,4,0.00005000
1700841600000,4,0.00005000
1700856000000,4,0.00005000
1700870400000,4,0.00005000
1700884800001,4,0.00005000
1700899200000,4,0.00005000
1700913600000,4,0.00005000
1700928000000,4,0.00005000
1700942400000,4,0.00005000
1700956800000,4,0.00005000
1700971200001,4,0.00005000
1700985600000,4,0.00005000
1701000000000,4,0.00005000
1701014400000,4,0.00005000
1701028800000,4,0.00005000
1701043200000,4,0.00005000
1701057600001,4,-0.00001922
1701072000001,4,0.00005000
1701086400000,4,0.00005000
1701100800000,4,0.00005000
1701115200000,4,0.00005000
1701129600000,4,0.00005000
1701144000000,4,0.00005000
1701158400000,4,0.00005000
1701172800000,4,0.00005000
1701187200000,4,0.00005000
1701201600000,4,0.00005000
1701216000001,4,0.00005000
1701230400000,4,0.00005000
1701244800000,4,0.00005000
1701259200000,4,0.00005000
1701273600000,4,0.00005000
1701288000000,4,0.00005000
1701302400000,4,0.00005000
1701316800001,4,0.00005000
1701331200000,4,0.00005000
1701345600000,4,0.00005000
1701360000000,4,0.00005000
1701374400000,4,0.00005000
1701388800000,4,0.00005000
1701403200000,4,-0.00132876
1701417600000,4,-0.00061404
1701432000000,4,-0.00404693
1701446400000,4,-0.00051212
1701460800000,4,-0.00011898
1701475200000,4,-0.00039815
1701489600000,4,-0.00004948
1701504000000,4,-0.00033621
1701518400000,4,-0.00021562
1701532800000,4,0.00005000
1701547200000,4,0.00005000
1701561600000,4,0.00005000
1701576000000,4,0.00005000
1701590400000,4,0.00005000
1701604800000,4,0.00005000
1701619200000,4,0.00005000
1701633600000,4,0.00005000
1701648000000,4,0.00005000
1701662400000,4,0.00013357
1701676800000,4,0.00025853
1701691200000,4,0.00005000
1701705600000,4,0.00005000
1701720000000,4,0.00005000
1701734400000,4,0.00005000
1701748800000,4,0.00005000
1701763200000,4,0.00012643
1701777600000,4,0.00011457
1701792000000,4,0.00012641
1701806400000,4,0.00022877
1701820800000,4,0.00021126
1701835200000,4,0.00017453
1701849600000,4,0.00008385
1701864000000,4,0.00005000
1701878400000,4,0.00005000
1701892800000,4,0.00005000
1701907200000,4,0.00005000
1701921600001,4,0.00005000
1701936000000,4,0.00005000
1701950400000,4,0.00005000
1701964800000,4,0.00005000
1701979200000,4,0.00013992
1701993600000,4,0.00027245
1702008000000,4,0.00034884
1702022400000,4,0.00021178
1702036800000,4,0.00021924
1702051200000,4,0.00014670
1702065600000,4,0.00012605
1702080000000,4,0.00022712
1702094400000,4,0.00014271
1702108800000,4,0.00044105
1702123200000,4,0.00005000
1702137600000,4,0.00005000
1702152000000,4,0.00013675
1702166400000,4,0.00005000
1702180800000,4,0.00005000
1702195200000,4,0.00005000
1702209600000,4,0.00005000
1702224000000,4,0.00005000
1702238400000,4,0.00005000
1702252800000,4,0.00005000
1702267200001,4,0.00005000
1702281600000,4,0.00005000
1702296000000,4,0.00005000
1702310400000,4,0.00005000
1702324800000,4,0.00005000
1702339200000,4,0.00005000
1702353600000,4,0.00005000
1702368000000,4,0.00005000
1702382400000,4,0.00005000
1702396800000,4,0.00005000
1702411200000,4,0.00005000
1702425600000,4,0.00005000
1702440000000,4,0.00005000
1702454400000,4,0.00005000
1702468800001,4,0.00005000
1702483200001,4,0.00005000
1702497600000,4,0.00005000
1702512000000,4,0.00005000
1702526400000,4,0.00005000
1702540800000,4,0.00005000
1702555200000,4,0.00005000
1702569600000,4,0.00005000
1702584000000,4,0.00005000
1702598400000,4,0.00012489
1702612800000,4,0.00005000
1702627200000,4,0.00005000
1702641600000,4,0.00005000
1702656000000,4,0.00005000
1702670400001,4,0.00005000
1702684800000,4,-0.00011813
1702699200000,4,0.00005000
1702713600000,4,0.00005000
1702728000000,4,0.00005000
1702742400001,4,0.00005000
1702756800000,4,0.00005000
1702771200000,4,0.00005863
1702785600000,4,0.00012142
1702800000000,4,0.00005000
1702814400000,4,0.00005000
1702828800000,4,0.00005000
1702843200001,4,0.00005000
1702857600000,4,0.00005000
1702872000000,4,0.00005000
1702886400001,4,0.00005000
1702900800000,4,0.00005000
1702915200000,4,0.00005000
1702929600001,4,-0.00042953
1702944000000,4,-0.00029606
1702958400000,4,0.00005000
1702972800000,4,0.00005000
1702987200000,4,0.00005000
1703001600000,4,0.00005000
1703016000001,4,0.00005000
1703030400000,4,0.00005000
1703044800000,4,0.00005000
1703059200000,4,0.00005000
1703073600000,4,0.00005000
1703088000000,4,0.00005000
1703102400000,4,0.00005000
1703116800000,4,0.00005000
1703131200007,4,0.00005000
1703145600000,4,0.00005000
1703160000000,4,0.00030849
1703174400000,4,0.00005000
1703188800000,4,0.00012976
1703203200000,4,0.00016235
1703217600001,4,0.00025656
1703232000000,4,0.00013414
1703246400000,4,0.00049110
1703260800000,4,0.00037803
1703275200000,4,0.00021642
1703289600000,4,0.00035249
1703304000000,4,0.00025714
1703318400001,4,0.00016648
