funding_time_ms,interval_hours,rate
1784275200001,8,0.00231243
1784304000001,8,0.00041133
1784332800001,8,0E-8
1784361600001,8,0E-8
1784390400001,8,0E-8
1784419200001,8,0E-8
1784448000001,8,0E-8
1784476800001,8,0E-8
1784505600002,8,0.00021852
1784534400001,8,0.00407930
1784563200001,8,0.00116099
1784592000001,8,0E-8
1784620800001,8,0E-8
1784649600000,8,0E-8
1784678400000,8,0.00046454
1784707200001,8,0.00053814
1784736000000,8,0.00024948
1784764800000,8,0E-8
1784793600001,8,0.00153813
1784822400001,8,-0.00011512
1784851200000,8,0E-8
1784880000000,8,-0.00023640
1784908800000,8,0E-8
1784937600001,8,0E-8
1784966400000,8,0E-8
1784995200000,8,0E-8
1785024000001,8,0E-8
1785052800001,8,0E-8
1785081600001,8,0E-8
1785110400001,8,-0.00023492
1785139200001,8,-0.00063827
1785168000000,8,-0.00044751
1785196800000,8,0E-8
1785225600000,8,0.00066135
1785254400000,8,0.00072393
1785283200001,8,0E-8
1785312000001,8,0E-8
1785340800001,8,-0.00035854
1785369600000,8,0E-8
1785398400001,8,0E-8
1785427200000,8,0.00246616
1785456000000,8,0.00116205
1785484800001,8,0.00220095
1785513600001,8,0E-8
1785542400001,8,0E-8
1785571200002,8,0E-8
1785600000002,8,0E-8
1785628800002,8,0E-8
1785657600002,8,0.00078429
1785686400001,8,0E-8
1785715200001,8,0E-8
1785744000002,8,-0.00020671
1785772800001,8,0.00070646
1785801600001,8,0.00032513
1785830400001,8,0.00190143
1785859200001,8,0.00017691
1785888000001,8,0E-8
1785916800001,8,0.00062249
1785945600001,8,0.00029845
1785974400001,8,0E-8
1786003200002,8,-0.00008066
1786032000001,8,0E-8
1786060800001,8,0.00054498
1786089600002,8,0E-8
1786118400002,8,0E-8
1786147200001,8,0E-8
1786176000001,8,0E-8
1786204800001,8,0E-8
1786233600001,8,0.00005773
1786262400001,8,0E-8
1786291200001,8,0E-8
1786320000002,8,0E-8
1786348800001,8,0.00028376
1786377600002,8,0E-8
1786406400001,8,0E-8
1786435200001,8,0E-8
1786464000001,8,0E-8
1786492800001,8,0E-8
1786521600002,8,-0.00029280
1786550400002,8,0.00023326
1786579200001,8,0E-8
1786608000002,8,0E-8
1786636800001,8,0E-8
1786665600001,8,0E-8
1786694400001,8,0.00020114
1786723200002,8,-0.00042199
1786752000001,8,0E-8
1786780800001,8,0.00004301
1786809600002,8,0E-8
1786838400002,8,0E-8
1786867200002,8,0E-8
1786896000001,8,0E-8
1786924800001,8,0E-8
1786953600001,8,0E-8
1786982400001,8,0E-8
1787011200002,8,0E-8
1787040000001,8,0.00080188
1787068800001,8,-0.00182242
1787097600001,8,0E-8
1787126400001,8,0E-8
1787155200001,8,0E-8
1787184000001,8,0E-8
1787212800002,8,0.00031556
1787241600001,8,0E-8
1787270400002,8,0.00006001
1787299200001,8,0E-8
1787328000002,8,-0.00267177
1787356800001,8,0E-8
1787385600002,8,-0.00014793
1787414400002,8,0.00037503
1787443200002,8,0E-8
1787472000001,8,0E-8
1787500800001,8,0.00026552
1787529600002,8,0E-8
1787558400001,8,0.00001300
1787587200002,8,-0.00017718
1787616000001,8,0E-8
1787644800001,8,0.00079340
1787673600001,8,0.00005624
1787702400002,8,0E-8
1787731200002,8,0.00095540
1787760000002,8,0.00054649
1787788800001,8,0.00059423
1787817600002,8,0.00027282
1787846400002,8,0E-8
1787875200002,8,0E-8
1787904000001,8,0.00044084
1787932800002,8,0E-8
1787961600002,8,0E-8
1787990400002,8,0E-8
1788019200001,8,0E-8
1788048000001,8,0E-8
1788076800001,8,0E-8
1788105600001,8,0E-8
1788134400001,8,-0.00100555
1788163200001,8,-0.00066549
1788192000002,8,0E-8
