funding_time_ms,interval_hours,rate
1787644800001,8,0E-8
1787673600001,8,0E-8
1787702400002,8,-0.00027603
1787731200002,8,0.00030715
1787760000002,8,0.00019470
1787788800001,8,0.00020967
1787817600002,8,0.00008236
1787846400002,8,0E-8
1787875200002,8,0E-8
1787904000001,8,0E-8
1787932800002,8,0E-8
1787961600002,8,0E-8
1787990400002,8,0E-8
1788019200001,8,0E-8
1788048000001,8,0E-8
1788076800001,8,0E-8
1788105600001,8,0E-8
1788134400001,8,-0.00086947
1788163200001,8,0E-8
1788192000002,8,-0.00010565
