funding_time_ms,interval_hours,rate
1691683200000,8,0.00010000
1691712000000,8,0.00010000
1691740800000,8,0.00010000
1691769600000,8,-0.00195822
1691798400000,8,-0.00015256
1691827200000,8,-0.01102396
1691856000000,8,-0.00433554
1691884800000,8,-0.00679569
1691913600000,8,-0.00225990
1691942400000,8,-0.00174500
1691971200001,8,-0.00178421
1692000000000,8,-0.00028447
1692028800000,8,0.00004029
1692057600001,8,0.00010000
1692086400000,8,-0.00029636
1692115200000,8,0.00010000
1692144000000,8,-0.00103130
1692172800001,8,0.00001676
1692201600000,8,0.00010000
1692230400000,8,-0.00011111
1692259200000,8,0.00007794
1692288000000,8,0.00005795
1692316800000,8,-0.00237803
1692345600000,8,-0.00391150
1692374400000,8,-0.00417323
1692403200000,8,-0.00275800
1692432000000,8,-0.00238080
1692460800000,8,-0.00126440
1692489600000,8,-0.00214362
1692518400000,8,-0.00092316
1692547200000,8,-0.00030882
1692576000000,8,-0.00048630
1692604800000,8,-0.00202615
1692633600000,8,-0.00245921
1692662400000,8,-0.00126427
1692691200000,8,-0.00049210
1692720000000,8,-0.00060143
1692748800000,8,-0.00019788
1692777600000,8,-0.00026685
1692806400000,8,-0.00012961
1692835200000,8,0.00010000
1692864000000,8,0.00010000
1692892800000,8,0.00010000
1692921600000,8,0.00010000
1692950400000,8,-0.00003191
1692979200000,8,0.00010000
1693008000000,8,0.00010000
1693036800000,8,0.00010000
1693065600000,8,0.00010000
1693094400000,8,0.00010000
1693123200000,8,0.00010000
1693152000000,8,0.00010000
1693180800000,8,0.00010000
1693209600001,8,0.00010000
1693238400001,8,0.00010000
1693267200000,8,0.00010000
1693296000000,8,0.00010000
1693324800000,8,-0.00299758
1693353600000,8,0.00010000
1693382400000,8,0.00010000
1693411200000,8,0.00010000
1693440000000,8,0.00010000
1693468800000,8,0.00010000
1693497600000,8,0.00010000
1693526400000,8,0.00010000
1693555200000,8,0.00010000
1693584000001,8,0.00010000
1693612800000,8,0.00010000
1693641600000,8,0.00010000
1693670400000,8,0.00010000
1693699200000,8,0.00010000
1693728000000,8,0.00009272
1693756800000,8,0.00004891
1693785600000,8,-0.00031983
1693814400000,8,0.00009546
1693843200000,8,0.00010000
1693872000000,8,0.00010000
1693900800000,8,0.00010000
1693929600000,8,0.00010000
1693958400000,8,0.00010000
1693987200000,8,0.00010000
1694016000001,8,0.00010000
1694044800000,8,0.00010000
1694073600000,8,0.00010000
1694102400000,8,0.00010000
1694131200000,8,0.00010000
1694160000000,8,0.00010000
1694188800000,8,0.00010000
1694217600000,8,0.00010000
1694246400000,8,0.00010000
1694275200000,8,0.00009422
1694304000000,8,0.00010000
1694332800000,8,0.00010000
1694361600000,8,0.00005365
1694390400000,8,0.00002998
1694419200000,8,-0.00004495
1694448000001,8,-0.00009161
1694476800000,8,0.00010000
1694505600000,8,0.00010000
1694534400000,8,0.00010000
1694563200000,8,0.00010000
1694592000000,8,0.00010000
1694620800000,8,0.00010000
1694649600000,8,0.00010000
1694678400001,8,0.00010000
1694707200000,8,0.00010000
1694736000000,8,0.00010000
1694764800000,8,0.00010000
1694793600000,8,0.00010000
1694822400000,8,0.00010000
1694851200000,8,0.00010000
1694880000000,8,0.00003642
1694908800000,8,0.00001109
1694937600000,8,-0.00002064
1694966400000,8,0.00001807
1694995200000,8,-0.00008790
1695024000000,8,-0.00009386
1695052800000,8,-0.00018748
1695081600000,8,0.00010000
1695110400001,8,0.00010000
1695139200000,8,0.00009582
1695168000000,8,0.00010000
1695196800000,8,0.00002536
1695225600000,8,0.00010000
1695254400001,8,0.00010000
1695283200000,8,0.00010000
1695312000000,8,0.00002768
1695340800000,8,0.00005583
1695369600000,8,0.00004300
1695398400000,8,-0.00000884
1695427200000,8,0.00010000
1695456000000,8,0.00010000
1695484800000,8,0.00010000
1695513600000,8,0.00010000
1695542400000,8,0.00010000
1695571200000,8,0.00010000
1695600000000,8,0.00010000
1695628800000,8,0.00010000
1695657600000,8,0.00010000
1695686400000,8,0.00010000
1695715200000,8,0.00010000
1695744000000,8,0.00010000
1695772800000,8,0.00010000
1695801600001,8,0.00010000
1695830400000,8,0.00010000
1695859200000,8,0.00010000
1695888000000,8,0.00010000
1695916800000,8,0.00010000
1695945600000,8,0.00010000
1695974400000,8,0.00010000
1696003200000,8,0.00010000
1696032000000,8,0.00010000
1696060800000,8,0.00010000
1696089600000,8,0.00010000
1696118400000,8,-0.00040332
1696147200000,8,0.00010000
1696176000000,8,0.00010000
1696204800000,8,0.00010000
1696233600000,8,0.00010000
1696262400000,8,0.00010000
1696291200000,8,0.00010000
1696320000000,8,0.00010000
1696348800000,8,0.00010000
1696377600000,8,0.00006510
1696406400000,8,0.00010000
1696435200000,8,0.00003623
1696464000000,8,0.00010000
1696492800000,8,0.00010000
1696521600001,8,0.00008660
1696550400000,8,0.00010000
1696579200000,8,0.00010000
1696608000000,8,0.00010000
1696636800000,8,0.00010000
1696665600000,8,0.00010000
1696694400000,8,0.00010000
1696723200000,8,0.00010000
1696752000001,8,0.00010000
1696780800000,8,0.00010000
1696809600000,8,0.00009712
1696838400000,8,0.00010000
1696867200000,8,0.00010000
1696896000000,8,0.00010000
1696924800000,8,0.00010000
1696953600000,8,0.00004941
1696982400000,8,0.00010000
1697011200000,8,0.00010000
1697040000000,8,0.00001307
1697068800000,8,0.00010000
1697097600000,8,0.00010000
1697126400000,8,0.00010000
1697155200000,8,0.00010000
1697184000000,8,0.00010000
1697212800000,8,0.00002554
1697241600000,8,-0.00003225
1697270400000,8,0.00003206
1697299200000,8,-0.00034959
1697328000000,8,-0.00000325
1697356800000,8,-0.00001735
1697385600000,8,0.00010000
1697414400000,8,0.00006245
1697443200000,8,0.00010000
1697472000000,8,0.00005882
1697500800000,8,0.00005033
1697529600000,8,-0.00007017
1697558400000,8,-0.00019915
1697587200000,8,0.00010000
1697616000000,8,0.00010000
1697644800000,8,-0.00041514
1697673600000,8,-0.00011658
1697702400001,8,0.00010000
1697731200000,8,-0.00007626
1697760000000,8,0.00010000
1697788800005,8,-0.00002460
1697817600000,8,-0.00081239
1697846400000,8,0.00010000
1697875200000,8,0.00005344
1697904000000,8,0.00010000
1697932800000,8,0.00010000
1697961600000,8,0.00010000
1697990400000,8,0.00010000
1698019200000,8,0.00010000
1698048000001,8,0.00010000
1698076800001,8,0.00002365
1698105600000,8,0.00010000
1698134400000,8,0.00010000
1698163200000,8,0.00010000
1698192000000,8,0.00010000
1698220800000,8,0.00010000
1698249600001,8,0.00024174
1698278400001,8,0.00018244
1698307200000,8,0.00035835
1698336000000,8,0.00024447
1698364800000,8,0.00022621
1698393600000,8,0.00011770
1698422400000,8,0.00031038
1698451200000,8,0.00021549
1698480000001,8,0.00037300
1698508800000,8,0.00013413
1698537600000,8,0.00029204
1698566400000,8,0.00023816
1698595200000,8,0.00034971
1698624000000,8,0.00020401
1698652800000,8,0.00010000
1698681600000,8,0.00010000
1698710400001,8,0.00010000
1698739200000,8,0.00010000
1698768000000,8,0.00010000
1698796800000,8,0.00010000
1698825600000,8,0.00010000
1698854400000,8,0.00010000
1698883200001,8,0.00034201
1698912000000,8,0.00014120
1698940800000,8,0.00012126
1698969600000,8,0.00011751
1698998400000,8,0.00010000
1699027200000,8,0.00016672
1699056000000,8,0.00024251
1699084800000,8,0.00030070
1699113600000,8,0.00010000
1699142400000,8,0.00010000
1699171200000,8,0.00010000
1699200000000,8,0.00010000
1699228800000,8,0.00010000
1699257600001,8,0.00010000
1699286400000,8,0.00010000
1699315200001,8,0.00013442
1699344000000,8,0.00010000
1699372800000,8,0.00010000
1699401600000,8,0.00010000
1699430400000,8,0.00010000
1699459200000,8,0.00010000
1699488000000,8,0.00010000
1699516800000,8,0.00022411
1699545600000,8,0.00034035
1699574400000,8,0.00010000
1699603200000,8,0.00019231
1699632000000,8,0.00010000
1699660800000,8,0.00017703
1699689600000,8,0.00010000
1699718400000,8,0.00058883
1699747200000,8,0.00034268
1699776000000,8,0.00047890
1699804800001,8,0.00040398
1699833600000,8,0.00036524
1699862400000,8,0.00025165
1699891200000,8,0.00032160
1699920000000,8,0.00010000
1699948800000,8,0.00010000
1699977600001,8,0.00010000
1700006400000,8,0.00010000
1700035200000,8,0.00010000
1700064000000,8,0.00010000
1700092800000,8,0.00010000
1700121600000,8,0.00032515
1700150400001,8,0.00034366
1700179200000,8,0.00010000
1700208000001,8,0.00010578
1700236800001,8,0.00010000
1700265600000,8,0.00010000
1700294400000,8,0.00010000
1700323200000,8,0.00010000
1700352000000,8,0.00010000
1700380800000,8,0.00011939
1700409600000,8,0.00010000
1700438400000,8,0.00010000
1700467200000,8,0.00010000
1700496000000,8,0.00010356
1700524800000,8,0.00010000
1700553600000,8,0.00010000
1700582400000,8,0.00028813
1700611200000,8,0.00010000
1700640000000,8,0.00010000
1700668800000,8,0.00010000
1700697600000,8,0.00010000
1700726400000,8,0.00010000
1700755200001,8,0.00010000
1700784000000,8,0.00010000
1700812800000,8,0.00010000
1700841600000,8,0.00010000
1700870400000,8,0.00010000
1700899200000,8,0.00010000
1700928000000,8,0.00010000
1700956800000,8,0.00010000
1700985600000,8,0.00010000
1701014400000,8,0.00010000
1701043200000,8,0.00010654
1701072000001,8,0.00010000
1701100800000,8,0.00010000
1701129600000,8,0.00010000
1701158400000,8,0.00010000
1701187200000,8,0.00010000
1701216000001,8,0.00010000
1701244800000,8,0.00010000
1701273600000,8,0.00010000
1701302400000,8,0.00010000
1701331200000,8,0.00010000
1701360000000,8,0.00010000
1701388800000,8,0.00010000
1701417600000,8,0.00010000
1701446400000,8,0.00010000
1701475200000,8,0.00010000
1701504000000,8,0.00010000
1701532800000,8,0.00010000
1701561600000,8,0.00024339
