funding_time_ms,interval_hours,rate
1780070400001,8,0.00005000
1780099200001,8,0.00005000
1780128000001,8,0.00005000
1780156800001,8,0.00005000
1780185600001,8,0.00005000
1780214400001,8,0.00005000
1780243200001,8,0.00005000
1780272000001,8,0.00005000
1780300800001,8,0.00005000
1780329600001,8,0.00005000
1780358400001,8,0.00005000
1780387200001,8,0.00005000
1780416000001,8,0.00005000
1780444800001,8,0.00005000
1780473600001,8,0.00005000
1780502400001,8,0.00005000
1780531200001,8,0.00005000
1780560000001,8,0.00005000
1780588800001,8,0.00005000
1780617600001,8,0.00028853
1780646400001,8,0E-8
1780675200001,8,0E-8
1780704000001,8,-0.00017488
1780732800001,8,-0.00026019
1780761600001,8,0E-8
1780790400002,8,0.00021374
1780819200001,8,0.00073642
1780848000001,8,-0.00052466
1780876800001,8,0.00007317
1780905600001,8,-0.00124308
1780934400001,8,0E-8
1780963200001,8,0.00083101
1780992000001,8,0.00009349
1781020800001,8,0E-8
1781049600001,8,-0.00073640
1781078400001,8,0E-8
1781107200001,8,0.00046792
1781136000001,8,0.00039605
1781164800001,8,0E-8
1781193600001,8,0.00008215
1781222400001,8,-0.00026980
1781251200001,8,-0.00094306
1781280000001,8,0E-8
1781308800001,8,-0.00040142
1781337600001,8,0.00003287
1781366400001,8,0E-8
1781395200001,8,0E-8
1781424000001,8,0E-8
1781452800001,8,0E-8
1781481600001,8,0.00081565
1781510400002,8,0.00126157
1781539200001,8,0.00076909
1781568000001,8,0E-8
1781596800001,8,0E-8
1781625600001,8,0E-8
1781654400001,8,0E-8
1781683200001,8,0E-8
1781712000001,8,0.00010132
1781740800001,8,0.00076915
1781769600001,8,0.00021885
1781798400001,8,0E-8
1781827200001,8,0E-8
1781856000001,8,0E-8
1781884800001,8,0.00116801
1781913600001,8,0E-8
1781942400001,8,0E-8
1781971200001,8,0E-8
1782000000001,8,0E-8
1782028800001,8,0E-8
1782057600001,8,0E-8
1782086400001,8,0E-8
1782115200001,8,0.00048539
1782144000001,8,0E-8
1782172800001,8,0.00148227
1782201600002,8,0E-8
1782230400001,8,-0.00034084
1782259200001,8,0.00087299
1782288000001,8,0.00171792
1782316800001,8,-0.00004209
1782345600002,8,0E-8
1782374400001,8,-0.00045748
1782403200001,8,0E-8
1782432000001,8,0.00036922
1782460800002,8,0.00077234
1782489600001,8,0E-8
1782518400001,8,-0.00061904
1782547200001,8,0E-8
1782576000001,8,0E-8
1782604800002,8,0E-8
1782633600002,8,0E-8
1782662400001,8,0E-8
1782691200001,8,0.00016637
1782720000001,8,0E-8
1782748800001,8,0.00027960
1782777600000,8,0E-8
1782806400000,8,0.00093085
1782835200001,8,0E-8
1782864000000,8,0E-8
1782892800001,8,0.00036927
1782921600001,8,0.00038793
1782950400000,8,0.00007564
1782979200001,8,-0.00001582
1783008000001,8,0.00033072
1783036800001,8,0.00062260
1783065600001,8,0E-8
1783094400001,8,0E-8
1783123200001,8,0E-8
1783152000001,8,0E-8
1783180800001,8,0E-8
1783209600002,8,0E-8
1783238400001,8,0E-8
1783267200001,8,0E-8
1783296000001,8,0E-8
1783324800001,8,-0.00040121
1783353600001,8,0E-8
1783382400001,8,0E-8
1783411200001,8,0.00054854
1783440000001,8,0E-8
1783468800002,8,0E-8
1783497600001,8,-0.00050799
1783526400001,8,0E-8
1783555200001,8,0E-8
1783584000001,8,0.00049492
1783612800001,8,0.00067166
1783641600001,8,0.00045620
1783670400001,8,0E-8
1783699200001,8,0.00094543
1783728000001,8,0E-8
1783756800001,8,0E-8
1783785600001,8,0E-8
1783814400001,8,0E-8
1783843200001,8,0E-8
1783872000001,8,0E-8
1783900800001,8,0E-8
1783929600001,8,-0.00030917
1783958400001,8,0E-8
1783987200002,8,0.00057460
1784016000001,8,0.00001338
1784044800001,8,0.00011624
1784073600001,8,0.00079997
1784102400001,8,0E-8
1784131200001,8,0E-8
1784160000001,8,0E-8
1784188800002,8,0.00200702
1784217600001,8,0.00013198
1784246400001,8,-0.00017121
1784275200001,8,0E-8
1784304000001,8,0E-8
1784332800001,8,0.00114277
1784361600001,8,0E-8
1784390400001,8,0E-8
1784419200001,8,0E-8
1784448000001,8,0E-8
1784476800001,8,0.00007410
1784505600002,8,0E-8
1784534400001,8,0E-8
1784563200001,8,0E-8
1784592000001,8,0.00054002
1784620800001,8,-0.00253226
1784649600000,8,0E-8
1784678400000,8,0.00330102
1784707200001,8,-0.00506112
1784736000000,8,0E-8
1784764800000,8,0E-8
1784793600001,8,-0.00183718
1784822400001,8,-0.00044637
1784851200000,8,0.00108259
1784880000000,8,0.00018240
1784908800000,8,0E-8
1784937600001,8,0E-8
1784966400000,8,0E-8
1784995200000,8,0E-8
1785024000001,8,0E-8
1785052800001,8,0.00073642
1785081600001,8,0E-8
1785110400001,8,0E-8
1785139200001,8,0E-8
1785168000000,8,-0.00002096
1785196800000,8,0E-8
1785225600000,8,0.00138522
1785254400000,8,0E-8
1785283200001,8,0E-8
1785312000001,8,-0.00304793
1785340800001,8,0E-8
1785369600000,8,0E-8
1785398400001,8,-0.00451660
1785427200000,8,0E-8
1785456000000,8,0.00069879
1785484800001,8,-0.00396516
1785513600001,8,0E-8
1785542400001,8,0.00024893
1785571200002,8,0E-8
1785600000002,8,0E-8
1785628800002,8,0E-8
1785657600002,8,0E-8
1785686400001,8,0E-8
1785715200001,8,0E-8
1785744000002,8,-0.00395848
1785772800001,8,0.00080402
1785801600001,8,-0.00008840
1785830400001,8,0.00106856
1785859200001,8,0.00172378
1785888000001,8,0.00232357
1785916800001,8,0.00102018
1785945600001,8,0.00002936
1785974400001,8,0.00007159
1786003200002,8,0.00326739
1786032000001,8,0E-8
1786060800001,8,-0.00001547
1786089600002,8,-0.00046894
1786118400002,8,-0.00121043
1786147200001,8,0E-8
1786176000001,8,0E-8
1786204800001,8,0E-8
1786233600001,8,0E-8
1786262400001,8,0E-8
1786291200001,8,0E-8
1786320000002,8,0E-8
1786348800001,8,-0.00061572
1786377600002,8,0E-8
1786406400001,8,0E-8
1786435200001,8,-0.00181324
1786464000001,8,0.00016785
1786492800001,8,0E-8
1786521600002,8,0E-8
1786550400002,8,0E-8
1786579200001,8,-0.00040077
1786608000002,8,-0.00284352
1786636800001,8,-0.00028155
1786665600001,8,0.00099907
1786694400001,8,-0.00008099
1786723200002,8,0.00039570
1786752000001,8,0E-8
1786780800001,8,0E-8
1786809600002,8,0E-8
1786838400002,8,0E-8
1786867200002,8,0E-8
1786896000001,8,0E-8
1786924800001,8,0E-8
1786953600001,8,0E-8
1786982400001,8,0E-8
1787011200002,8,0E-8
1787040000001,8,0E-8
1787068800001,8,-0.00034916
1787097600001,8,0E-8
1787126400001,8,0.00059072
1787155200001,8,0E-8
1787184000001,8,0E-8
1787212800002,8,0.00012101
1787241600001,8,0E-8
1787270400002,8,0.00090599
1787299200001,8,0.00355216
1787328000002,8,0.00045476
1787356800001,8,0.00012407
