funding_time_ms,interval_hours,rate
1778745600000,4,0.00213186
1778760000001,4,0.00146309
1778774400000,4,0.00076936
1778788800000,4,0.00058574
1778803200000,4,0.00048362
1778817600006,4,0.00058978
1778832000016,4,0.00063150
1778846400001,4,0.00087145
1778860800012,4,0.00038686
1778875200001,4,0.00035504
1778889600005,4,0.00057917
1778904000000,4,0.00078520
1778918400000,4,0.00032066
1778932800002,4,0.00025411
1778947200005,4,0.00045602
1778961600000,4,0.00016741
1778976000000,4,0.00028906
1778990400012,4,0.00034539
1779004800010,4,0.00020053
1779019200014,4,0.00032781
1779033600009,4,0.00014770
1779048000002,4,0.00047470
1779062400007,4,0.00012965
1779076800000,4,0.00067524
1779091200002,4,0.00005000
1779105600001,4,0.00005000
1779120000007,4,-0.00014805
1779134400000,4,0.00005000
1779148800001,4,0.00005000
1779163200003,4,0.00005000
1779177600001,4,0.00005000
1779192000000,4,0.00019094
1779206400009,4,0.00005000
1779220800001,4,0.00005000
1779235200001,4,0.00005000
1779249600001,4,0.00017677
1779264000006,4,0.00064880
1779278400001,4,0.00039006
1779292800000,4,0.00030618
1779307200019,4,0.00005000
1779321600001,4,0.00057789
1779336000000,4,0.00029674
1779350400000,4,0.00025835
1779364800000,4,-0.00003392
1779379200000,4,0.00005000
1779393600001,4,0.00019202
1779408000000,4,0.00014228
1779422400000,4,0.00005000
1779436800004,4,0.00005000
1779451200000,4,0.00034890
1779465600001,4,0.00005000
1779480000002,4,0.00005000
1779494400009,4,0.00005000
1779508800006,4,0.00027285
1779523200001,4,0.00005000
1779537600000,4,0.00022755
1779552000003,4,0.00009750
1779566400007,4,0.00031828
1779580800011,4,0.00024333
1779595200001,4,0.00020996
1779609600008,4,0.00036525
1779624000001,4,0.00063711
1779638400000,4,0.00033396
1779652800002,4,0.00013964
1779667200001,4,0.00045103
1779681600000,4,0.00033460
1779696000001,4,0.00017967
1779710400008,4,0.00007760
1779724800001,4,0.00033143
1779739200000,4,0.00022445
1779753600000,4,0.00005000
1779768000003,4,0.00005000
1779782400003,4,0.00010672
1779796800000,4,0.00043159
1779811200000,4,0.00025149
1779825600000,4,0.00015329
1779840000000,4,0.00005000
1779854400002,4,0.00057043
1779868800004,4,0.00005000
1779883200007,4,0.00024816
1779897600009,4,0.00005000
1779912000001,4,0.00024237
1779926400001,4,0.00018686
1779940800000,4,0.00005000
1779955200000,4,0.00005000
1779969600000,4,0.00008979
1779984000001,4,0.00005281
1779998400005,4,0.00068182
1780012800000,4,0.00041435
1780027200000,4,0.00005000
1780041600001,4,0.00005000
1780056000001,4,0.00007210
1780070400008,4,0.00005000
1780084800000,4,0.00013414
1780099200000,4,0.00032040
1780113600004,4,0.00005000
1780128000001,4,0.00093398
1780142400000,4,0.00005000
1780156800000,4,0.00019691
1780171200000,4,0.00005000
1780185600000,4,0.00010957
1780200000006,4,0.00005000
1780214400000,4,0.00011488
1780228800005,4,0.00025568
1780243200004,4,0.00048092
1780257600010,4,0.00066113
1780272000001,4,0.00048132
1780286400006,4,0.00005000
1780300800001,4,0.00005000
1780315200000,4,0.00005000
1780329600000,4,0.00037413
1780344000000,4,0.00016993
1780358400000,4,0.00013582
1780372800008,4,0.00025494
1780387200000,4,0.00038222
1780401600002,4,0.00099507
1780416000000,4,0.00084058
1780430400000,4,0.00019108
1780444800013,4,0.00006601
1780459200000,4,0.00056904
1780473600000,4,0.00081328
1780488000000,4,0.00039475
1780502400001,4,0.00032841
1780516800002,4,0.00006109
1780531200009,4,0.00018997
1780545600000,4,0.00033531
1780560000000,4,0.00020772
1780574400002,4,0.00011516
1780588800003,4,0.00016997
1780603200001,4,0.00044066
1780617600000,4,0.00013851
1780632000001,4,0.00008452
1780646400004,4,0.00026814
