funding_time_ms,interval_hours,rate
1781164800001,8,0E-8
1781193600001,8,0E-8
1781222400001,8,0E-8
1781251200001,8,0E-8
1781280000001,8,0E-8
1781308800001,8,0E-8
1781337600001,8,0E-8
1781366400001,8,0E-8
1781395200001,8,0E-8
1781424000001,8,0E-8
1781452800001,8,0E-8
1781481600001,8,0E-8
1781510400002,8,0E-8
1781539200001,8,-0.00129844
1781568000001,8,-0.00179552
1781596800001,8,0.00097917
1781625600001,8,0.00197177
1781654400001,8,0.00005788
1781683200001,8,0.00178028
1781712000001,8,0.00116460
1781740800001,8,0.00065693
1781769600001,8,0.00296930
1781798400001,8,0.00092297
1781827200001,8,0.00121239
1781856000001,8,0.00002244
1781884800001,8,0.00021083
1781913600001,8,0E-8
1781942400001,8,0.00009884
1781971200001,8,0E-8
1782000000001,8,0E-8
1782028800001,8,0E-8
1782057600001,8,0E-8
1782086400001,8,-0.00185450
1782115200001,8,0.00239649
1782144000001,8,0.00094885
1782172800001,8,0.00134393
1782201600002,8,-0.00298840
1782230400001,8,0.00052644
1782244800001,1,0E-8
1782248400001,1,0E-8
1782252000001,1,0.00017477
1782255600001,1,0.00003756
1782259200001,1,0.00011567
1782259200012,1,-0.00070841
1782288000001,8,0.00207534
1782316800001,8,0.00060539
1782345600002,8,0E-8
1782374400001,8,0.00039533
1782403200001,8,0.00046843
1782432000001,8,0E-8
1782460800002,8,0.00009541
1782489600001,8,0E-8
1782518400001,8,0E-8
1782547200001,8,0E-8
1782576000001,8,0E-8
1782604800002,8,0E-8
1782633600002,8,0E-8
1782662400001,8,0E-8
1782691200001,8,0E-8
1782720000001,8,-0.00052965
1782748800001,8,0E-8
1782777600000,8,-0.00030416
1782806400000,8,0.00115775
1782835200001,8,0E-8
1782864000000,8,0E-8
1782892800001,8,0.00007334
1782921600001,8,0.00015985
1782950400000,8,0E-8
1782979200001,8,0.00076468
1783008000001,8,0E-8
1783036800001,8,0E-8
1783065600001,8,0E-8
1783094400001,8,0E-8
1783123200001,8,0E-8
