funding_time_ms,interval_hours,rate
1599206400000,8,-0.00093245
1599235200006,8,-0.00476980
1599264000000,8,-0.00052480
1599292800004,8,-0.00037893
1599321600001,8,-0.00059827
1599350400004,8,-0.00750000
1599379200000,8,-0.00750000
1599408000000,8,-0.00158478
1599436800002,8,0.00010000
1599465600004,8,-0.00373925
1599494400001,8,-0.00186673
1599523200007,8,-0.00011840
1599552000006,8,0.00010000
1599580800014,8,0.00010000
1599609600000,8,0.00010000
1599638400000,8,0.00010000
1599667200000,8,0.00041793
1599696000000,8,0.00010000
1599724800005,8,0.00010000
1599753600000,8,0.00010000
1599782400000,8,0.00010000
1599811200008,8,0.00010000
1599840000000,8,0.00010000
1599868800008,8,0.00010000
1599897600000,8,0.00010000
1599926400008,8,0.00010000
1599955200000,8,0.00010000
1599984000000,8,0.00097692
1600012800004,8,0.00041329
1600041600003,8,0.00070656
1600070400008,8,0.00044768
1600099200000,8,0.00121906
1600128000000,8,0.00124047
1600156800010,8,0.00011308
1600185600003,8,0.00010000
1600214400014,8,0.00010000
1600243200000,8,0.00010000
1600272000001,8,0.00010000
1600300800006,8,0.00010000
1600329600012,8,0.00010000
1600358400000,8,0.00010000
1600387200001,8,0.00010000
1600416000002,8,-0.00002796
1600444800002,8,0.00010000
1600473600000,8,0.00010000
1600502400005,8,0.00010000
1600531200008,8,0.00010000
1600560000002,8,0.00010000
1600588800005,8,0.00010000
1600617600005,8,0.00010000
1600646400000,8,0.00010000
1600675200001,8,0.00010000
1600704000000,8,0.00010000
1600732800001,8,0.00010000
1600761600000,8,0.00010000
1600790400004,8,0.00010000
1600819200007,8,0.00024145
1600848000001,8,0.00010000
1600876800001,8,0.00010000
1600905600000,8,0.00011885
1600934400000,8,0.00010000
1600963200000,8,0.00010000
1600992000009,8,0.00010000
1601020800045,8,0.00010000
1601049600000,8,0.00010000
1601078400000,8,0.00010000
1601107200000,8,0.00010000
1601136000005,8,0.00023696
1601164800000,8,0.00038418
1601193600000,8,0.00019430
1601222400019,8,0.00040368
1601251200001,8,0.00033765
1601280000000,8,0.00013340
1601308800002,8,0.00014808
1601337600000,8,0.00020620
1601366400000,8,0.00010000
1601395200000,8,0.00038219
1601424000005,8,0.00012254
1601452800000,8,0.00010000
1601481600000,8,0.00010000
1601510400000,8,0.00010000
1601539200000,8,0.00010000
1601568000000,8,0.00010000
1601596800011,8,0.00010000
1601625600000,8,0.00010000
1601654400005,8,0.00010000
1601683200000,8,0.00010000
1601712000001,8,0.00010000
1601740800000,8,0.00010000
1601769600000,8,0.00010000
1601798400003,8,0.00010000
1601827200001,8,0.00010000
1601856000000,8,0.00010000
1601884800000,8,0.00010000
1601913600012,8,0.00010000
1601942400000,8,0.00010000
1601971200005,8,0.00010000
1602000000000,8,-0.00047530
1602028800000,8,-0.00108639
1602057600000,8,-0.00240106
1602086400000,8,-0.00254281
1602115200000,8,-0.00074017
1602144000009,8,-0.00279870
1602172800003,8,-0.00455435
1602201600001,8,-0.00008617
1602230400000,8,0.00010000
1602259200004,8,0.00010000
1602288000005,8,0.00010000
1602316800000,8,0.00010000
