funding_time_ms,interval_hours,rate
1787126400001,8,-0.02000000
1787140800001,4,-0.00010369
1787155200001,4,-0.00139103
1787169600001,4,-0.00052075
1787184000001,4,0E-8
1787198400001,4,-0.00479572
1787212800002,4,-0.00612338
1787227200002,4,-0.00016905
1787241600001,4,-0.00058459
1787256000002,4,-0.00088696
1787270400002,4,0.00188570
1787284800002,4,-0.00612903
1787299200001,4,-0.00564405
1787313600001,4,0.00001361
1787328000002,4,0E-8
1787342400001,4,0E-8
1787356800001,4,0E-8
1787371200001,4,-0.00008498
1787385600002,4,0E-8
1787400000001,4,0E-8
1787414400002,4,-0.00011226
1787428800002,4,0E-8
1787443200002,4,0E-8
1787457600001,4,-0.00013050
1787472000001,4,-0.00054732
1787486400001,4,0E-8
1787500800001,4,0E-8
1787515200001,4,0E-8
1787529600002,4,0E-8
1787544000002,4,-0.00300495
1787558400001,4,-0.00138182
1787572800002,4,-0.00032069
1787587200002,4,-0.00026882
1787601600001,4,-0.00086357
1787616000001,4,-0.00014586
1787630400002,4,-0.00797189
1787644800001,4,-0.00404877
1787659200002,4,0E-8
1787673600001,4,0.00046277
1787688000002,4,0.00005640
1787702400002,4,-0.00071523
1787716800002,4,0E-8
1787731200002,4,-0.00025055
1787745600001,4,0.00008698
1787760000002,4,0E-8
1787774400002,4,0E-8
1787788800001,4,0E-8
1787803200002,4,0E-8
1787817600002,4,-0.00060075
1787832000001,4,0E-8
1787846400002,4,0E-8
1787860800002,4,0E-8
1787875200002,4,-0.00017717
1787889600001,4,0.00067347
1787904000001,4,0.00063359
1787918400002,4,0E-8
1787932800002,4,0.00005792
1787947200002,4,8.4E-7
1787961600002,4,0E-8
1787976000002,4,0E-8
1787990400002,4,0E-8
1788004800002,4,0E-8
1788019200001,4,0E-8
1788033600002,4,0E-8
1788048000001,4,0E-8
1788062400002,4,0E-8
1788076800001,4,-0.00012180
1788091200002,4,0E-8
1788105600001,4,0E-8
1788120000002,4,0E-8
1788134400001,4,-0.00044349
1788148800001,4,0.00020668
1788163200001,4,-0.00007803
1788177600001,4,0E-8
1788192000002,4,0E-8
1788206400001,4,0E-8
