funding_time_ms,interval_hours,rate
1786608000002,8,0E-8
1786636800001,8,0E-8
1786665600001,8,0E-8
1786694400001,8,0.00108848
1786723200002,8,0.00009757
1786752000001,8,0E-8
1786780800001,8,0E-8
1786809600002,8,0E-8
1786838400002,8,0E-8
1786867200002,8,0E-8
1786896000001,8,0E-8
1786924800001,8,0E-8
1786953600001,8,0.00197478
1786982400001,8,0.00201471
1787011200002,8,0E-8
1787040000001,8,0.00174770
1787068800001,8,-0.00012821
1787097600001,8,0E-8
1787126400001,8,0.00244570
1787155200001,8,-0.00007553
1787184000001,8,0.00001362
1787212800002,8,0.00061978
1787241600001,8,0E-8
1787270400002,8,0E-8
1787299200001,8,0.00021963
1787328000002,8,-0.00030844
1787356800001,8,0E-8
1787385600002,8,0E-8
1787414400002,8,0E-8
1787443200002,8,0E-8
1787472000001,8,0E-8
1787500800001,8,0.00043896
1787529600002,8,0E-8
1787558400001,8,0.00197091
1787587200002,8,0.00006416
1787616000001,8,0E-8
1787644800001,8,0.00112662
1787673600001,8,0.00020488
1787702400002,8,0E-8
1787731200002,8,0.00043766
1787760000002,8,0E-8
1787788800001,8,0.00333202
1787817600002,8,0E-8
1787846400002,8,-0.00027640
1787875200002,8,0E-8
1787904000001,8,0E-8
1787932800002,8,-0.00021667
1787961600002,8,0E-8
1787990400002,8,0E-8
1788019200001,8,0E-8
1788048000001,8,0E-8
1788076800001,8,0E-8
1788105600001,8,0E-8
1788134400001,8,0E-8
1788163200001,8,0.00019029
1788192000002,8,0.00017781
