open_time_ms,open,high,low,close,volume,quote_volume
1608854400000,2.7000,2.9562,1.7498,2.2801,71519996,159334720.1052
1608940800000,2.2823,2.4260,1.5595,1.5960,72874458,132970625.3918
1609027200000,1.5960,1.6540,1.0415,1.0636,96158019,125316138.8299
1609113600000,1.0615,1.2800,1.0409,1.1175,52486917,60866347.9405
1609200000000,1.1172,1.1204,0.7563,0.8866,95372584,84375415.3457
1609286400000,0.8872,1.2607,0.8681,1.0946,121819825,130253643.5538
1609372800000,1.0947,1.4063,1.0600,1.3676,92288282,116451304.3673
1609459200000,1.3658,1.4033,1.0820,1.1578,44448765,53531032.8937
1609545600000,1.1578,1.1626,0.9988,1.0267,30850882,33433442.3083
1609632000000,1.0281,1.1600,0.9500,1.1129,39832653,42340408.6944
1609718400000,1.1129,1.2434,0.9750,1.0350,36377444,39950869.1375
1609804800000,1.0355,1.3145,0.9896,1.2552,39148882,44614530.9477
1609891200000,1.2554,1.5330,1.1947,1.5215,51284091,70065198.2576
1609977600000,1.5216,1.6204,1.2500,1.2986,45744595,66967542.9357
1610064000000,1.2983,1.3458,0.9900,1.1874,46041240,56744470.6901
1610150400000,1.1880,1.3075,1.1100,1.2496,36084666,44044786.4650
1610236800000,1.2486,1.4000,1.1013,1.2089,43534843,55405093.1637
1610323200000,1.2087,1.2172,0.9700,1.1250,40094844,43491752.7736
1610409600000,1.1244,1.2168,1.0556,1.1270,27581655,31378910.3345
1610496000000,1.1272,1.3122,1.0736,1.2763,32309302,39519072.5788
1610582400000,1.2769,1.4079,1.2667,1.3368,27095130,35930636.1064
1610668800000,1.3393,1.5162,1.1740,1.3501,43098279,58466517.8703
1610755200000,1.3503,1.8500,1.3364,1.6346,60358328,95994455.3418
1610841600000,1.6365,2.1800,1.5863,2.0368,68240735,129241046.2331
1610928000000,2.0380,2.0800,1.7600,1.8889,36392909,69380258.9067
1611014400000,1.8880,2.1061,1.8070,1.9017,42768961,83331545.5055
1611100800000,1.9015,1.9686,1.6477,1.8465,33427034,59931875.0281
