open_time_ms,open,high,low,close,volume,quote_volume
1602806400000,44.550,45.040,37.510,39.390,282456.7,11582368.0362
1602892800000,39.415,43.329,38.460,41.393,385497.7,15876495.0231
1602979200000,41.379,41.400,39.455,40.795,370900.1,14959792.9716
1603065600000,40.746,41.009,35.828,36.075,398700.9,15422698.4704
1603152000000,36.083,36.474,31.889,32.135,640193.9,21897612.2788
1603238400000,32.095,37.099,31.716,35.107,542288.7,18772337.0993
1603324800000,35.087,39.748,33.509,37.948,614126.9,22595087.6582
1603411200000,37.892,42.698,37.043,41.428,797946.0,31960151.1480
1603497600000,41.441,42.389,38.618,39.397,617193.9,24962323.7278
1603584000000,39.420,40.953,37.243,37.866,592037.6,23246191.8608
1603670400000,37.859,39.212,35.018,35.958,524933.2,19681444.6831
1603756800000,35.960,39.000,34.356,34.933,603617.2,22039911.5575
1603843200000,34.924,35.811,31.963,32.430,568749.4,19023500.5524
1603929600000,32.451,33.263,28.101,29.236,686524.2,20931489.2732
1604016000000,29.222,31.990,27.730,31.055,809945.4,24439268.1674
1604102400000,31.060,32.900,29.524,29.696,584511.2,17984439.9402
1604188800000,29.691,30.990,28.470,30.727,440488.4,13035772.5475
1604275200000,30.732,34.175,29.117,29.672,1107448.8,34603293.2362
1604361600000,29.672,30.085,27.323,28.105,634308.2,17970577.0240
1604448000000,28.110,28.504,25.970,27.689,627055.8,17289877.5772
1604534400000,27.694,32.275,25.887,30.895,814585.5,23553735.4491
1604620800000,30.875,40.950,30.746,38.546,1813531.6,66292574.0035
1604707200000,38.554,52.180,38.327,44.476,2263347.2,99554516.9962
1604793600000,44.435,54.794,42.511,53.852,2223200.6,108697194.6058
1604880000000,53.860,59.080,49.303,55.204,2787646.4,150852942.2214
1604966400000,55.237,71.000,52.880,66.989,2987176.4,187197282.4323
1605052800000,66.942,69.100,53.458,54.523,2794269.3,165597594.8419
1605139200000,54.598,59.950,50.500,51.854,2076670.8,114541889.5949
1605225600000,51.936,66.333,51.176,63.551,2553132.5,155543336.0637
1605312000000,63.536,68.980,57.818,66.796,1702080.7,106679325.9971
1605398400000,66.849,71.250,59.350,64.244,1659104.6,110459132.5964
1605484800000,64.262,74.637,60.900,73.052,1697466.0,116452225.3784
1605571200000,73.045,80.320,68.750,79.463,1326453.1,97964287.5398
1605657600000,79.493,80.562,67.200,75.395,1381302.9,102268826.6786
1605744000000,75.398,81.739,70.320,76.429,1277425.2,97032417.2636
1605830400000,76.425,83.016,74.500,75.134,960583.7,75335733.4519
1605916800000,75.187,77.450,68.015,70.838,907105.2,66790584.7674
1606003200000,70.840,75.140,63.000,68.899,965137.5,66570212.3851
1606089600000,68.879,74.442,65.733,72.671,764335.7,54137036.9732
1606176000000,72.737,75.880,66.230,66.843,776510.8,54727898.4243
1606262400000,66.896,68.033,59.208,61.670,619501.1,39980793.1479
1606348800000,61.712,65.326,47.343,64.339,1906559.6,110564347.2658
1606435200000,64.393,69.310,56.153,60.843,830538.4,51992761.3724
1606521600000,60.897,66.406,58.786,63.795,407067.1,25435473.7770
1606608000000,63.827,69.900,61.646,68.978,471829.4,31153322.0111
1606694400000,68.991,80.000,68.984,76.146,1213232.6,91566686.2059
1606780800000,76.197,79.236,69.000,74.215,913118.6,68681415.9291
1606867200000,74.126,91.041,71.752,86.714,1193600.8,99634059.4040
1606953600000,86.674,94.490,83.000,91.640,1002878.7,89051121.1398
1607040000000,91.656,92.954,79.210,80.843,794550.2,69079085.1416
1607126400000,80.774,92.900,79.500,92.770,581951.5,50760231.7982
1607212800000,92.715,93.154,84.650,87.920,431619.5,37949393.2737
1607299200000,87.956,95.619,86.778,90.815,773110.6,71173821.1343
1607385600000,90.833,91.311,77.995,80.198,895814.4,76434854.7805
1607472000000,80.186,86.500,75.030,82.560,802766.7,65250855.0725
1607558400000,82.561,83.090,75.766,76.542,527906.1,41753606.5081
1607644800000,76.612,79.000,70.724,74.792,749903.5,55673564.3182
1607731200000,74.814,80.300,74.628,77.859,492617.8,38523549.8257
1607817600000,77.856,85.000,76.648,83.960,454933.9,37192512.3427
1607904000000,83.908,91.974,79.828,86.423,753021.6,64140022.1760
1607990400000,86.511,89.105,84.300,87.150,596280.8,51832686.8449
1608076800000,87.188,89.940,80.159,87.618,779265.5,66343821.5914
1608163200000,87.589,90.627,82.869,85.077,693440.8,59905810.9783
1608249600000,85.093,90.557,81.807,90.435,430320.3,36899849.7983
1608336000000,90.484,96.463,88.017,89.093,740578.4,68440891.6240
1608422400000,89.043,90.285,83.766,85.767,573747.9,49885174.3278
1608508800000,85.782,88.101,77.523,80.842,436955.5,35934117.6470
1608595200000,80.860,86.321,75.628,84.345,469667.7,38274962.4417
1608681600000,84.348,84.538,62.748,75.431,647771.9,49110486.1826
1608768000000,75.428,80.579,71.020,80.562,519317.6,39239409.5178
1608854400000,80.558,82.000,75.964,79.742,300530.6,23644948.0988
1608940800000,79.743,80.064,73.808,75.212,260191.6,19997876.9286
1609027200000,75.180,82.100,72.730,76.919,435249.2,33667050.6856
1609113600000,76.944,86.148,76.160,81.887,368776.9,30450908.7028
1609200000000,81.931,83.200,75.007,78.169,246245.7,19287927.4545
1609286400000,78.217,85.670,77.322,81.117,375468.0,30872146.6324
1609372800000,81.135,88.801,78.341,88.503,371053.0,31293694.2436
1609459200000,88.581,91.000,84.652,90.909,368132.6,32360814.1630
1609545600000,90.940,92.200,82.573,85.888,350675.1,30192376.5866
1609632000000,85.911,95.680,81.338,94.185,490412.4,43679148.9712
1609718400000,94.183,115.590,85.932,114.322,1108493.1,113647018.0448
1609804800000,114.344,124.279,98.653,119.800,843809.1,95516361.3370
1609891200000,119.866,121.023,107.856,115.719,485974.6,56106610.9642
1609977600000,115.816,131.000,107.000,115.235,726395.4,86455380.6565
1610064000000,115.339,120.040,100.240,110.686,523636.3,57956243.9744
1610150400000,110.795,119.548,106.062,117.674,346692.4,39411942.2585
1610236800000,117.802,137.000,111.072,126.987,684657.4,85679606.7259
1610323200000,126.980,127.609,94.000,114.329,901316.6,99306738.2426
1610409600000,114.368,136.146,109.109,127.740,639823.6,79196652.7587
1610496000000,127.747,147.989,120.128,146.778,703756.9,96312121.1200
1610582400000,146.781,154.911,139.321,147.766,388745.4,56828046.3088
1610668800000,147.935,168.685,139.900,166.525,516672.7,79897223.9298
1610755200000,166.534,203.940,166.368,181.145,759378.8,142242686.0383
1610841600000,181.324,199.322,174.475,186.482,502759.5,95097816.1837
