open_time_ms,open,high,low,close,volume,quote_volume
1699488000000,3.973000,5.481000,3.519000,5.150000,54565456,259807608.713000
1699574400000,5.152000,5.760000,4.049000,4.484000,35885806,168776748.675000
1699660800000,4.485000,4.645000,3.849000,4.268000,16576031,70057633.950000
1699747200000,4.268000,4.509000,3.913000,4.115000,8757688,36527076.424000
1699833600000,4.115000,4.249000,3.520000,3.768000,10337317,39730412.495000
1699920000000,3.769000,3.835000,3.403000,3.619000,7599491,27820732.067000
1700006400000,3.620000,3.846000,3.615000,3.843000,5720778,21361394.738000
1700092800000,3.843000,4.304000,3.704000,3.834000,13528536,54039158.431000
1700179200000,3.834000,4.024000,3.506000,3.654000,5955016,22213133.932000
1700265600000,3.654000,3.682000,3.302000,3.468000,4506481,15660672.969000
1700352000000,3.468000,3.652000,3.356000,3.620000,2908072,10169505.496000
1700438400000,3.621000,3.804000,3.518000,3.676000,5324725,19533089.340000
1700524800000,3.676000,3.953000,3.200000,3.233000,8165523,29530866.128000
1700611200000,3.236000,3.577000,3.219000,3.548000,3099939,10604453.779000
1700697600000,3.549000,3.799000,3.513000,3.763000,4413847,16113239.259000
1700784000000,3.763000,3.864000,3.577000,3.616000,3949613,14735070.432000
1700870400000,3.618000,3.735000,3.593000,3.729000,2245642,8249726.720000
1700956800000,3.729000,3.935000,3.517000,3.600000,5507815,20640086.566000
1701043200000,3.601000,3.634000,3.375000,3.473000,4397844,15395020.644000
1701129600000,3.474000,3.601000,3.373000,3.565000,2471626,8654163.078000
1701216000000,3.564000,3.862000,3.537000,3.632000,6941174,25663527.294000
1701302400000,3.632000,3.649000,3.499000,3.563000,1696524,6052850.360000
1701388800000,3.563000,3.765000,3.544000,3.723000,2624285,9646086.919000
1701475200000,3.724000,4.357000,3.710000,4.209000,18586829,76468777.328000
1701561600000,4.209000,4.380000,3.968000,4.168000,6698228,27678551.661000
1701648000000,4.169000,5.210000,3.913000,4.872000,29452782,139630462.363000
1701734400000,4.871000,5.711000,4.367000,5.393000,16477501,82520171.674000
1701820800000,5.393000,5.700000,4.517000,4.621000,12783250,63368503.770000
1701907200000,4.621000,4.740000,4.352000,4.521000,5986633,27106855.012000
1701993600000,4.522000,4.619000,4.383000,4.596000,4253963,19187149.451000
1702080000000,4.597000,4.672000,4.219000,4.299000,4550617,20440404.521000
1702166400000,4.301000,4.420000,4.201000,4.356000,2443249,10551977.422000
1702252800000,4.358000,4.378000,3.264000,3.894000,5978506,23219233.793000
1702339200000,3.893000,4.116000,3.667000,3.783000,5012474,19533078.735000
1702425600000,3.784000,3.974000,3.563000,3.908000,3846552,14394157.412000
1702512000000,3.908000,4.061000,3.658000,3.949000,4588057,18001383.803000
1702598400000,3.950000,4.018000,3.600000,3.632000,3346331,12761632.540000
1702684800000,3.633000,3.856000,3.582000,3.771000,2068777,7761560.447000
1702771200000,3.769000,3.926000,3.686000,3.757000,3605623,13741470.997000
1702857600000,3.757000,3.810000,3.362000,3.729000,3609544,12899089.790000
1702944000000,3.728000,3.972000,3.694000,3.763000,3503038,13459062.204000
1703030400000,3.764000,4.244000,3.737000,4.190000,5541804,22339127.826000
1703116800000,4.192000,4.273000,3.853000,4.031000,3763924,15155525.673000
1703203200000,4.032000,4.141000,3.963000,4.122000,2965300,12020860.102000
1703289600000,4.122000,4.287000,3.976000,4.247000,3346881,13858212.763000
1703376000000,4.246000,4.337000,4.004000,4.105000,2774386,11632876.751000
1703462400000,4.107000,4.472000,4.044000,4.378000,4147580,17883027.026000
1703548800000,4.379000,4.640000,4.058000,4.561000,6675182,29482285.629000
1703635200000,4.563000,4.612000,4.261000,4.357000,3863598,16987800.647000
1703721600000,4.360000,4.466000,3.943000,4.015000,3504006,14635564.583000
1703808000000,4.015000,4.517000,3.894000,4.289000,5993176,25420677.173000
1703894400000,4.289000,4.574000,4.060000,4.108000,6020019,25820379.782000
1703980800000,4.108000,4.160000,3.851000,3.976000,2347861,9534816.615000
1704067200000,3.976000,4.217000,3.887000,4.210000,1890861,7634721.746000
1704153600000,4.211000,4.665000,4.200000,4.277000,6859077,30417267.048000
1704240000000,4.276000,4.509000,3.034000,3.672000,7051151,27749527.462000
1704326400000,3.671000,3.802000,3.591000,3.724000,2349065,8683454.254000
1704412800000,3.725000,3.757000,3.448000,3.664000,2685113,9650031.935000
1704499200000,3.665000,3.668000,3.358000,3.540000,1852018,6494944.290000
