open_time_ms,open,high,low,close,volume,quote_volume
1780272000000,9.38000,10.28000,9.20000,10.03000,561584.74,5450081.5624000
1780358400000,10.03000,12.37000,9.34000,11.16000,882062.66,9393920.9694000
1780444800000,11.17000,12.09000,8.93000,9.21000,2636007.63,27822307.3991000
1780531200000,9.21000,10.93000,8.78000,10.11000,1638574.22,16134131.5856000
1780617600000,10.11000,10.34000,9.01000,9.16000,1048275.38,10204269.7326000
1780704000000,9.17000,9.79000,8.77000,9.64000,377276.51,3460681.3443000
1780790400000,9.64000,9.80000,8.89000,9.18000,335873.98,3165068.8168000
1780876800000,9.19000,9.91000,9.00000,9.21000,502401.74,4765483.6479000
1780963200000,9.22000,9.47000,8.18000,8.67000,568691.60,5037878.3096000
1781049600000,8.67000,9.30000,8.34000,8.65000,493614.18,4346811.2280000
1781136000000,8.66000,9.44000,8.58000,9.44000,329689.45,2971474.0975000
1781222400000,9.43000,9.50000,9.05000,9.21000,225843.89,2090008.6070000
1781308800000,9.20000,9.42000,9.13000,9.25000,27698.51,256813.3836000
1781395200000,9.24000,9.60000,9.24000,9.54000,42391.04,399792.6524000
1781481600000,9.52000,9.68000,9.15000,9.19000,209626.67,1988597.5483000
1781568000000,9.19000,9.36000,8.96000,9.15000,205699.26,1879654.3323000
1781654400000,9.15000,9.39000,8.85000,8.97000,216389.06,1987075.0275000
1781740800000,8.96000,9.08000,8.21000,8.36000,279056.72,2403685.9382000
1781827200000,8.36000,8.38000,8.22000,8.31000,69742.59,578324.2313000
1781913600000,8.34000,8.72000,8.31000,8.58000,104658.01,893657.8348000
1782000000000,8.59000,8.78000,8.51000,8.54000,77551.95,672736.2647000
1782086400000,8.52000,9.21000,8.33000,8.85000,479981.35,4236487.6450000
1782172800000,8.86000,8.99000,8.22000,8.84000,622711.15,5397425.8617000
1782259200000,8.85000,9.60000,8.57000,9.53000,712821.38,6473002.1647000
1782345600000,9.53000,10.67000,8.48000,10.39000,1713710.95,16927423.6926000
1782432000000,10.39000,11.62000,9.74000,11.43000,1006621.10,10788741.5577000
1782518400000,11.42000,11.61000,11.17000,11.30000,132969.81,1510353.5464000
1782604800000,11.30000,11.97000,11.24000,11.79000,196617.19,2274113.5686000
1782691200000,11.80000,12.62000,10.95000,12.56000,831670.76,9833613.3973000
1782777600000,12.55000,12.95000,12.11000,12.60000,511760.07,6384114.7012000
1782864000000,12.60000,13.61000,12.19000,12.63000,696347.49,8967747.8933000
1782950400000,12.63000,13.05000,11.24000,11.35000,747461.01,9010251.5569000
1783036800000,11.35000,11.99000,11.26000,11.43000,183221.31,2126384.5929000
1783123200000,11.42000,11.87000,11.33000,11.72000,91910.32,1068514.6596000
1783209600000,11.72000,12.00000,11.66000,11.75000,90856.01,1074135.6883000
1783296000000,11.75000,12.08000,11.18000,11.28000,387389.37,4468695.5539000
1783382400000,11.29000,11.52000,10.64000,10.88000,433082.11,4797302.2771000
1783468800000,10.88000,11.20000,10.30000,11.14000,344976.79,3732919.0024000
1783555200000,11.15000,11.68000,11.01000,11.41000,225068.16,2567134.0438000
1783641600000,11.42000,11.52000,10.87000,10.93000,235578.82,2625699.1792000
1783728000000,10.91000,11.08000,10.84000,10.96000,29779.14,326491.9833000
1783814400000,10.95000,11.01000,10.80000,10.96000,16635.25,181459.4378000
1783900800000,10.96000,11.04000,10.33000,10.61000,247534.87,2657422.6154000
1783987200000,10.60000,11.43000,10.48000,11.14000,263786.44,2892608.8177000
1784073600000,11.14000,11.24000,10.41000,10.63000,187207.67,2027802.3601000
1784160000000,10.63000,10.80000,9.05000,9.08000,341190.13,3305057.2658000
1784246400000,9.07000,9.26000,8.74000,8.94000,333013.15,2991874.2141000
1784332800000,8.94000,8.94000,8.50000,8.67000,66483.17,577767.8075000
1784419200000,8.68000,8.79000,8.56000,8.79000,72161.90,625404.1268000
1784505600000,8.79000,9.23000,8.75000,8.78000,316609.16,2819428.1984000
1784592000000,8.78000,9.21000,8.77000,9.19000,293363.09,2627464.9787000
1784678400000,9.18000,9.20000,8.73000,8.93000,189055.68,1693150.6173000
1784764800000,8.93000,9.02000,8.37000,8.59000,372288.33,3243786.9662000
1784851200000,8.59000,8.76000,8.38000,8.53000,172388.98,1483250.6832000
1784937600000,8.54000,8.57000,8.46000,8.54000,13068.52,111316.9477000
1785024000000,8.54000,8.70000,8.53000,8.70000,16514.02,141857.3739000
1785110400000,8.69000,8.84000,8.24000,8.37000,265851.26,2265061.3492000
1785196800000,8.36000,8.38000,7.73000,8.06000,296743.06,2397589.8806000
1785283200000,8.06000,8.30000,7.57000,7.81000,253807.43,2017524.9746000
1785369600000,7.82000,8.87000,7.77000,8.73000,465056.49,3850141.2524000
1785456000000,8.72000,8.83000,8.37000,8.45000,298637.80,2568377.5177000
1785542400000,8.45000,8.50000,8.34000,8.41000,11132.17,93697.7891000
1785628800000,8.41000,8.64000,8.39000,8.45000,24369.98,207053.1503000
1785715200000,8.45000,8.68000,8.24000,8.54000,216640.56,1833517.3596000
1785801600000,8.54000,8.94000,8.49000,8.88000,151315.52,1324787.0424000
1785888000000,8.89000,9.10000,8.60000,8.63000,141783.76,1259456.4315000
1785974400000,8.62000,9.01000,8.43000,8.81000,147393.91,1290521.1576000
1786060800000,8.81000,9.33000,8.72000,9.01000,155786.42,1405188.5406000
1786147200000,9.01000,9.37000,9.00000,9.12000,55398.41,509293.6566000
1786233600000,9.12000,9.18000,9.09000,9.10000,7912.50,72249.9969000
1786320000000,9.10000,9.14000,8.83000,8.88000,143878.91,1294558.1724000
1786406400000,8.88000,9.36000,8.80000,9.01000,178855.39,1627109.7972000
1786492800000,9.01000,9.25000,8.75000,8.85000,227940.23,2052507.4952000
1786579200000,8.85000,9.09000,8.76000,8.99000,181528.84,1615492.5505000
1786665600000,8.99000,9.11000,8.80000,8.90000,133417.60,1194164.4546000
1786752000000,8.90000,8.92000,8.84000,8.85000,27321.15,242646.5978000
1786838400000,8.85000,8.89000,8.81000,8.85000,30956.22,274260.1485000
1786924800000,8.85000,9.03000,8.61000,8.70000,217725.44,1910952.2972000
1787011200000,8.70000,8.76000,8.37000,8.56000,169983.66,1453629.0223000
1787097600000,8.57000,8.66000,8.18000,8.40000,167531.39,1414113.4737000
1787184000000,8.40000,8.55000,8.11000,8.15000,231075.92,1926606.8602000
1787270400000,8.15000,8.35000,7.95000,8.04000,253046.61,2071053.7743000
1787356800000,8.05000,8.11000,7.76000,7.87000,61961.64,490736.5745000
1787443200000,7.88000,8.01000,7.87000,7.93000,47119.82,374823.2367000
1787529600000,7.93000,8.17000,7.61000,7.67200,439537.22,3454372.3515100
1787616000000,7.67500,7.96300,7.60100,7.79900,354911.36,2773332.0201800
1787702400000,7.79900,7.90000,7.67100,7.85700,321538.71,2501453.7636000
1787788800000,7.85800,8.76800,7.79000,8.71100,380939.96,3145050.7398700
1787875200000,8.70600,8.83000,8.09000,8.15500,453450.73,3836348.2862200
1787961600000,8.15600,8.39200,8.12500,8.32700,92812.50,769416.2254200
1788048000000,8.32700,8.33200,8.21000,8.21200,56760.15,470327.5257400
1788134400000,8.21200,8.33700,8.00300,8.14900,310424.40,2525100.7480600
