open_time_ms,open,high,low,close,volume,quote_volume
1736208000000,0.6386000,0.7052000,0.5600000,0.6287000,165437360,106682618.7784000
1736294400000,0.6288000,0.6600000,0.4782000,0.5142000,158644721,89359876.0177000
1736380800000,0.5141000,0.5441000,0.4386000,0.4563000,144341221,69357457.5798000
1736467200000,0.4563000,0.8522000,0.4429000,0.5811000,528069192,332084787.4301000
1736553600000,0.5806000,0.5860000,0.4901000,0.5120000,206486574,108881688.8421000
1736640000000,0.5121000,0.5173000,0.4609000,0.4665000,130945065,64857674.0760000
1736726400000,0.4665000,0.4800000,0.3927000,0.4734000,274884073,116512841.3484000
1736812800000,0.4733000,0.5772000,0.4477000,0.5388000,398598426,201096428.6873000
1736899200000,0.5387000,0.6459000,0.5209000,0.5921000,395218350,226224692.4116000
1736985600000,0.5921000,0.6206000,0.5109000,0.5182000,202720230,116519802.8012000
1737072000000,0.5181000,0.5434000,0.4932000,0.4939000,128722336,66419585.8206000
1737158400000,0.4940000,0.5009000,0.4148000,0.4396000,131507147,58401879.6828000
1737244800000,0.4395000,0.4794000,0.3491000,0.3612000,265428746,109339718.0827000
1737331200000,0.3612000,0.3929000,0.3333000,0.3841000,230196993,83230340.7071000
1737417600000,0.3841000,0.3989000,0.3322000,0.3595000,149865376,53720258.6296000
1737504000000,0.3596000,0.4598000,0.3539000,0.3985000,272361352,113271331.4920000
1737590400000,0.3986000,0.4198000,0.3683000,0.3960000,166202834,65398156.0499000
1737676800000,0.3960000,0.4148000,0.3400000,0.3420000,125609109,48277789.2481000
1737763200000,0.3421000,0.3700000,0.3229000,0.3362000,135859182,45832811.5442000
1737849600000,0.3361000,0.3450000,0.3042000,0.3054000,92760633,30184187.1735000
1737936000000,0.3053000,0.3055000,0.2605000,0.2936000,137984441,38939979.8269000
1738022400000,0.2935000,0.2974000,0.2460000,0.2489000,83581193,22776373.8791000
1738108800000,0.2489000,0.2857000,0.2468000,0.2654000,103152654,27091718.5337000
1738195200000,0.2655000,0.2826000,0.2559000,0.2564000,93163789,25230246.9321000
1738281600000,0.2564000,0.2745000,0.2482000,0.2621000,86456142,22446043.4069000
1738368000000,0.2621000,0.2755000,0.2084000,0.2112000,162329042,38813236.2163000
1738454400000,0.2112000,0.2209000,0.1787000,0.1969000,162461541,32895474.8251000
1738540800000,0.1970000,0.2266000,0.1363000,0.2195000,236365998,42239373.2907000
1738627200000,0.2194000,0.2263000,0.1838000,0.1898000,351429057,73015762.9494000
1738713600000,0.1899000,0.1984000,0.1736000,0.1801000,148235601,27799437.6757000
1738800000000,0.1800000,0.1839000,0.1545000,0.1575000,144572779,24192921.8034000
1738886400000,0.1575000,0.1828000,0.1501000,0.1553000,147196717,24264564.7809000
1738972800000,0.1552000,0.1725000,0.1511000,0.1686000,110128268,17699705.9190000
1739059200000,0.1687000,0.1746000,0.1511000,0.1618000,110797069,18175361.0416000
1739145600000,0.1617000,0.2776000,0.1543000,0.2304000,2227179721,509014706.4825000
1739232000000,0.2304000,0.2614000,0.2111000,0.2140000,995553442,234994867.6939000
1739318400000,0.2140000,0.2152000,0.1874000,0.2052000,597667079,120594791.2966000
1739404800000,0.2052000,0.2320000,0.1960000,0.2034000,452545017,96623353.1597000
1739491200000,0.2035000,0.2136000,0.1920000,0.2050000,232955778,46905366.8086000
1739577600000,0.2051000,0.2096000,0.1854000,0.1903000,128875878,25150216.5027000
1739664000000,0.1902000,0.2192000,0.1861000,0.2133000,357746318,74381299.9420000
1739750400000,0.2133000,0.2274000,0.1872000,0.1928000,265056612,54379106.1591000
1739836800000,0.1928000,0.1942000,0.1721000,0.1796000,193071069,35069653.9462000
1739923200000,0.1797000,0.1944000,0.1770000,0.1933000,120083522,22503222.2945000
1740009600000,0.1934000,0.2194000,0.1919000,0.2169000,242506166,49836776.3778000
1740096000000,0.2168000,0.2554000,0.2084000,0.2174000,321041877,74336879.7460000
1740182400000,0.2175000,0.2467000,0.2129000,0.2312000,167605033,38685564.9689000
1740268800000,0.2312000,0.2315000,0.2055000,0.2101000,125808191,27120066.6759000
1740355200000,0.2101000,0.2146000,0.1762000,0.1795000,143471009,28389066.1455000
1740441600000,0.1795000,0.1951000,0.1666000,0.1863000,192516729,35247171.9229000
1740528000000,0.1864000,0.2250000,0.1789000,0.2141000,307495196,60379231.9967000
1740614400000,0.2142000,0.2500000,0.2072000,0.2187000,470990170,107784214.5935000
1740700800000,0.2187000,0.2405000,0.2039000,0.2327000,260000698,57079275.3753000
1740787200000,0.2327000,0.2349000,0.2018000,0.2091000,132818938,28425311.4965000
