open_time_ms,open,high,low,close,volume,quote_volume
1644451200000,8.220,8.590,7.667,7.966,3610297.9,29469042.6615
1644537600000,7.959,8.006,6.901,7.135,2148965.3,16266379.9385
1644624000000,7.135,7.609,6.937,7.372,2216649.9,16273758.0686
1644710400000,7.372,7.595,6.763,7.073,1755881.7,12717292.5691
1644796800000,7.070,7.152,6.652,6.929,1532875.0,10504873.9940
1644883200000,6.929,7.479,6.816,7.433,1416315.6,10124935.6816
1644969600000,7.433,7.738,6.979,7.323,2230572.8,16314898.7438
1645056000000,7.315,7.422,6.281,6.501,2385503.9,16396166.4075
1645142400000,6.503,6.717,6.200,6.361,1516937.8,9821480.9714
1645228800000,6.351,6.449,5.980,6.193,1114011.6,6916034.0144
1645315200000,6.193,6.212,5.620,5.734,1433438.3,8333029.5876
1645401600000,5.734,6.039,5.161,5.214,2337421.9,13220400.0593
1645488000000,5.214,5.560,5.035,5.520,2268554.3,12085440.7326
1645574400000,5.524,5.881,5.369,5.392,2115635.1,11835993.5004
1645660800000,5.394,5.507,4.620,5.435,4459314.0,22459695.4588
1645747200000,5.436,5.739,5.225,5.686,2627750.5,14401203.3469
1646092800000,6.361,6.862,6.277,6.675,6329664.4,41795999.2326
1646179200000,6.674,6.708,6.299,6.405,4209564.8,27350664.6137
1646265600000,6.406,6.452,5.863,6.033,3371765.2,20755613.5711
1646352000000,6.035,6.249,5.613,5.654,4245107.7,25174665.5742
1646438400000,5.654,5.992,5.491,5.830,6805461.6,39639925.4096
1646524800000,5.828,5.938,5.536,5.597,4278991.5,24440606.3160
1646611200000,5.597,5.944,5.450,5.643,5864469.5,33300248.1759
1646697600000,5.641,5.910,5.612,5.767,2935895.9,16899004.1205
1646784000000,5.772,6.123,5.728,6.046,3076087.8,18369839.2581
1646870400000,6.046,6.152,5.493,5.785,5483244.7,31771119.5379
1646956800000,5.785,5.812,5.516,5.634,3287798.1,18563549.1861
1647043200000,5.634,5.735,5.537,5.569,1773256.9,9994614.4095
1647129600000,5.569,5.640,5.277,5.303,2457305.2,13464570.0653
1647216000000,5.302,5.455,5.183,5.371,3050898.7,16221364.3351
1647302400000,5.370,5.383,5.126,5.275,2511147.8,13152607.0071
1647388800000,5.274,5.536,5.188,5.514,3666208.7,19550122.6640
1647475200000,5.514,5.786,5.464,5.625,4891860.6,27495247.0527
1647561600000,5.624,5.764,5.433,5.665,3591859.8,20060384.7502
1647648000000,5.665,5.941,5.651,5.855,5304884.6,30865771.4028
1647734400000,5.853,6.257,5.717,5.850,11942186.1,71597702.5041
1647820800000,5.848,6.373,5.848,6.016,12059444.7,73834003.4477
1647907200000,6.016,6.299,5.998,6.140,5375427.0,33108665.4027
1647993600000,6.140,6.294,5.956,6.265,4336569.1,26455375.6051
1648080000000,6.264,6.552,6.166,6.490,6973873.6,44414608.2987
1648166400000,6.487,6.642,6.248,6.319,5138184.9,33080567.9030
1648252800000,6.320,6.666,6.316,6.607,4546360.2,29711908.5494
1648339200000,6.608,6.861,6.362,6.837,4914837.7,32497156.1391
1648425600000,6.836,7.245,6.735,6.820,7540538.5,52698492.0305
1648512000000,6.821,7.666,6.801,7.091,11445730.0,82097013.8355
1648598400000,7.088,7.267,6.737,7.157,6063814.7,42776827.0558
1648684800000,7.156,7.338,6.656,6.821,6094251.8,42824334.5177
1648944000000,7.802,7.816,7.251,7.475,7229637.6,54150338.1078
1649030400000,7.476,7.479,6.818,7.258,6063064.0,43618142.1082
1649116800000,7.257,7.621,7.131,7.373,7875800.6,58327578.8759
1649203200000,7.375,7.452,6.332,6.396,6937673.6,47307682.1091
1649289600000,6.390,6.622,6.169,6.509,5013452.0,32214136.6458
1649376000000,6.506,6.658,6.055,6.125,4295089.6,27598853.7317
1649462400000,6.124,6.286,6.020,6.236,2694592.2,16637125.0078
1649548800000,6.240,6.389,6.036,6.056,3718898.5,22937315.7208
1649635200000,6.057,6.255,5.319,5.394,6224484.3,35676020.9900
1649721600000,5.396,5.829,5.350,5.688,6010414.9,33807573.6714
1649808000000,5.693,5.977,5.562,5.906,5067995.9,29286074.3163
1649894400000,5.909,6.221,5.684,5.791,5918459.7,35201867.1955
1649980800000,5.790,5.990,5.724,5.891,4912922.8,28807498.7985
1650067200000,5.893,5.959,5.712,5.828,2592391.7,15118440.7171
1650153600000,5.828,5.849,5.545,5.576,2217302.1,12769797.8918
1650240000000,5.575,5.806,5.260,5.783,6955068.0,38651932.0418
1650326400000,5.783,6.063,5.744,6.032,4172591.3,24571506.3833
1650412800000,6.033,6.039,5.739,5.831,3578358.4,21116680.9518
1650499200000,5.827,5.993,5.530,5.665,4792165.3,27905261.9871
1650585600000,5.663,5.791,5.537,5.618,3635364.5,20626122.8170
1650672000000,5.619,5.681,5.471,5.543,2774958.8,15522593.6831
1650758400000,5.545,5.701,5.400,5.474,4059872.7,22467968.6174
1650844800000,5.474,5.508,5.116,5.496,5626678.2,29870986.5486
1650931200000,5.497,5.613,5.060,5.170,6870514.1,37102280.5747
1651017600000,5.168,5.321,5.092,5.272,4160369.6,21779248.6503
1651104000000,5.272,5.395,5.121,5.226,4502133.7,23619486.7922
1651190400000,5.226,5.319,4.802,4.927,4756374.0,24100529.7706
1651276800000,4.924,4.957,4.280,4.470,6125405.2,28806626.6748
1651363200000,4.468,4.847,4.347,4.748,6234533.1,28859586.0262
1651449600000,4.747,4.787,4.398,4.638,6230993.5,28703814.9037
1651536000000,4.638,4.714,4.481,4.576,4823896.1,22178900.4798
1651622400000,4.576,5.178,4.552,5.119,7150632.2,34431495.2020
1651708800000,5.119,5.210,4.424,4.557,7885860.2,37855829.3694
1651795200000,4.557,4.578,4.264,4.496,9111303.6,40316943.6902
1651881600000,4.496,4.570,4.231,4.400,8470001.2,37477230.3418
1651968000000,4.402,4.436,4.170,4.275,9154952.5,39136174.8226
1652054400000,4.275,4.382,3.366,3.421,13229127.7,50787440.6280
1652140800000,3.419,4.571,3.208,3.865,55947830.1,225755237.7524
1652227200000,3.863,4.395,2.742,3.035,62263809.1,227927697.4025
1652313600000,3.035,3.255,2.274,2.710,38426691.5,103265362.3510
1652400000000,2.711,3.155,2.635,2.894,12437855.4,37040338.7147
1652486400000,2.893,3.072,2.675,2.993,8472184.3,24185533.4968
1652572800000,2.992,3.098,2.821,3.096,6484977.2,18976614.2653
1652659200000,3.096,3.096,2.737,2.828,7796084.3,22355567.1045
1652745600000,2.829,3.143,2.792,2.977,13461350.9,39839753.1651
1652832000000,2.976,3.067,2.697,2.872,34792210.3,100545503.0190
1652918400000,2.872,3.014,2.665,2.932,21835127.8,62070624.0455
1653004800000,2.933,2.997,2.685,2.759,10787024.7,30573831.2862
1653091200000,2.759,2.845,2.700,2.810,7375856.3,20429045.4580
1653177600000,2.811,2.912,2.758,2.882,6055466.1,17218901.7508
1653264000000,2.881,2.991,2.672,2.733,10340893.3,29816836.2644
1653350400000,2.732,2.804,2.538,2.756,11206741.3,30268420.9476
1653436800000,2.756,2.783,2.622,2.683,8673614.9,23319307.4376
1653523200000,2.684,2.766,2.372,2.475,12080951.8,30787429.8271
1653609600000,2.473,2.522,2.303,2.361,13648234.9,32636034.7811
1653696000000,2.360,2.428,2.312,2.402,7112007.3,16921576.4597
1653782400000,2.402,2.439,2.319,2.430,6525350.8,15538285.6597
1653868800000,2.431,2.724,2.400,2.683,10931221.6,28195299.6203
1653955200000,2.682,2.925,2.646,2.710,15019851.8,41509420.7884
1654041600000,2.711,2.718,2.384,2.482,11141449.1,28961722.8654
1654128000000,2.482,2.557,2.400,2.550,7795512.0,19281954.2764
1654214400000,2.551,2.553,2.384,2.416,6928788.3,16949789.2407
1654300800000,2.418,2.493,2.409,2.477,7546739.0,18502189.6718
1654387200000,2.476,2.488,2.412,2.435,4917105.2,12037262.7775
1654473600000,2.434,2.595,2.421,2.503,7076403.1,17739814.8089
1654560000000,2.502,2.514,2.320,2.429,7962283.3,19103858.4456
1654646400000,2.429,2.517,2.360,2.388,10444584.9,25318352.0632
1654732800000,2.388,2.434,2.359,2.386,5007830.8,12007666.9606
1654819200000,2.385,2.485,2.247,2.282,11394409.5,26935123.6753
1654905600000,2.283,2.339,2.038,2.065,12386046.8,26724097.5011
1654992000000,2.065,2.082,1.789,1.793,22073415.8,41693030.2150
1655078400000,1.792,1.818,1.507,1.590,32641130.5,52856505.8890
1655164800000,1.590,1.646,1.401,1.593,30565654.5,47460703.3735
1655251200000,1.594,1.681,1.403,1.679,28638509.4,43019759.6907
1655337600000,1.679,1.698,1.368,1.397,16224008.4,24626294.3127
1655424000000,1.397,1.459,1.370,1.393,16533682.3,23431983.4171
1655510400000,1.394,1.417,1.158,1.264,22207790.7,28306827.3465
1655596800000,1.264,1.388,1.213,1.373,15176604.4,19636010.9718
1655683200000,1.373,1.471,1.314,1.415,15431251.5,21634050.0357
1655769600000,1.416,1.549,1.391,1.468,13195739.9,19490358.7362
1655856000000,1.468,1.520,1.406,1.454,14676557.2,21480093.1150
1655942400000,1.455,1.627,1.453,1.606,24070518.9,37647489.4050
1656028800000,1.606,1.740,1.586,1.702,14738403.9,24291456.4302
1656115200000,1.703,1.804,1.657,1.791,17478325.3,30073349.2704
1656201600000,1.791,1.802,1.625,1.633,15149669.9,26207486.4587
1656288000000,1.633,1.761,1.626,1.688,17198652.3,29058124.8950
1656374400000,1.688,1.813,1.610,1.614,26014239.5,45367162.3371
1656460800000,1.613,1.699,1.524,1.564,23887832.0,38382886.2684
1656547200000,1.564,1.570,1.389,1.508,19491747.5,28339335.4148
1656633600000,1.508,1.556,1.431,1.460,15199149.6,22565248.5355
1656720000000,1.460,1.566,1.443,1.532,10682937.7,16052377.2276
1656806400000,1.532,1.584,1.482,1.546,9649775.4,14808172.9812
1656892800000,1.546,1.612,1.490,1.605,9964776.8,15450661.3982
1656979200000,1.605,1.672,1.539,1.604,14013930.3,22462793.4721
1657065600000,1.604,1.618,1.546,1.597,12175816.0,19226903.4605
1657152000000,1.597,1.676,1.570,1.664,8089268.6,13098614.2511
1657238400000,1.665,1.725,1.589,1.643,9354886.5,15386186.3583
1657324800000,1.642,1.724,1.638,1.698,6466475.1,10827720.9840
1657411200000,1.698,1.698,1.601,1.644,7222481.9,11920342.7267
1657497600000,1.643,1.644,1.501,1.506,8798674.7,13847600.9321
1657584000000,1.506,1.520,1.423,1.429,7392025.1,10965322.6528
1657670400000,1.429,1.519,1.370,1.513,10069693.0,14634310.2310
1657756800000,1.513,1.561,1.436,1.561,9950560.9,14885702.3585
1657843200000,1.560,1.601,1.530,1.542,8519575.7,13272961.3970
1657929600000,1.541,1.605,1.508,1.602,5522231.7,8590571.0771
1658016000000,1.602,1.629,1.558,1.572,7064813.8,11227447.9254
1658102400000,1.571,1.721,1.566,1.683,13407066.6,22236274.7249
1658188800000,1.683,1.968,1.655,1.921,44865204.3,82027490.3009
1658275200000,1.921,2.120,1.790,1.861,61662967.8,122872726.3258
1658361600000,1.861,1.894,1.749,1.876,20991209.9,38152539.5481
1658448000000,1.877,2.010,1.812,1.838,21221909.6,40721840.8510
1658534400000,1.838,1.909,1.755,1.846,10476250.3,19278853.8981
1658620800000,1.846,1.937,1.817,1.828,11052673.4,20633069.8786
1658707200000,1.828,1.853,1.616,1.620,14666279.2,25148079.9218
1658793600000,1.619,1.623,1.515,1.593,13335821.9,20950295.6831
1658880000000,1.592,1.777,1.550,1.768,27421389.2,45809649.2142
1658966400000,1.769,1.964,1.732,1.874,18843451.0,34477600.8599
1659052800000,1.873,1.965,1.817,1.859,18292606.5,34594854.3096
1659139200000,1.860,2.052,1.859,1.922,18778897.1,36869830.1356
1659225600000,1.922,2.092,1.903,1.926,14417992.0,28716039.7116
1659312000000,1.925,2.136,1.903,2.023,17459847.4,34932346.6750
1659398400000,2.024,2.070,1.806,1.872,18992923.5,35830046.7959
1659484800000,1.871,1.944,1.811,1.841,10648342.9,20141902.8068
1659571200000,1.841,2.787,1.837,2.599,378307144.3,941165012.1310
1659657600000,2.600,2.970,2.501,2.730,384478818.1,1051855004.4772
1659744000000,2.731,2.891,2.557,2.574,94122986.4,251946663.1150
1659830400000,2.573,2.763,2.508,2.622,73078803.0,193284470.9776
1659916800000,2.623,3.140,2.609,3.016,223642053.9,665472818.0975
1660003200000,3.016,3.142,2.800,2.997,115091900.6,342911140.4231
1660089600000,2.997,3.136,2.780,3.062,85629854.6,250961201.9138
1660176000000,3.062,3.238,2.932,2.969,74760463.5,228182229.6828
1660262400000,2.969,2.972,2.842,2.938,30420459.6,88687359.1202
1660348800000,2.939,3.043,2.902,2.920,25319386.1,74884135.6207
1660435200000,2.921,2.937,2.781,2.830,22021758.3,63334384.1100
1660521600000,2.830,2.937,2.667,2.705,55656260.7,155473380.7581
1660608000000,2.706,2.759,2.633,2.682,28862916.8,77647646.4925
1660694400000,2.682,2.745,2.531,2.566,31534514.1,82724556.4116
1660780800000,2.567,2.810,2.409,2.523,89881687.5,240727809.2750
1660867200000,2.522,2.580,2.092,2.115,60820661.2,140539349.4574
1660953600000,2.116,2.268,2.032,2.121,37913595.8,82163236.5909
1661040000000,2.121,2.200,2.085,2.163,27882133.7,59772450.8087
1661126400000,2.163,2.177,2.021,2.125,23699845.1,49339956.7062
1661212800000,2.125,2.168,2.032,2.143,22405412.4,47305527.8965
1661299200000,2.144,2.237,2.064,2.143,26339673.9,56803573.8457
