open_time_ms,open,high,low,close,volume,quote_volume
1624320000000,0.3119,0.3300,0.2357,0.2500,51951690,13625733.4521
1624406400000,0.2505,0.2999,0.2348,0.2710,33580510,9187338.3974
1624492800000,0.2710,0.2871,0.2532,0.2697,14732773,4005055.7402
1624579200000,0.2697,0.2862,0.2419,0.2423,22714356,5971831.8548
1624665600000,0.2426,0.2495,0.2233,0.2448,20928297,4953263.8088
1624752000000,0.2450,0.2980,0.2425,0.2962,100463625,27653865.5568
1624838400000,0.2962,0.2970,0.2718,0.2841,57450027,16257812.6023
1624924800000,0.2842,0.3154,0.2707,0.2861,47901010,13856388.6394
1625011200000,0.2865,0.2920,0.2549,0.2710,45258738,12251748.8019
1625097600000,0.2713,0.2718,0.2464,0.2517,38724955,9976147.3476
1625184000000,0.2515,0.2671,0.2404,0.2613,39436740,9966339.9267
1625270400000,0.2611,0.2749,0.2492,0.2633,26840543,7055656.1854
1625356800000,0.2635,0.2808,0.2561,0.2699,26646564,7228480.3970
1625443200000,0.2698,0.2710,0.2499,0.2577,20879797,5454367.8372
1625529600000,0.2578,0.3280,0.2553,0.3250,154469518,44903043.9443
1625616000000,0.3248,0.3850,0.3119,0.3164,361461094,125871377.5318
1625702400000,0.3165,0.3244,0.2753,0.2823,116390482,35331342.3738
1625788800000,0.2825,0.2989,0.2657,0.2803,78241681,21933396.2174
1625875200000,0.2803,0.2953,0.2711,0.2795,53578757,15120442.1846
1625961600000,0.2790,0.3342,0.2790,0.3097,232017307,73181066.2845
1626048000000,0.3095,0.3130,0.2768,0.2899,86108118,25409223.8474
1626134400000,0.2900,0.3120,0.2744,0.2880,80718837,23771425.3445
1626220800000,0.2880,0.3180,0.2700,0.2966,85536225,25269155.9484
1626307200000,0.2965,0.3032,0.2622,0.2803,93360176,26285681.7569
1626393600000,0.2803,0.2927,0.2647,0.2670,47459037,13147271.3094
1626480000000,0.2671,0.2729,0.2566,0.2612,24417911,6426210.3960
1626566400000,0.2615,0.2734,0.2560,0.2614,20415186,5413495.6883
1626652800000,0.2611,0.2637,0.2430,0.2479,21029119,5312214.4992
1626739200000,0.2478,0.2482,0.2107,0.2226,62610127,13881948.3392
1626825600000,0.2225,0.2475,0.2127,0.2389,34634885,8057927.2131
1626912000000,0.2389,0.2559,0.2300,0.2472,42317819,10215853.1522
1626998400000,0.2474,0.2542,0.2310,0.2459,45868916,11137236.2023
1627084800000,0.2460,0.2643,0.2418,0.2492,62928332,15856979.6964
1627171200000,0.2489,0.2572,0.2408,0.2530,46193037,11405472.9187
1627257600000,0.2529,0.2742,0.2445,0.2450,75398001,19604154.2957
1627344000000,0.2450,0.2600,0.2336,0.2520,77048623,19112640.7437
1627430400000,0.2523,0.2578,0.2424,0.2473,30657302,7655838.4126
1627516800000,0.2474,0.2629,0.2413,0.2609,46837132,11980976.1347
1627603200000,0.2613,0.2846,0.2420,0.2761,186089175,50450730.1131
1627689600000,0.2760,0.3250,0.2731,0.2950,221499106,66851206.2798
1627776000000,0.2950,0.3131,0.2670,0.2733,114386806,33277293.0454
1627862400000,0.2731,0.2959,0.2700,0.2801,63188999,17893133.4177
1627948800000,0.2802,0.3033,0.2756,0.2791,122545827,35572621.1731
1628035200000,0.2788,0.3075,0.2713,0.2921,97874684,28231091.8794
1628121600000,0.2921,0.3215,0.2821,0.3121,118021327,35562902.4878
1628208000000,0.3119,0.3250,0.3035,0.3149,103018049,32586876.0185
1628294400000,0.3147,0.3400,0.3003,0.3195,113701179,36292584.8697
1628380800000,0.3198,0.3252,0.2885,0.2946,63764856,19619553.6912
1628467200000,0.2946,0.3466,0.2850,0.3315,78533841,24567912.3327
1628553600000,0.3315,0.3807,0.3256,0.3329,227605739,80780578.0746
1628640000000,0.3328,0.3754,0.3327,0.3417,141434594,50617002.5316
1628726400000,0.3419,0.3604,0.3183,0.3423,130109774,44204960.6077
1628812800000,0.3424,0.4176,0.3377,0.3975,219131438,85770196.1150
1628899200000,0.3975,0.4143,0.3681,0.3922,137613989,54161475.2705
1628985600000,0.3923,0.3998,0.3685,0.3931,63404352,24326932.7732
1629072000000,0.3934,0.4173,0.3750,0.3764,107913869,43112920.1918
1629158400000,0.3761,0.4059,0.3475,0.3545,100364260,38455662.5448
1629244800000,0.3542,0.3766,0.3266,0.3525,113630768,40591813.4912
1629331200000,0.3527,0.3831,0.3436,0.3768,85734511,30983883.7121
1629417600000,0.3771,0.3914,0.3721,0.3900,51748585,19787285.5424
1629504000000,0.3904,0.4350,0.3745,0.4335,132067735,53990828.2401
1629590400000,0.4334,0.4774,0.3846,0.4428,142371377,61075296.5362
1629676800000,0.4429,0.4500,0.4104,0.4240,72139050,31077855.8959
1629763200000,0.4235,0.4425,0.3875,0.4035,178210608,75139813.1892
1629849600000,0.4034,0.4330,0.3948,0.4191,108288633,44984784.9839
1629936000000,0.4192,0.4345,0.3700,0.3903,112470134,44934611.6408
1630022400000,0.3903,0.4310,0.3774,0.4220,87998591,35982789.8077
1630108800000,0.4223,0.4357,0.4101,0.4154,61389629,25909400.0250
1630195200000,0.4156,0.4240,0.4000,0.4057,36152789,14847962.6397
1630281600000,0.4058,0.4292,0.3892,0.3979,66212904,27088749.8629
1630368000000,0.3976,0.4638,0.3920,0.4544,132509199,57262432.2839
1630454400000,0.4542,0.4639,0.4205,0.4477,90499278,39949691.3841
1630540800000,0.4478,0.4549,0.4252,0.4378,52312888,23157366.6664
1630627200000,0.4377,0.4634,0.4289,0.4496,63337559,28528587.5783
1630713600000,0.4496,0.4875,0.4416,0.4749,114546283,53934754.2456
1630800000000,0.4749,0.4892,0.4606,0.4814,64942091,30911478.5346
1630886400000,0.4815,0.6647,0.4369,0.6224,494891566,284054383.1838
1630972800000,0.6221,0.6481,0.3444,0.4707,411524958,218353477.1474
1631059200000,0.4712,0.5030,0.4100,0.4464,122799308,55768481.9090
1631145600000,0.4464,0.5010,0.4400,0.4533,103743282,48549216.3538
1631232000000,0.4532,0.4708,0.3971,0.4100,73407858,31843456.2477
1631318400000,0.4100,0.4328,0.4000,0.4079,77361871,32231692.5669
1631404800000,0.4078,0.4560,0.3912,0.4354,72964261,31208058.6353
1631491200000,0.4354,0.4400,0.3813,0.4148,66905904,27197620.9992
1631577600000,0.4147,0.4368,0.4058,0.4322,56187395,23768791.4718
1631664000000,0.4324,0.5500,0.4280,0.4841,289469863,145742733.4973
1631750400000,0.4841,0.5043,0.4608,0.4997,125380274,60591219.6235
1631836800000,0.4997,0.5484,0.4580,0.4682,171678206,86426593.8243
1631923200000,0.4683,0.4970,0.4595,0.4785,57288501,27604535.4314
1632009600000,0.4784,0.4825,0.4402,0.4477,39436405,18281065.8599
1632096000000,0.4476,0.4484,0.3654,0.3802,79401469,31826878.6907
1632182400000,0.3801,0.4062,0.3300,0.3431,96854560,36194110.0355
1632268800000,0.3432,0.3996,0.3344,0.3899,99260286,36922990.5104
1632355200000,0.3897,0.4051,0.3772,0.3932,54448289,21275951.6544
1632441600000,0.3931,0.3964,0.3310,0.3556,126655037,45549903.1070
1632528000000,0.3557,0.3959,0.3384,0.3938,140460376,51158417.5238
1632614400000,0.3939,0.3949,0.3464,0.3578,189026950,69604686.8825
1632700800000,0.3578,0.3868,0.3440,0.3462,81779334,29933240.8233
1632787200000,0.3461,0.3559,0.3342,0.3365,55650874,19334235.3348
1632873600000,0.3363,0.3610,0.3344,0.3442,46214767,16115126.3439
1632960000000,0.3442,0.3672,0.3425,0.3620,47403237,16967273.3472
1633046400000,0.3620,0.4044,0.3559,0.4016,55161074,21016306.8236
1633132800000,0.4017,0.4339,0.3884,0.4075,110094746,45825799.1884
1633219200000,0.4076,0.4256,0.3957,0.4131,69964173,29034485.0213
1633305600000,0.4132,0.4135,0.3786,0.3947,70276592,27914672.2257
1633392000000,0.3948,0.4155,0.3881,0.4087,77262075,31170731.9706
1633478400000,0.4088,0.4339,0.3726,0.4263,116043100,47578652.3644
1633564800000,0.4262,0.4504,0.4064,0.4196,93753392,39961082.3709
1633651200000,0.4197,0.4475,0.4170,0.4250,72507718,31300085.3204
1633737600000,0.4251,0.4468,0.4194,0.4299,45459615,19751284.6708
1633824000000,0.4300,0.4461,0.4138,0.4208,102816978,44255814.1725
1633910400000,0.4208,0.4576,0.4045,0.4167,124956297,54453156.0183
1633996800000,0.4167,0.4167,0.3875,0.4038,57945686,23223013.0440
1634083200000,0.4038,0.4280,0.3900,0.4180,77090851,31831369.1565
1634169600000,0.4181,0.4337,0.4087,0.4146,43917300,18510063.0073
1634256000000,0.4146,1.1782,0.4010,0.7219,3842547073,3054196829.6507
1634342400000,0.7217,1.0427,0.6520,0.9355,1615523726,1315058924.9675
1634428800000,0.9351,1.2000,0.8512,0.9106,1905500416,1924353852.2733
1634515200000,0.9101,0.9881,0.8116,0.8300,498974378,445709174.7852
1634601600000,0.8300,0.8733,0.7600,0.7792,240443686,197085756.4229
1634688000000,0.7791,0.8091,0.7512,0.7727,180665369,140763490.2893
1634774400000,0.7727,0.8049,0.7199,0.7295,173093518,131719025.6217
1634860800000,0.7296,0.7550,0.7024,0.7401,103846609,75964035.0778
1634947200000,0.7401,0.7470,0.7168,0.7299,80643812,59016769.6116
1635033600000,0.7300,0.7433,0.6840,0.7011,94466584,67461165.5699
1635120000000,0.7012,0.8190,0.6973,0.8042,192143621,146848069.6403
1635206400000,0.8043,0.8446,0.7200,0.7352,184229270,141671185.8169
1635292800000,0.7358,0.7466,0.5968,0.6346,158224094,106060529.6346
1635379200000,0.6349,0.6756,0.6217,0.6432,90203375,58584703.1571
1635465600000,0.6433,0.6977,0.6403,0.6698,75165013,50012613.8340
1635552000000,0.6699,0.7438,0.6415,0.6523,109325525,74717192.9048
1635638400000,0.6522,0.6699,0.6282,0.6529,47255125,30766388.3205
1635724800000,0.6529,0.7250,0.6250,0.6764,82339016,55430842.1758
1635811200000,0.6766,0.8343,0.6656,0.7224,161609635,119631311.6413
1635897600000,0.7225,0.7348,0.6706,0.6896,77731365,54567216.8326
1635984000000,0.6896,0.8080,0.6809,0.7370,172327548,127351642.2886
