open_time_ms,open,high,low,close,volume,quote_volume
1602720000000,1.0625,1.2231,1.0625,1.1220,16485482,19016012.2335
1602806400000,1.1210,1.1585,0.8112,0.8156,30730886,28569589.6831
1602892800000,0.8175,0.8660,0.7195,0.8079,31125587,24658885.1663
1602979200000,0.8079,0.8740,0.7988,0.8702,14539580,12101577.9944
1603065600000,0.8702,0.8718,0.7704,0.8014,13018718,10681273.8438
1603152000000,0.8013,0.8114,0.6695,0.6769,14388068,10497291.3847
1603238400000,0.6769,0.7500,0.6727,0.7060,19065607,13611568.5228
1603324800000,0.7058,0.7890,0.7036,0.7495,17870686,13520520.8125
1603411200000,0.7490,0.7557,0.6882,0.7289,11171339,8123106.6140
1603497600000,0.7281,0.7600,0.7057,0.7407,9673111,7063327.6849
1603584000000,0.7407,0.8586,0.7292,0.8450,36973244,29600417.3294
1603670400000,0.8454,0.8547,0.7403,0.7796,24297500,19214889.2733
1603756800000,0.7798,0.8091,0.7454,0.7618,14518909,11294692.9865
1603843200000,0.7612,0.7808,0.6807,0.7015,15840356,11478086.1781
1603929600000,0.7017,0.7260,0.6710,0.6908,14042372,9859388.2980
1604016000000,0.6905,0.7058,0.6117,0.6308,18959525,12217658.1295
1604102400000,0.6311,0.6573,0.6174,0.6395,13347997,8508738.5906
1604188800000,0.6395,0.6576,0.6003,0.6363,14991880,9439481.1565
1604275200000,0.6360,0.6520,0.5980,0.6059,20899718,13061857.6249
1604361600000,0.6058,0.6124,0.5563,0.5626,8741653,5084301.3376
1604448000000,0.5627,0.5644,0.5249,0.5339,12733792,6934833.0139
1604534400000,0.5340,0.7170,0.5327,0.6920,36309260,23325500.1863
1604620800000,0.6920,0.7635,0.6852,0.7196,29378439,21273769.1566
1604707200000,0.7197,0.7938,0.6678,0.6965,24562003,17780993.9208
1604793600000,0.6963,0.8281,0.6805,0.8157,18380187,14222536.2330
1604880000000,0.8151,0.9288,0.7972,0.9273,28751849,24370632.9864
1604966400000,0.9268,0.9750,0.8781,0.9443,23227408,21383615.4948
1605052800000,0.9457,0.9929,0.8523,0.8579,15473582,14171088.6387
1605139200000,0.8576,0.8797,0.7569,0.7892,14558119,11894885.8164
1605225600000,0.7891,0.9177,0.7789,0.8987,19993943,17034880.9008
1605312000000,0.8996,0.9041,0.8216,0.8684,15233703,13131716.5857
1605398400000,0.8685,0.8869,0.7975,0.8307,14395683,12012432.6142
1605484800000,0.8297,0.9007,0.8170,0.8674,13291644,11509844.7903
1605571200000,0.8666,0.9844,0.8650,0.9329,16592553,15451777.1912
1605657600000,0.9330,0.9486,0.8016,0.8332,15224773,13060724.6748
1605744000000,0.8337,0.8783,0.8085,0.8455,10232314,8647102.4807
1605830400000,0.8455,0.9497,0.8362,0.9480,11567501,10494170.7008
1605916800000,0.9476,1.2175,0.9445,1.1876,39120520,43049894.8598
1606003200000,1.1878,1.1911,0.9977,1.0804,17861364,19421674.0782
1606089600000,1.0802,1.2279,1.0580,1.1722,11203208,12936273.9278
1606176000000,1.1726,1.3041,1.1414,1.2465,13365512,16261659.9986
1606262400000,1.2479,1.3080,1.0780,1.1056,11288527,13381228.3588
1606348800000,1.1042,1.1328,0.9013,1.0092,24877029,24380874.5474
1606435200000,1.0101,1.0500,0.9400,0.9958,7439001,7396783.6021
1606521600000,0.9965,1.0377,0.9590,1.0208,4576862,4618572.0742
1606608000000,1.0208,1.0448,0.9909,1.0143,4462075,4534406.8819
1606694400000,1.0155,1.0981,1.0155,1.0784,7741073,8190323.7676
1606780800000,1.0786,1.1335,0.9889,1.0613,12849239,13653265.4839
1606867200000,1.0611,1.2139,1.0411,1.1773,6918865,7967914.0918
1606953600000,1.1770,1.1945,1.1360,1.1561,2976312,3459083.0087
